particle,energy_keV,energy_MeV,material,density_g_cm3,linear_attenuation_cm_inv,linear_attenuation_uncertainty_cm_inv,mass_attenuation_cm2_g,mass_attenuation_uncertainty_cm2_g,reported_linear_over_density_cm2_g,source,source_table_linear,source_table_mass,evidence_type,measurement_geometry,mass_vs_linear_density_difference_cm2_g,mass_vs_linear_density_relative_difference
photon,60.0,0.06,Limestone,0.94,0.103,0.001,0.109,0.002,0.10957446808510639,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.0005744680851063888,-0.005270349404645769
photon,60.0,0.06,Beach Soil,1.44,0.253,0.002,0.176,0.003,0.17569444444444446,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00030555555555553116,0.0017361111111109727
photon,60.0,0.06,Ordinary Sand,1.35,0.201,0.003,0.149,0.001,0.14888888888888888,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00011111111111111738,0.0007457121551081704
photon,60.0,0.06,River Soil,1.18,0.157,0.003,0.133,0.0,0.13305084745762713,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-5.0847457627123394e-05,-0.0003823117114821308
photon,60.0,0.06,Hill Soil,1.35,0.186,0.002,0.138,0.003,0.13777777777777778,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00022222222222223476,0.0016103059581321357
photon,60.0,0.06,Land Soil,1.11,0.138,0.001,0.124,0.002,0.12432432432432432,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.00032432432432431824,-0.0026155187445509537
photon,60.0,0.06,Cement,1.27,0.17,0.002,0.133,0.002,0.13385826771653545,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.000858267716535438,-0.006453140725830361
photon,661.6,0.6616000000000001,Limestone,0.94,0.06,0.002,0.064,0.001,0.06382978723404255,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00017021276595745316,0.0026595744680852056
photon,661.6,0.6616000000000001,Beach Soil,1.44,0.112,0.001,0.078,0.002,0.07777777777777778,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00022222222222222088,0.002849002849002832
photon,661.6,0.6616000000000001,Ordinary Sand,1.35,0.104,0.002,0.077,0.002,0.07703703703703703,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-3.7037037037029874e-05,-0.000481000481000388
photon,661.6,0.6616000000000001,River Soil,1.18,0.079,0.005,0.067,0.004,0.06694915254237288,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,5.0847457627123394e-05,0.0007589172780167671
photon,661.6,0.6616000000000001,Hill Soil,1.35,0.102,0.002,0.076,0.001,0.07555555555555554,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00044444444444445563,0.005847953216374416
photon,661.6,0.6616000000000001,Land Soil,1.11,0.074,0.005,0.067,0.002,0.06666666666666665,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.00033333333333335213,0.004975124378109733
photon,661.6,0.6616000000000001,Cement,1.27,0.089,0.003,0.07,0.002,0.07007874015748031,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-7.874015748030039e-05,-0.0011248593925757197
photon,1173.2,1.1732,Limestone,0.94,0.04,0.002,0.043,0.002,0.04255319148936171,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.0004468085106382885,0.010390895596239269
photon,1173.2,1.1732,Beach Soil,1.44,0.084,0.002,0.058,0.001,0.05833333333333334,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.00033333333333333826,-0.005747126436781694
photon,1173.2,1.1732,Ordinary Sand,1.35,0.076,0.001,0.056,0.001,0.05629629629629629,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.00029629629629628756,-0.005291005291005135
photon,1173.2,1.1732,River Soil,1.18,0.058,0.0003,0.049,0.0,0.04915254237288136,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.0001525423728813563,-0.0031131096506399245
photon,1173.2,1.1732,Hill Soil,1.35,0.076,0.0004,0.056,0.0003,0.05629629629629629,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.00029629629629628756,-0.005291005291005135
photon,1173.2,1.1732,Land Soil,1.11,0.054,0.001,0.049,0.001,0.048648648648648644,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,0.0003513513513513575,0.007170435741864438
photon,1173.2,1.1732,Cement,1.27,0.065,0.001,0.051,0.001,0.051181102362204724,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.00018110236220472697,-0.0035510267098966077
photon,1274.5,1.2745,Limestone,0.94,0.039,0.002,0.041,0.002,0.041489361702127664,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.0004893617021276622,-0.011935651271406396
photon,1274.5,1.2745,Beach Soil,1.44,0.081,0.003,0.056,0.002,0.05625,Ogundare_et_al_2012,1,3,EXPERIMENTAL,broad_beam,-0.0002500000000000002,-0.004464285714285718
