source_file,size_bytes,data_rows,comment_rows,parse_errors,MF_values,MT_values,filename_projectile,filename_target,filename_reaction,filename_quantity,filename_distribution,filename_spectrum
c4/1/10003.002-n-Ti-tot-sig-excfun-mon-Schwartz_1974.c4,350281,2648,23,0,[3],[1],n,Ti,tot,sig,excfun,mon
c4/1/10004.002-n-Al27-tot-sig-excfun-mon-Schwartz_1974.c4,447433,3384,23,0,[3],[1],n,Al27,tot,sig,excfun,mon
c4/1/10005.003-n-H1-tot-sig-excfun-mon-Schwartz_1969.c4,218876,1652,24,0,[3],[1],n,H1,tot,sig,excfun,mon
c4/1/10006.002-n-Fe-tot-sig-excfun-mon-Schwartz_1974.c4,442944,3350,23,0,[3],[1],n,Fe,tot,sig,excfun,mon
c4/1/10007.002-n-Hf-el-sig-excfun-mon-Sherwood_1970.c4,6378,42,25,0,[3],[2],n,Hf,el,sig,excfun,mon
c4/1/10007.004-n-Hf-inl-sig-excfun-mon-Sherwood_1970.c4,23655,146,130,0,[3],[51],n,Hf,inl,sig,excfun,mon
c4/1/10007.005-n-Hf-tot-sig-excfun-mon-Sherwood_1970.c4,58757,439,24,0,[3],[1],n,Hf,tot,sig,excfun,mon
c4/1/10007.006-n-Hf-tot-sig-excfun-mon-Sherwood_1970.c4,1467,5,24,0,[3],[1],n,Hf,tot,sig,excfun,mon
c4/1/10007.007-n-Gd-el-sig-excfun-mon-Sherwood_1970.c4,9414,65,25,0,[3],[2],n,Gd,el,sig,excfun,mon
c4/1/10007.009-n-Gd-inl-sig-excfun-mon-Sherwood_1970.c4,15888,91,115,0,[3],[51],n,Gd,inl,sig,excfun,mon
c4/1/10007.010-n-Gd-tot-sig-excfun-mon-Sherwood_1970.c4,93737,704,24,0,[3],[1],n,Gd,tot,sig,excfun,mon
c4/1/10007.011-n-Gd-tot-sig-excfun-mon-Sherwood_1970.c4,1467,5,24,0,[3],[1],n,Gd,tot,sig,excfun,mon
c4/1/10007.012-n-Sm-el-sig-excfun-mon-Sherwood_1970.c4,8094,55,25,0,[3],[2],n,Sm,el,sig,excfun,mon
c4/1/10007.014-n-Sm-inl-sig-excfun-mon-Sherwood_1970.c4,19672,112,145,0,[3],[51],n,Sm,inl,sig,excfun,mon
c4/1/10007.015-n-Sm-tot-sig-excfun-mon-Sherwood_1970.c4,46613,347,24,0,[3],[1],n,Sm,tot,sig,excfun,mon
c4/1/10008.002-n-V-el-sig-excfun-mon-Smith_1970.c4,29959,221,24,0,[3],[2],n,V,el,sig,excfun,mon
c4/1/10008.004-n-V-inl-sig-excfun-mon-Smith_1970.c4,23603,169,39,0,[3],[51],n,V,inl,sig,excfun,mon
c4/1/10008.005-n-V-tot-sig-excfun-mon-Smith_1970.c4,54091,404,23,0,[3],[1],n,V,tot,sig,excfun,mon
c4/1/10008.006-n-V-tot-sig-excfun-mon-Smith_1970.c4,106099,798,23,0,[3],[1],n,V,tot,sig,excfun,mon
c4/1/10009.002-n-U238-tot-sig-excfun-mon-Whalen_1971.c4,69904,524,23,0,[3],[1],n,U238,tot,sig,excfun,mon
c4/1/10009.003-n-U238-tot-sig-excfun-mon-Whalen_1971.c4,1262,4,23,0,[3],[1],n,U238,tot,sig,excfun,mon
c4/1/10010.002-n-Bi209-el-sig-excfun-mon-Smith_1970.c4,13535,96,25,0,[3],[2],n,Bi209,el,sig,excfun,mon
c4/1/10010.004-n-Bi209-inl-adxl-excfun-mon-Smith_1970.c4,14160,62,175,0,[4],[51],n,Bi209,inl,adxl,excfun,mon
c4/1/10010.006-n-Bi209-inl-adxl-excfun-mon-Smith_1970.c4,9579,66,25,0,[4],[51],n,Bi209,inl,adxl,excfun,mon
c4/1/10010.007-n-Bi209-inl-sig-excfun-mon-Smith_1970.c4,3508,20,25,0,[3],[51],n,Bi209,inl,sig,excfun,mon
c4/1/10010.008-n-Bi209-tot-sig-excfun-mon-Smith_1970.c4,86634,650,24,0,[3],[1],n,Bi209,tot,sig,excfun,mon
c4/1/10010.009-n-Bi209-tot-sig-excfun-mon-Smith_1970.c4,55218,412,24,0,[3],[1],n,Bi209,tot,sig,excfun,mon
c4/1/10011.002-n-Fe-tot-sig-excfun-mon-Carlson_1970.c4,492653,3726,24,0,[3],[1],n,Fe,tot,sig,excfun,mon
c4/1/10011.004-n-N-tot-sig-excfun-mon-Carlson_1970.c4,91765,689,24,0,[3],[1],n,N,tot,sig,excfun,mon
c4/1/10012.002-n-Si-el-adxl-excfun-mon-Grimes_1969.c4,34320,254,24,0,[4],[2],n,Si,el,adxl,excfun,mon
c4/1/10012.003-n-Si-el-adxl-excfun-mon-Grimes_1969.c4,34320,254,24,0,[4],[2],n,Si,el,adxl,excfun,mon
c4/1/10012.006-n-Si-tot-sig-excfun-mon-Grimes_1969.c4,41819,311,23,0,[3],[1],n,Si,tot,sig,excfun,mon
c4/1/10012.007-n-Si28-a-sig-excfun-mon-Grimes_1969.c4,31556,233,24,0,[3],[800],n,Si28,a,sig,excfun,mon
c4/1/10012.008-n-Si28-a-sig-excfun-mon-Grimes_1969.c4,31556,233,24,0,[3],[800],n,Si28,a,sig,excfun,mon
c4/1/10012.009-n-Si28-a-sig-excfun-mon-Grimes_1969.c4,31556,233,24,0,[3],[800],n,Si28,a,sig,excfun,mon
c4/1/10012.010-n-Si28-a-sig-excfun-mon-Grimes_1969.c4,28916,213,24,0,[3],[800],n,Si28,a,sig,excfun,mon
c4/1/10013.008-n-Pu240-g-sig-excfun-mon-Lounsbury_1970.c4,1033,1,25,0,[3],[102],n,Pu240,g,sig,excfun,mon
c4/1/10016.002-n-U235-xg-ddxl-enedisl-mon-Drake_1969.c4,11983,73,70,0,[6],[202],n,U235,xg,ddxl,enedisl,mon
c4/1/10016.006-n-U235-inl-sig-excfun-mon-Drake_1969.c4,1240,3,25,0,[3],[4],n,U235,inl,sig,excfun,mon
c4/1/10017.002-n-He4-tot-sig-excfun-mon-Rorer_1969.c4,2236,11,23,0,[3],[1],n,He4,tot,sig,excfun,mon
c4/1/10017.003-n-Ne-tot-sig-excfun-mon-Rorer_1969.c4,2502,13,23,0,[3],[1],n,Ne,tot,sig,excfun,mon
c4/1/10017.004-n-Ar-tot-sig-excfun-mon-Rorer_1969.c4,2634,14,23,0,[3],[1],n,Ar,tot,sig,excfun,mon
c4/1/10017.005-n-Kr-tot-sig-excfun-mon-Rorer_1969.c4,2634,14,23,0,[3],[1],n,Kr,tot,sig,excfun,mon
c4/1/10017.006-n-He4-el-sig-excfun-mon-Rorer_1969.c4,939,1,24,0,[3],[2],n,He4,el,sig,excfun,mon
c4/1/10018.002-n-Cf252-g-sig-excfun-mon-Halperin_1969.c4,994,1,25,0,[3],[102],n,Cf252,g,sig,excfun,mon
c4/1/10020.002-n-Al27-tot-sig-excfun-mon-Robinson_1969.c4,943,1,24,0,[3],[1],n,Al27,tot,sig,excfun,mon
c4/1/10020.003-n-Fe-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Fe,tot,sig,excfun,mon
c4/1/10020.004-n-Cu-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Cu,tot,sig,excfun,mon
c4/1/10020.005-n-Pb-tot-sig-excfun-mon-Robinson_1969.c4,942,1,24,0,[3],[1],n,Pb,tot,sig,excfun,mon
