MF,MT,rows
1,452,241
1,455,309
1,456,2377
3,1,3356556
3,2,17848
3,3,3751
3,4,101652
3,16,26655
3,17,9169
3,18,623790
3,22,961
3,24,229
3,25,47
3,27,14315
3,28,699
3,29,56
3,32,24
3,33,114
3,34,1
3,37,4663
3,41,228
3,42,97
3,44,68
3,45,73
3,50,10642
3,51,43617
3,102,352937
3,103,24220
3,104,252
3,105,3200
3,106,541
3,107,24516
3,108,511
3,109,62
3,111,2075
3,112,526
3,113,3
3,114,2
3,115,29
3,116,18
3,117,6
3,152,2396
3,153,1179
3,155,132
3,156,48
3,158,6
3,159,6
3,160,575
3,161,265
3,162,15
3,163,19
3,164,6
3,165,27
3,167,11
3,168,1
3,180,49
3,182,3
3,183,3
3,184,2
3,186,2
3,187,2
3,190,25
3,191,5
3,192,3
3,193,4
3,197,356
3,198,2
3,201,30896
3,202,324
3,203,410
3,204,33
3,205,527
3,206,207
3,207,831
3,208,432
3,209,216
3,210,28
3,454,157151
3,459,85768
3,600,11423
3,601,2962
3,650,511
3,651,25
3,700,916
3,750,55
3,800,12840
3,801,1200
4,2,1224979
4,4,14509
4,50,63707
4,51,57375
4,102,1806
4,103,13874
4,104,1865
4,105,4559
4,106,1725
4,107,11581
4,201,1341
4,202,11
4,203,2379
4,204,842
4,205,1229
4,206,296
4,207,4510
4,208,35
4,209,271
4,210,18
4,600,195395
4,601,231133
4,650,71357
4,651,13139
4,700,74372
4,701,629
4,750,15471
4,751,4767
4,800,153560
4,801,110499
5,2,159
5,4,8887
5,102,9934
5,103,336
5,107,1682
5,201,20012
5,202,1634
5,203,9723
5,204,3531
5,205,1353
5,206,657
5,207,12410
6,2,613
6,4,49728
6,50,2626
6,102,3163
6,103,53248
6,104,2503
6,105,17991
6,106,1115
6,107,5160
6,201,325924
6,202,104331
6,203,166419
6,204,78279
6,205,42521
6,206,36144
6,207,165702
6,208,1707
6,210,1666
6,213,117
6,216,56
6,217,132
6,600,606
6,601,139
6,800,22
8,454,4539
8,459,13224
13,4,989
13,50,1281
13,51,91422
13,102,5
13,103,181
13,600,2441
13,601,3862
13,650,32
13,700,17
13,800,1557
13,801,261
14,4,19
14,50,3161
14,51,78696
14,102,53
14,105,21
14,600,3102
14,601,13507
14,650,40
14,651,216
14,700,119
14,701,14
14,750,11
14,800,5305
14,801,359
15,4,249
