reaction,rows
"82-PB-208(G,X)0-NN-1,,SIG,,BRS",1228
"30-ZN-64(G,X)29-CU-62,,SIG",801
"92-U-238(G,F),,SIG",657
"8-O-16(G,N)8-O-15,,SIG,,BRS",638
"90-TH-232(G,F),,SIG",618
"59-PR-141(G,X)0-NN-1,,SIG,,BRS",617
"4-BE-9(G,X)0-NN-1,,SIG,,BRS",591
"3-LI-7(G,X)0-NN-1,,SIG,,BRS",562
"15-P-31(G,X)0-NN-1,,SIG,,BRS",551
"14-SI-28(G,P)13-AL-27,PAR,SIG",540
"20-CA-0(G,ABS),,SIG",505
"3-LI-6(G,X)0-NN-1,,SIG,,BRS",492
"13-AL-27(G,ABS),,SIG",481
"73-TA-181(G,X)0-NN-1,,SIG,,BRS",466
"90-TH-232(G,F),,SIG,,BRS",447
"6-C-12(G,N)6-C-11,,SIG,,BRS",444
"4-BE-9(G,ABS),,SIG",430
"14-SI-0(G,ABS),,SIG",428
"8-O-16(G,X)0-NN-1,,SIG",425
"6-C-0(G,ABS),,SIG",416
"50-SN-117(G,X)0-NN-1,,SIG,,BRS",407
"14-SI-28(G,TOT),,SIG",400
"50-SN-119(G,X)0-NN-1,,SIG,,BRS",397
"28-NI-60(G,X)0-NN-1,,SIG,,BRS",391
"59-PR-141(G,N)59-PR-140,,SIG,,BRS",390
"8-O-16(G,ABS),,SIG",384
"50-SN-124(G,X)0-NN-1,,SIG,,BRS",381
"28-NI-58(G,X)0-NN-1,,SIG,,BRS",377
"50-SN-122(G,X)0-NN-1,,SIG,,BRS",374
"30-ZN-64(G,N)30-ZN-63,,SIG",363
"82-PB-208(G,N)82-PB-207,,SIG,,BRS",362
"50-SN-116(G,X)0-NN-1,,SIG,,BRS",360
"50-SN-114(G,X)0-NN-1,,SIG,,BRS",352
"40-ZR-90(G,X)0-NN-1,,SIG,,BRS",347
"92-U-235(G,F),,SIG",331
"92-U-238(G,F),,SIG,,BRS",325
"30-ZN-68(G,X)0-NN-1,,SIG,,BRS",320
"8-O-18(G,X)0-NN-1,,SIG",317
"6-C-12(G,X)0-NN-1,,SIG,,BRS",316
"30-ZN-64(G,X)0-NN-1,,SIG,,BRS",302
"6-C-12(G,TOT),,SIG",296
"13-AL-27(G,X)0-NN-1,,SIG",289
"14-SI-28(G,N)14-SI-27,,SIG,,BRS",288
"67-HO-165(G,X)0-NN-1,,SIG,,BRS",285
"8-O-16(G,TOT),,SIG",284
"14-SI-28(G,A)12-MG-24,PAR,SIG",275
"12-MG-26(G,X)0-NN-1,,SIG,,BRS",273
"82-PB-208(G,N)82-PB-207,PAR,SIG",272
"29-CU-0(G,X)0-NN-1,,SIG,,BRS",271
"53-I-127(G,X)0-NN-1,,SIG,,BRS",268
"13-AL-27(G,X)0-NN-1,,SIG,,BRS",268
"7-N-15(G,ABS),,SIG,,BRS",264
"65-TB-159(G,X)0-NN-1,,SIG",251
"95-AM-241(G,F),,SIG,,BRS",250
"93-NP-237(G,F),,SIG,,BRS",248
"83-BI-209(G,X)0-NN-1,,SIG,,BRS",246
"4-BE-9(G,TOT),,SIG",243
"6-C-13(G,X)0-NN-1,,SIG",242
"6-C-13(G,P)5-B-12,,SIG,,BRS",236
"50-SN-120(G,X)0-NN-1,,SIG",233
"3-LI-0(G,ABS),,SIG",233
"9-F-19(G,P)8-O-18,PAR,SIG,,BRS",228
"13-AL-27(G,TOT),,SIG",222
"4-BE-9(G,X)0-NN-1,,SIG",218
"73-TA-181(G,EL)73-TA-181,,SIG",218
"27-CO-59(G,X)0-NN-1,,SIG",216
"2-HE-4(G,X)0-P0-0,,SIG",216
"57-LA-139(G,X)0-NN-1,,SIG,,BRS",213
"72-HF-178(G,X)0-NN-1,,SIG,,BRS",212
"65-TB-159(G,X)0-NN-1,,SIG,,BRS",210
"42-MO-98(G,X)0-NN-1,,SIG,,BRS",210
"79-AU-197(G,X)0-NN-1,,SIG,,BRS",209
"8-O-18(G,P)7-N-17,,SIG",206
"8-O-0(G,ABS),,SIG",206
"93-NP-237(G,F),,SIG",205
"50-SN-118(G,X)0-NN-1,,SIG",205
"3-LI-7(G,TOT),,SIG",205
"40-ZR-90(G,X)0-NN-1,,SIG",200
"11-NA-23(G,X)0-NN-1,,SIG",200
"14-SI-29(G,X)0-NN-1,,SIG,,BRS",196
"49-IN-115(G,X)0-NN-1,,SIG,,BRS",195
"25-MN-55(G,X)0-NN-1,,SIG,,BRS",194
"39-Y-89(G,X)0-NN-1,,SIG",193
"82-PB-206(G,X)0-NN-1,,SIG,,BRS",192
"5-B-10(G,X)0-NN-1,,SIG,,BRS",190
"39-Y-89(G,X)0-NN-1,,SIG,,BRS",184
"82-PB-208(G,X)0-NN-1,,SIG",183
"3-LI-7(G,T)2-HE-4,,SIG,,BRS",183
"56-BA-138(G,N)56-BA-137,,SIG,,BRS",183
"50-SN-120(G,X)0-NN-1,,SIG,,BRS",183
"14-SI-29(G,N)14-SI-28,,SIG,,BRS",182
"58-CE-140(G,N)58-CE-139,,SIG,,BRS",182
"57-LA-139(G,N)57-LA-138,,SIG,,BRS",181
"60-ND-142(G,N)60-ND-141,,SIG,,BRS",181
"27-CO-59(G,N)27-CO-58,,SIG",180
"50-SN-118(G,X)0-NN-1,,SIG,,BRS",179
"42-MO-92(G,X)0-NN-1,,SIG,,BRS",178
"55-CS-133(G,X)0-NN-1,,SIG",177
"50-SN-116(G,X)0-NN-1,,SIG",173
"2-HE-4(G,ABS),,SIG",173
"50-SN-112(G,X)0-NN-1,,SIG,,BRS",167
"5-B-11(G,X)0-NN-1,,SIG,,BRS",166
"39-Y-89(G,P)38-SR-88,PAR,SIG",166
"67-HO-165(G,X)0-NN-1,,SIG",162
"20-CA-0(G,TOT),,SIG",159
"92-U-238(G,N)92-U-237,,SIG",158
"22-TI-50(G,X)0-NN-1,,SIG,,BRS",158
"73-TA-181(G,X)0-NN-1,,SIG",156
"25-MN-55(G,X)0-NN-1,,SIG",155
"2-HE-4(G,P)1-H-3,,SIG",153
"50-SN-119(G,X)0-NN-1,,SIG",152
"24-CR-52(G,X)0-NN-1,,SIG,,BRS",150
"50-SN-117(G,X)0-NN-1,,SIG",149
"7-N-14(G,N)7-N-13,,SIG,,BRS",148
"6-C-12(G,N)6-C-11,,SIG",147
"92-U-233(G,F),,SIG,,BRS",144
"6-C-12(G,ABS),,SIG",142
"94-PU-239(G,F),,SIG,,BRS",142
"2-HE-3(G,P)1-H-2,,SIG",141
"28-NI-60(G,X)0-NN-1,,SIG",141
"92-U-236(G,F),,SIG,,BRS",141
"92-U-234(G,F),,SIG,,BRS",139
"50-SN-124(G,X)0-NN-1,,SIG",138
"79-AU-197(G,X)0-NN-1,,SIG",137
"49-IN-115(G,X)0-NN-1,,SIG",137
"4-BE-9(G,N)4-BE-8,,SIG",137
"40-ZR-90(G,P)39-Y-89,PAR,SIG,,BRS",132
"92-U-238(G,X)0-NN-1,,SIG",130
"68-ER-166(G,X)0-NN-1,,SIG,,BRS",130
"29-CU-63(G,N)29-CU-62,,SIG",129
"12-MG-26(G,X)0-NN-1,,SIG",129
"29-CU-0(G,X)29-CU-62,,SIG,,BRS",129
"2-HE-3(G,N+P)1-H-1,,SIG",127
"92-U-235(G,F),,SIG,,BRS",127
"83-BI-209(G,X)0-NN-1,,SIG",125
"15-P-31(G,X)0-NN-1,,SIG",125
"3-LI-7(G,P)2-HE-6,PAR,SIG,,BRS",125
"33-AS-75(G,X)0-NN-1,,SIG",124
"92-U-233(G,F),,SIG",120
"3-LI-6(G,X)0-NN-1,,SIG",119
"38-SR-0(G,X)0-NN-1,,SIG",119
"1-H-1(G,ABS),,SIG",119
"95-AM-243(G,F),,SIG,,BRS",118
"74-W-184(G,X)0-NN-1,,SIG,,BRS",118
"74-W-186(G,X)0-NN-1,,SIG,,BRS",118
"41-NB-93(G,X)0-NN-1,,SIG",117
"27-CO-59(G,X)0-NN-1,,SIG,,BRS",116
"42-MO-92(G,X)0-NN-1,,SIG",115
"8-O-18(G,P)7-N-17,PAR,SIG,,BRS",114
"82-PB-208(G,N)82-PB-207,,SIG",113
"90-TH-232(G,N)90-TH-231,,SIG",113
"3-LI-6(G,T)2-HE-3,,SIG",113
"14-SI-0(G,TOT),,SIG",113
"30-ZN-0(G,X)30-ZN-63,,SIG,,BRS",113
"12-MG-24(G,N)12-MG-23,,SIG,,BRS",113
"59-PR-141(G,N)59-PR-140,,SIG",110
"94-PU-241(G,F),,SIG,,BRS",110
"92-U-235(G,TOT),,SIG",110
"6-C-13(G,TOT),,SIG",109
"1-H-2(G,N)1-H-1,,SIG",109
"96-CM-245(G,F),,SIG,,BRS",108
"19-K-0(G,X)0-NN-1,,SIG",107
"94-PU-242(G,F),,SIG,,BRS",106
"94-PU-240(G,F),,SIG,,BRS",106
"90-TH-232(G,X)0-NN-1,,SIG",105
"92-U-238(G,2N)92-U-236,,SIG",105
"6-C-14(G,X)0-NN-1,,SIG",105
"12-MG-26(G,P)11-NA-25,,SIG,,BRS",105
"9-F-19(G,X)0-NN-1,,SIG",104
"6-C-12(G,P)5-B-11,,SIG,,BRS",103
"7-N-15(G,X)0-NN-1,,SIG",102
"72-HF-178(G,TOT),,SIG",102
"40-ZR-91(G,X)0-NN-1,,SIG",101
"57-LA-139(G,X)0-NN-1,,SIG",101
"37-RB-0(G,X)0-NN-1,,SIG",101
"40-ZR-90(G,INL)40-ZR-90,,SIG,,BRS",101
"9-F-19(G,X)0-NN-1,,SIG,,BRS",101
"6-C-12(G,P)5-B-11,PAR,SIG",101
"15-P-31(G,N)15-P-30,,SIG,,BRS",100
