target_Z,target_A,target_symbol,MT,source_file,section_keys
46,107,Pd,5,g_46-Pd-107_4640.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
22,50,Ti,5,g_22-Ti-50_2237.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
90,232,Th,5,g_90-Th-232_9040.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
90,232,Th,18,g_90-Th-232_9040.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
72,177,Hf,5,g_72-Hf-177_7234.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
50,119,Sn,5,g_50-Sn-119_5046.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
6,13,C,5,g_6-C-13_0628.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
82,206,Pb,5,g_82-Pb-206_8231.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
82,206,Pb,18,g_82-Pb-206_8231.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
93,237,Np,5,g_93-Np-237_9346.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
93,237,Np,18,g_93-Np-237_9346.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
48,110,Cd,5,g_48-Cd-110_4837.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
42,100,Mo,5,g_42-Mo-100_4249.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
60,144,Nd,5,g_60-Nd-144_6031.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
53,129,I,5,g_53-I-129_5331.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
52,124,Te,5,g_52-Te-124_5237.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
14,27,Si,5,g_14-Si-27_1422.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
52,123,Te,5,g_52-Te-123_5234.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
60,145,Nd,5,g_60-Nd-145_6034.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
28,58,Ni,5,g_28-Ni-58_2825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,18,O,5,g_8-O-18_0831.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
64,160,Gd,5,g_64-Gd-160_6449.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
55,137,Cs,5,g_55-Cs-137_5537.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
14,30,Si,5,g_14-Si-30_1431.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,16,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,22,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,23,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,28,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
8,16,O,29,g_8-O-16_0825.endf,"[""AWR"", ""JP"", ""LCT"", ""MAT"", ""MF"", ""MT"", ""NK"", ""ZA"", ""subsection""]"
