line_number,material_line,contains_concrete,contains_air,contains_water
1,Common Materials used in ESTAR:,False,False,False
3,001: HYDROGEN,False,False,False
4,002: HELIUM,False,False,False
5,003: LITHIUM,False,False,False
6,004: BERYLLIUM,False,False,False
7,005: BORON,False,False,False
8,006: AMORPHOUS CARBON (density 2.0 g/cm3),False,False,False
9,906: GRAPHITE (density 1.7 g/cm3),False,False,False
10,007: NITROGEN,False,False,False
11,008: OXYGEN,False,False,False
12,009: FLUORINE,False,False,False
13,010: NEON,False,False,False
14,011: SODIUM,False,False,False
15,012: MAGNESIUM,False,False,False
16,013: ALUMINUM,False,False,False
17,014: SILICON,False,False,False
18,015: PHOSPHORUS,False,False,False
19,016: SULFUR,False,False,False
20,017: CHLORINE,False,False,False
21,018: ARGON,False,False,False
22,019: POTASSIUM,False,False,False
23,020: CALCIUM,False,False,False
24,021: SCANDIUM,False,False,False
25,022: TITANIUM,False,False,False
26,023: VANADIUM,False,False,False
27,024: CHROMIUM,False,False,False
28,025: MANGANESE,False,False,False
29,026: IRON,False,False,False
30,027: COBALT,False,False,False
31,028: NICKEL,False,False,False
32,029: COPPER,False,False,False
33,030: ZINC,False,False,False
34,031: GALLIUM,False,False,False
35,032: GERMANIUM,False,False,False
36,033: ARSENIC,False,False,False
37,034: SELENIUM,False,False,False
38,035: BROMINE,False,False,False
39,036: KRYPTON,False,False,False
40,037: RUBIDIUM,False,False,False
41,038: STRONTIUM,False,False,False
42,039: YTTRIUM,False,False,False
43,040: ZIRCONIUM,False,False,False
44,041: NIOBIUM,False,False,False
45,042: MOLYBDENUM,False,False,False
46,043: TECHNETIUM,False,False,False
47,044: RUTHENIUM,False,False,False
48,045: RHODIUM,False,False,False
49,046: PALLADIUM,False,False,False
50,047: SILVER,False,False,False
51,048: CADMIUM,False,False,False
52,049: INDIUM,False,False,False
53,050: TIN,False,False,False
54,051: ANTIMONY,False,False,False
55,052: TELLURIUM,False,False,False
56,053: IODINE,False,False,False
57,054: XENON,False,False,False
58,055: CESIUM,False,False,False
59,056: BARIUM,False,False,False
60,057: LANTHANUM,False,False,False
61,058: CERIUM,False,False,False
62,059: PRASEODYMIUM,False,False,False
63,060: NEODYMIUM,False,False,False
64,061: PROMETHIUM,False,False,False
65,062: SAMARIUM,False,False,False
66,063: EUROPIUM,False,False,False
67,064: GADOLINIUM,False,False,False
68,065: TERBIUM,False,False,False
69,066: DYSPROSIUM,False,False,False
70,067: HOLMIUM,False,False,False
71,068: ERBIUM,False,False,False
72,069: THULIUM,False,False,False
73,070: YTTERBIUM,False,False,False
74,071: LUTETIUM,False,False,False
75,072: HAFNIUM,False,False,False
76,073: TANTALUM,False,False,False
77,074: TUNGSTEN,False,False,False
78,075: RHENIUM,False,False,False
79,076: OSMIUM,False,False,False
80,077: IRIDIUM,False,False,False
81,078: PLATINUM,False,False,False
82,079: GOLD,False,False,False
83,080: MERCURY,False,False,False
84,081: THALLIUM,False,False,False
85,082: LEAD,False,False,False
86,083: BISMUTH,False,False,False
87,084: POLONIUM,False,False,False
88,085: ASTATINE,False,False,False
89,086: RADON,False,False,False
90,087: FRANCIUM,False,False,False
91,088: RADIUM,False,False,False
92,089: ACTINIUM,False,False,False
93,090: THORIUM,False,False,False
94,091: PROTACTINIUM,False,False,False
95,092: URANIUM,False,False,False
96,093: NEPTUNIUM,False,False,False
97,094: PLUTONIUM,False,False,False
98,095: AMERICIUM,False,False,False
99,096: CURIUM,False,False,False
100,097: BERKELIUM,False,False,False
101,098: CALIFORNIUM,False,False,False
102,099: A-150 TISSUE-EQUIVALENT PLASTIC,False,False,False
103,100: ACETONE,False,False,False
104,101: ACETYLENE,False,False,False
105,102: ADENINE,False,False,False
106,103: ADIPOSE TISSUE (ICRP),False,False,False
107,"104: AIR, DRY (NEAR SEA LEVEL)",False,True,False
108,105: ALANINE,False,False,False
109,106: ALUMINUM OXIDE,False,False,False
110,107: AMBER,False,False,False
111,108: AMMONIA,False,False,False
112,109: ANILINE,False,False,False
113,110: ANTHRACENE,False,False,False
114,111: B-100 BONE-EQUIVALENT PLASTIC,False,False,False
115,112: BAKELITE,False,False,False
116,113: BARIUM FLUORIDE,False,False,False
117,114: BARIUM SULFATE,False,False,False
118,115: BENZENE,False,False,False
119,116: BERYLLIUM OXIDE,False,False,False
120,117: BISMUTH GERMANIUM OXIDE,False,False,False
121,118: BLOOD (ICRP),False,False,False
122,"119: BONE, COMPACT (ICRU)",False,False,False
123,"120: BONE, CORTICAL (ICRP)",False,False,False
124,121: BORON CARBIDE,False,False,False
125,122: BORON OXIDE,False,False,False
126,123: BRAIN (ICRP),False,False,False
127,124: BUTANE,False,False,False
128,125: N-BUTYL ALCOHOL,False,False,False
129,126: C-552 AIR-EQUIVALENT PLASTIC,False,True,False
130,127: CADMIUM TELLURIDE,False,False,False
131,128: CADMIUM TUNGSTATE,False,False,False
132,129: CALCIUM CARBONATE,False,False,False
133,130: CALCIUM FLUORIDE,False,False,False
134,131: CALCIUM OXIDE,False,False,False
135,132: CALCIUM SULFATE,False,False,False
136,133: CALCIUM TUNGSTATE,False,False,False
137,134: CARBON DIOXIDE,False,False,False
138,135: CARBON TETRACHLORIDE,False,False,False
139,"136: CELLULOSE ACETATE, CELLOPHANE",False,False,False
140,137: CELLULOSE ACETATE BUTYRATE,False,False,False
141,138: CELLULOSE NITRATE,False,False,False
142,139: CERIC SULFATE DOSIMETER SOLUTION,False,False,False
143,140: CESIUM FLUORIDE,False,False,False
144,141: CESIUM IODIDE,False,False,False
145,142: CHLOROBENZENE,False,False,False
146,143: CHLOROFORM,False,False,False
147,"144: CONCRETE, PORTLAND",True,False,False
148,145: CYCLOHEXANE,False,False,False
149,"146: 1,2-DICHLOROBENZENE",False,False,False
150,147: DICHLORODIETHYL ETHER,False,False,False
151,"148: 1,2-DICHLOROETHANE",False,False,False
152,149: DIETHYL ETHER,False,False,False
153,"150: N,N-DIMETHYL FORMAMIDE",False,False,False
154,151: DIMETHYL SULFOXIDE,False,False,False
155,152: ETHANE,False,False,False
156,153: ETHYL ALCOHOL,False,False,False
157,154: ETHYL CELLULOSE,False,False,False
158,155: ETHYLENE,False,False,False
159,156: EYE LENS (ICRP),False,False,False
160,157: FERRIC OXIDE,False,False,False
161,158: FERROBORIDE,False,False,False
162,159: FERROUS OXIDE,False,False,False
163,160: FERROUS SULFATE DOSIMETER SOLUTION,False,False,False
164,161: FREON-12,False,False,False
165,162: FREON-12B2,False,False,False
166,163: FREON-13,False,False,False
167,164: FREON-13B1,False,False,False
168,165: FREON-13I1,False,False,False
169,166: GADOLINIUM OXYSULFIDE,False,False,False
170,167: GALLIUM ARSENIDE,False,False,False
171,168: GEL IN PHOTOGRAPHIC EMULSION,False,False,False
172,169: Pyrex Glass,False,False,False
173,"170: GLASS, LEAD",False,False,False
174,"171: GLASS, PLATE",False,False,False
175,172: GLUCOSE,False,False,False
176,173: GLUTAMINE,False,False,False
177,174: GLYCEROL,False,False,False
178,175: GUANINE,False,False,False
179,"176: GYPSUM, PLASTER OF PARIS",False,False,False
180,177: N-HEPTANE,False,False,False
181,178: N-HEXANE,False,False,False
182,179: KAPTON POLYIMIDE FILM,False,False,False
183,180: LANTHANUM OXYBROMIDE,False,False,False
184,181: LANTHANUM OXYSULFIDE,False,False,False
185,182: LEAD OXIDE,False,False,False
186,183: LITHIUM AMIDE,False,False,False
187,184: LITHIUM CARBONATE,False,False,False
188,185: LITHIUM FLUORIDE,False,False,False
189,186: LITHIUM HYDRIDE,False,False,False
190,187: LITHIUM IODIDE,False,False,False
191,188: LITHIUM OXIDE,False,False,False
192,189: LITHIUM TETRABORATE,False,False,False
193,190: LUNG (ICRP),False,False,False
194,191: M3 WAX,False,False,False
195,192: MAGNESIUM CARBONATE,False,False,False
196,193: MAGNESIUM FLUORIDE,False,False,False
197,194: MAGNESIUM OXIDE,False,False,False
198,195: MAGNESIUM TETRABORATE,False,False,False
199,196: MERCURIC IODIDE,False,False,False
200,197: METHANE,False,False,False
201,198: METHANOL,False,False,False
202,199: MIX D WAX,False,False,False
203,200: MS20 TISSUE SUBSTITUTE,False,False,False
204,"201: MUSCLE, SKELETAL (ICRP)",False,False,False
205,"202: MUSCLE, STRIATED (ICRU)",False,False,False
206,"203: MUSCLE-EQUIVALENT LIQUID, WITH SUCROSE",False,False,False
207,"204: MUSCLE-EQUIVALENT LIQUID, WITHOUT SUCROSE",False,False,False
208,205: NAPHTHALENE,False,False,False
209,206: NITROBENZENE,False,False,False
210,207: NITROUS OXIDE,False,False,False
211,"208: NYLON, DU PONT ELVAMIDE 8062",False,False,False
212,"209: NYLON, TYPE 6 AND TYPE 6/6",False,False,False
213,"210: NYLON, TYPE 6/10",False,False,False
214,"211: NYLON, TYPE 11 (RILSAN)",False,False,False
215,"212: OCTANE, LIQUID",False,False,False
216,213: PARAFFIN WAX,False,False,False
217,214: N-PENTANE,False,False,False
218,215: PHOTOGRAPHIC EMULSION,False,False,False
219,216: PLASTIC SCINTILLATOR (VINYLTOLUENE BASED),False,False,False
220,217: PLUTONIUM DIOXIDE,False,False,False
221,218: POLYACRYLONITRILE,False,False,False
222,"219: POLYCARBONATE (MAKROLON, LEXAN)",False,False,False
223,220: POLYCHLOROSTYRENE,False,False,False
224,221: POLYETHYLENE,False,False,False
225,222: POLYETHYLENE TEREPHTHALATE (MYLAR),False,False,False
226,"223: POLYMETHYL METHACRALATE (LUCITE, PERSPEX)",False,False,False
227,224: POLYOXYMETHYLENE,False,False,False
228,225: POLYPROPYLENE,False,False,False
229,226: POLYSTYRENE,False,False,False
230,227: POLYTETRAFLUOROETHYLENE (TEFLON),False,False,False
231,228: POLYTRIFLUOROCHLOROETHYLENE,False,False,False
232,229: POLYVINYL ACETATE,False,False,False
233,230: POLYVINYL ALCOHOL,False,False,False
234,231: POLYVINYL BUTYRAL,False,False,False
235,232: POLYVINYL CHLORIDE,False,False,False
236,"233: POLYVINYLIDENE CHLORIDE, SARAN",False,False,False
237,234: POLYVINYLIDENE FLUORIDE,False,False,False
238,235: POLYVINYL PYRROLIDONE,False,False,False
239,236: POTASSIUM IODIDE,False,False,False
240,237: POTASSIUM OXIDE,False,False,False
241,238: PROPANE,False,False,False
242,"239: PROPANE, LIQUID",False,False,False
243,240: N-PROPYL ALCOHOL,False,False,False
244,241: PYRIDINE,False,False,False
245,"242: RUBBER, BUTYL",False,False,False
246,"243: RUBBER, NATURAL",False,False,False
247,"244: RUBBER, NEOPRENE",False,False,False
248,245: SILICON DIOXIDE,False,False,False
249,246: SILVER BROMIDE,False,False,False
250,247: SILVER CHLORIDE,False,False,False
251,248: SILVER HALIDES IN PHOTOGRAPHIC EMULSION,False,False,False
252,249: SILVER IODIDE,False,False,False
253,250: SKIN (ICRP),False,False,False
254,251: SODIUM CARBONATE,False,False,False
255,252: SODIUM IODIDE,False,False,False
256,253: SODIUM MONOXIDE,False,False,False
257,254: SODIUM NITRATE,False,False,False
258,255: STILBENE,False,False,False
259,256: SUCROSE,False,False,False
260,257: TERPHENYL,False,False,False
261,258: TESTES (ICRP),False,False,False
262,259: TETRACHLOROETHYLENE,False,False,False
263,260: THALLIUM CHLORIDE,False,False,False
264,"261: TISSUE, SOFT (ICRP)",False,False,False
265,"262: TISSUE, SOFT (ICRU FOUR-COMPONENT)",False,False,False
266,263: TISSUE-EQUIVALENT GAS (METHANE BASED),False,False,False
267,264: TISSUE-EQUIVALENT GAS (PROPANE BASED),False,False,False
268,265: TITANIUM DIOXIDE,False,False,False
269,266: TOLUENE,False,False,False
270,267: TRICHLOROETHYLENE,False,False,False
271,268: TRIETHYL PHOSPHATE,False,False,False
272,269: TUNGSTEN HEXAFLUORIDE,False,False,False
273,270: URANIUM DICARBIDE,False,False,False
274,271: URANIUM MONOCARBIDE,False,False,False
275,272: URANIUM OXIDE,False,False,False
276,273: UREA,False,False,False
277,274: VALINE,False,False,False
