energy_MeV,energy_keV,collision_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,total_stopping_power_MeV_cm2_g,csda_range_g_cm2,radiation_yield,density_effect_delta,material_id,material,density_g_cm3,mean_excitation_energy_eV,csda_range_cm,source,evidence_type,stopping_power_sum_error,stopping_power_sum_relative_error
0.01,10.0,18.04,0.005754,18.05,0.0003207,0.000171,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.00013943478260869567,NIST_ESTAR,EVALUATED_REFERENCE,0.00424600000000197,0.00023523545706382107
0.0125,12.5,15.26,0.005864,15.26,0.000472,0.0002072,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.00020521739130434784,NIST_ESTAR,EVALUATED_REFERENCE,-0.0058640000000007575,0.0003842726081258688
0.015,15.0,13.3,0.005942,13.3,0.000648,0.0002419,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.00028173913043478264,NIST_ESTAR,EVALUATED_REFERENCE,-0.005941999999999226,0.0004467669172931748
0.0175,17.5,11.84,0.005999,11.84,0.0008476,0.0002755,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0003685217391304348,NIST_ESTAR,EVALUATED_REFERENCE,-0.005998999999999199,0.0005066722972972297
0.02,20.0,10.7,0.006044,10.71,0.00107,0.000308,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.00046521739130434784,NIST_ESTAR,EVALUATED_REFERENCE,0.003956000000002291,0.00036937441643345386
0.025,25.0,9.049,0.006107,9.056,0.00158,0.0003704,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0006869565217391305,NIST_ESTAR,EVALUATED_REFERENCE,0.0008929999999995886,9.860865724377083e-05
0.03,30.0,7.899,0.006153,7.905,0.002173,0.0004298,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0009447826086956523,NIST_ESTAR,EVALUATED_REFERENCE,-0.00015300000000006975,1.9354838709686244e-05
0.035,35.0,7.049,0.006189,7.055,0.002844,0.0004867,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.001236521739130435,NIST_ESTAR,EVALUATED_REFERENCE,-0.00018900000000066086,2.6789510985210613e-05
0.04,40.0,6.393,0.00622,6.4,0.003589,0.0005415,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0015604347826086958,NIST_ESTAR,EVALUATED_REFERENCE,0.000780000000000669,0.00012187500000010454
0.045,45.0,5.872,0.006249,5.878,0.004405,0.0005944,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.001915217391304348,NIST_ESTAR,EVALUATED_REFERENCE,-0.00024900000000016576,4.2361347397102035e-05
0.05,50.0,5.446,0.006276,5.453,0.005289,0.0006457,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0022995652173913046,NIST_ESTAR,EVALUATED_REFERENCE,0.0007240000000008351,0.0001327709517698212
0.055,55.0,5.092,0.006302,5.099,0.006238,0.0006955,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.0027121739130434785,NIST_ESTAR,EVALUATED_REFERENCE,0.0006980000000007536,0.00013688958619351903
0.06,60.0,4.793,0.006328,4.799,0.00725,0.000744,0.0,144,"CONCRETE, PORTLAND",2.3,135.2,0.003152173913043479,NIST_ESTAR,EVALUATED_REFERENCE,-0.0003279999999996619,6.834757241084849e-05
