source_file,extension,size_bytes,run_number,title,sample_name,start_time,end_time,proton_charge,good_frames
2000164/VESUVIO00042765_ICPevent.txt,.txt,3401,42765,,,,,,
2000164/VESUVIO00042764_ICPalarm.txt,.txt,0,42764,,,,,,
2000164/VESUVIO00042877.raw,.raw,12716032,42877,,,,,,
2000164/VESUVIO00042760_ICPevent.txt,.txt,8171,42760,,,,,,
2000164/VESUVIO00042886_ICPevent.txt,.txt,3401,42886,,,,,,
2000164/VESUVIO00042757.raw,.raw,11840000,42757,,,,,,
2000164/VESUVIO00042767_ICPputlog.txt,.txt,18449,42767,,,,,,
2000164/VESUVIO00042873_ICPputlog.txt,.txt,18958,42873,,,,,,
2000164/VESUVIO00042760.nxs,.nxs,17207178,42760,Cd foil square 3mm thick 5cm side in Empty tank,,2020-10-06T01:08:25,2020-10-06T03:41:46,[75.00558  75.018745 74.98364  74.99567  75.016    75.04763 ],331805.0
2000164/VESUVIO00042882_ICPevent.txt,.txt,3401,42882,,,,,,
2000164/VESUVIO00042887_ICPdebug.txt,.txt,34899,42887,,,,,,
2000164/VESUVIO00042883_ICPputlog.txt,.txt,18449,42883,,,,,,
2000164/VESUVIO00042769.log,.log,12798,42769,,,,,,
2000164/VESUVIO00042887.nxs,.nxs,15647200,42887,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T06:42:22,2020-10-15T08:05:33,[30.010715 30.004044 29.98972  29.999863 30.013672 30.044563],137879.0
2000164/VESUVIO00042765_ICPputlog.txt,.txt,18449,42765,,,,,,
2000164/VESUVIO00042878.nxs,.nxs,15686147,42878,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-14T21:25:39,2020-10-14T22:27:48,[30.025303 29.991375 30.000174 29.997414 30.000069 30.05198 ],134739.0
2000164/VESUVIO00042886.log,.log,10615,42886,,,,,,
2000164/VESUVIO00042887_ICPputlog.txt,.txt,18449,42887,,,,,,
2000164/VESUVIO00042869.log,.log,35768,42869,,,,,,
2000164/VESUVIO00042877.nxs,.nxs,15715323,42877,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-14T19:25:43,2020-10-14T21:25:30,[30.009424 30.012625 29.995312 29.99749  29.995037 30.060944],137715.0
2000164/VESUVIO00042881.nxs,.nxs,15655020,42881,concrete 2.44g/cm3 1.02x24.75cm3 60.26g in tank,,2020-10-15T00:31:34,2020-10-15T01:33:00,[30.010717 30.001863 29.99693  30.005444 29.987358 30.069038],132969.0
2000164/VESUVIO00042767.nxs,.nxs,15757209,42767,concrete 3.16g/cm3 1.20x5.0x5.0cm3 74.8g in Empty tank,,2020-10-06T14:07:15,2020-10-06T15:08:41,[30.020105 29.997417 29.99085  30.006706 30.005924 30.047478],132620.0
2000164/VESUVIO00042884_ICPputlog.txt,.txt,18449,42884,,,,,,
2000164/VESUVIO00042880_ICPputlog.txt,.txt,18449,42880,,,,,,
2000164/VESUVIO00042769.raw,.raw,13276672,42769,,,,,,
2000164/VESUVIO00042878.log,.log,9519,42878,,,,,,
2000164/VESUVIO00042766.raw,.raw,12824576,42766,,,,,,
2000164/VESUVIO00042874_ICPdebug.txt,.txt,34631,42874,,,,,,
2000164/VESUVIO00042875_ICPdebug.txt,.txt,43482,42875,,,,,,
2000164/VESUVIO00042886_ICPalarm.txt,.txt,0,42886,,,,,,
2000164/VESUVIO00042881_ICPdebug.txt,.txt,34769,42881,,,,,,
2000164/VESUVIO00042758.raw,.raw,14836224,42758,,,,,,
2000164/VESUVIO00042881.raw,.raw,12674048,42881,,,,,,
2000164/VESUVIO00042883.raw,.raw,12657664,42883,,,,,,
2000164/VESUVIO00042760_ICPdebug.txt,.txt,74840,42760,,,,,,
2000164/VESUVIO00042880_ICPalarm.txt,.txt,0,42880,,,,,,
2000164/VESUVIO00042885_ICPalarm.txt,.txt,0,42885,,,,,,
2000164/VESUVIO00042761.nxs,.nxs,17208249,42761,Cd foil square 3mm thick 5cm side in Empty tank,,2020-10-06T03:41:56,2020-10-06T06:15:22,[75.001915 75.00419  74.98598  74.998474 75.01052  75.06841 ],331753.0
2000164/VESUVIO00042772_ICPevent.txt,.txt,3401,42772,,,,,,
2000164/VESUVIO00042875.log,.log,14398,42875,,,,,,
2000164/VESUVIO00042876.nxs,.nxs,15726352,42876,concrete 2.92g/cm3 1.10x24.88cm3 70.08g in tank,,2020-10-14T16:16:04,2020-10-14T18:57:58,[30.00782  29.993307 30.012121 30.00328  29.994122 26.953842],131374.0
2000164/VESUVIO00042771_ICPputlog.txt,.txt,21974,42771,,,,,,
2000164/VESUVIO00042873.log,.log,14800,42873,,,,,,
2000164/VESUVIO00042763_ICPputlog.txt,.txt,28150,42763,,,,,,
2000164/VESUVIO00042758_ICPdebug.txt,.txt,81460,42758,,,,,,
2000164/VESUVIO00042768_ICPevent.txt,.txt,3401,42768,,,,,,
2000164/VESUVIO00042882_ICPdebug.txt,.txt,34796,42882,,,,,,
2000164/VESUVIO00042883_ICPevent.txt,.txt,3401,42883,,,,,,
