run_number,role,workspace,workspace_index,spectrum_number,detector_name,contains_gem
44712,early_empty_control,rb0209_discovery_44712,0,1,Monitor 1 | VESUVIO/Monitor 1,False
44712,early_empty_control,rb0209_discovery_44712,1,2,Monitor 2 | VESUVIO/Monitor 2,False
44712,early_empty_control,rb0209_discovery_44712,2,3,S3 | VESUVIO/back/S3,False
44712,early_empty_control,rb0209_discovery_44712,3,4,S4 | VESUVIO/back/S4,False
44712,early_empty_control,rb0209_discovery_44712,4,5,S5 | VESUVIO/back/S5,False
44712,early_empty_control,rb0209_discovery_44712,5,6,S6 | VESUVIO/back/S6,False
44712,early_empty_control,rb0209_discovery_44712,6,7,S7 | VESUVIO/back/S7,False
44712,early_empty_control,rb0209_discovery_44712,7,8,S8 | VESUVIO/back/S8,False
44712,early_empty_control,rb0209_discovery_44712,8,9,S9 | VESUVIO/back/S9,False
44712,early_empty_control,rb0209_discovery_44712,9,10,S10 | VESUVIO/back/S10,False
44712,early_empty_control,rb0209_discovery_44712,10,11,S11 | VESUVIO/back/S11,False
44712,early_empty_control,rb0209_discovery_44712,11,12,S12 | VESUVIO/back/S12,False
44712,early_empty_control,rb0209_discovery_44712,12,13,S13 | VESUVIO/back/S13,False
44712,early_empty_control,rb0209_discovery_44712,13,14,S14 | VESUVIO/back/S14,False
44712,early_empty_control,rb0209_discovery_44712,14,15,S15 | VESUVIO/back/S15,False
44712,early_empty_control,rb0209_discovery_44712,15,16,S16 | VESUVIO/back/S16,False
44712,early_empty_control,rb0209_discovery_44712,16,17,S17 | VESUVIO/back/S17,False
44712,early_empty_control,rb0209_discovery_44712,17,18,S18 | VESUVIO/back/S18,False
44712,early_empty_control,rb0209_discovery_44712,18,19,S19 | VESUVIO/back/S19,False
44712,early_empty_control,rb0209_discovery_44712,19,20,S20 | VESUVIO/back/S20,False
44712,early_empty_control,rb0209_discovery_44712,20,21,S21 | VESUVIO/back/S21,False
44712,early_empty_control,rb0209_discovery_44712,21,22,S22 | VESUVIO/back/S22,False
44712,early_empty_control,rb0209_discovery_44712,22,23,S23 | VESUVIO/back/S23,False
44712,early_empty_control,rb0209_discovery_44712,23,24,S24 | VESUVIO/back/S24,False
44712,early_empty_control,rb0209_discovery_44712,24,25,S25 | VESUVIO/back/S25,False
44712,early_empty_control,rb0209_discovery_44712,25,26,S26 | VESUVIO/back/S26,False
