run_number,path,shape,dtype,size,role
44712,raw_data_1/beamline,"(1,)",|S7,1,early_empty_control
44712,raw_data_1/collection_time,"(1,)",float32,1,early_empty_control
44712,raw_data_1/definition,"(1,)",|S6,1,early_empty_control
44712,raw_data_1/definition_local,"(1,)",|S10,1,early_empty_control
44712,raw_data_1/detector_1/counts,"(1, 196, 9729)",int32,1906884,early_empty_control
44712,raw_data_1/detector_1/period_index,"(1,)",int32,1,early_empty_control
44712,raw_data_1/detector_1/spectrum_index,"(196,)",int32,196,early_empty_control
44712,raw_data_1/detector_1/time_of_flight,"(9730,)",float32,9730,early_empty_control
44712,raw_data_1/duration,"(1,)",float32,1,early_empty_control
44712,raw_data_1/end_time,"(1,)",|S19,1,early_empty_control
44712,raw_data_1/experiment_identifier,"(1,)",|S7,1,early_empty_control
44712,raw_data_1/good_frames,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/detector_table_file,"(1,)",|S83,1,early_empty_control
44712,raw_data_1/instrument/dae/spectra_table_file,"(1,)",|S83,1,early_empty_control
44712,raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw,"(9730,)",int32,9730,early_empty_control
44712,raw_data_1/instrument/dae/type,"(1,)",|S9,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/ISIS_50Hz,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/TS2_pulse,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/ext0,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/ext1,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/ext2,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/ext3,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/fermi_chopper0,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/fermi_chopper1,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/fermi_chopper2,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/fermi_chopper3,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/fifo,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/internal,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/msmode,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/vetos/smp,"(1,)",int32,1,early_empty_control
44712,raw_data_1/instrument/dae/wiring_table_file,"(1,)",|S86,1,early_empty_control
44712,raw_data_1/instrument/detector_1/delt,"(196,)",float32,196,early_empty_control
44712,raw_data_1/instrument/detector_1/distance,"(196,)",float32,196,early_empty_control
44712,raw_data_1/instrument/detector_1/polar_angle,"(196,)",float32,196,early_empty_control
44712,raw_data_1/instrument/detector_1/source_detector_distance,"(1,)",float32,1,early_empty_control
44712,raw_data_1/instrument/moderator/distance,"(1,)",float32,1,early_empty_control
44712,raw_data_1/instrument/name,"(1,)",|S7,1,early_empty_control
44712,raw_data_1/instrument/source/name,"(1,)",|S4,1,early_empty_control
44712,raw_data_1/instrument/source/probe,"(1,)",|S8,1,early_empty_control
44712,raw_data_1/instrument/source/type,"(1,)",|S21,1,early_empty_control
44712,raw_data_1/isis_vms_compat/ADD,"(9,)",int32,9,early_empty_control
44712,raw_data_1/isis_vms_compat/CODE,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/CRAT,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/CRPB,"(32, 1)",|S4,32,early_empty_control
44712,raw_data_1/isis_vms_compat/CSPB,"(64, 1)",|S4,64,early_empty_control
44712,raw_data_1/isis_vms_compat/DAEP,"(64,)",int32,64,early_empty_control
44712,raw_data_1/isis_vms_compat/DELT,"(198,)",float32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/FORM,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/HDR,"(1,)",|S80,1,early_empty_control
44712,raw_data_1/isis_vms_compat/IRPB,"(32,)",int32,32,early_empty_control
44712,raw_data_1/isis_vms_compat/ISPB,"(64,)",int32,64,early_empty_control
44712,raw_data_1/isis_vms_compat/IVPB,"(64,)",int32,64,early_empty_control
44712,raw_data_1/isis_vms_compat/LEN2,"(198,)",float32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/MDET,"(2,)",int32,2,early_empty_control
44712,raw_data_1/isis_vms_compat/MODN,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/MONP,"(2,)",int32,2,early_empty_control
44712,raw_data_1/isis_vms_compat/MPOS,"(198,)",int32,198,early_empty_control
44712,raw_data_1/isis_vms_compat/NAME,"(1,)",|S8,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NDET,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NFPP,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NMON,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NOTE,"(1,)",|S19,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NPER,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NSEP,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NSP1,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NTC1,"(1,)",int32,1,early_empty_control
44712,raw_data_1/isis_vms_compat/NTLL,"(1,)",int32,1,early_empty_control
