run_number,path,shape,dtype,size,value,matching_attributes,role
44712,raw_data_1/definition,"(1,)",|S6,1,[TOFRAW],url=b'http://definition.nexusformat.org/instruments/TOFRAW?version=1.0',early_empty_control
44712,raw_data_1/definition_local,"(1,)",|S10,1,[ISISTOFRAW],url=b'http://svn.isis.rl.ac.uk/instruments/ISISTOFRAW?version=1.0',early_empty_control
44712,raw_data_1/detector_1/counts,"(1, 196, 9729)",int32,1906884,,"axes=b'period_index,spectrum_index,time_of_flight' | target=b'/raw_data_1/instrument/detector_1/counts'",early_empty_control
44712,raw_data_1/detector_1/period_index,"(1,)",int32,1,[1],,early_empty_control
44712,raw_data_1/detector_1/spectrum_index,"(196,)",int32,196,,target=b'/raw_data_1/instrument/detector_1/spectrum_index',early_empty_control
44712,raw_data_1/detector_1/time_of_flight,"(9730,)",float32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight',early_empty_control
44712,raw_data_1/instrument/dae/detector_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/detector_dae3_00.dat],,early_empty_control
44712,raw_data_1/instrument/dae/spectra_table_file,"(1,)",|S83,1,[C:/Instrument/Settings/config/NDXVESUVIO/configurations/tables/spectrum_dae3_00.dat],,early_empty_control
44712,raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw,"(9730,)",int32,9730,,target=b'/raw_data_1/instrument/dae/time_channels_1/time_of_flight_raw',early_empty_control
44712,raw_data_1/instrument/detector_1/delt,"(196,)",float32,196,,,early_empty_control
44712,raw_data_1/instrument/detector_1/distance,"(196,)",float32,196,,,early_empty_control
44712,raw_data_1/instrument/detector_1/polar_angle,"(196,)",float32,196,,,early_empty_control
44712,raw_data_1/instrument/detector_1/source_detector_distance,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/instrument/moderator/distance,"(1,)",float32,1,[-0.0],,early_empty_control
44712,raw_data_1/isis_vms_compat/HDR,"(1,)",|S80,1,[VES44712Martellucci         Empty tank with GEM     08-MAY-2021 16:01:23   30.06],,early_empty_control
44712,raw_data_1/isis_vms_compat/TITL,"(1,)",|S80,1,[Empty tank with GEM                                                             ],,early_empty_control
44712,raw_data_1/monitor_1/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",early_empty_control
44712,raw_data_1/monitor_1/monitor_number,"(1,)",int32,1,[1],,early_empty_control
44712,raw_data_1/monitor_1/spectrum_index,"(1,)",int32,1,[1],,early_empty_control
44712,raw_data_1/monitor_2/data,"(1, 1, 9729)",int32,9729,,"axes=b'period_index,spectrum_index,time_of_flight'",early_empty_control
44712,raw_data_1/monitor_2/monitor_number,"(1,)",int32,1,[2],,early_empty_control
44712,raw_data_1/monitor_2/spectrum_index,"(1,)",int32,1,[2],,early_empty_control
44712,raw_data_1/monitor_events_not_saved,"(1,)",int64,1,[0],,early_empty_control
44712,raw_data_1/runlog/icp_event/time,"(6,)",float32,6,"[-4.0, 0.0, 0.0, 0.0, 635.0, 635.0]",,early_empty_control
44712,raw_data_1/runlog/icp_event/value,"(6, 1)",|S65,6,"[CHANGE_PERIOD 1                                                  , CHANGE_PERIOD 1                                                  , START_COLLECTION PERIOD 1 GF 0 RF 0 GUAH 0.000000                , BEGIN                                                            , STOP_COLLECTION PERIOD 1 GF 25381 RF 25381 GUAH 30.061893 DUR 635, END                                                              ]",,early_empty_control
44712,raw_data_1/runlog/monitor_sum_1/time,"(111,)",float32,111,"[-2667.0, -2637.0, -2607.0, -2577.0, -2547.0, -2517.0, -2487.0, -2457.0, -2426.0, -2396.0, -2366.0, -2336.0, -2306.0, -2276.0, -2246.0, -2216.0, -2186.0, -2156.0, -2126.0, -2096.0, -2066.0, -2036.0, -2006.0, -1976.0, -1946.0, -1916.0, -1885.0, -1855.0, -1825.0, -1795.0, -1765.0, -1735.0, -1705.0, -1675.0, -1645.0, -1615.0, -1585.0, -1555.0, -1525.0, -1495.0, -1465.0, -1435.0, -1405.0, -1375.0, -1344.0, -1314.0, -1284.0, -1254.0, -1224.0, -1194.0, -1164.0, -1134.0, -1104.0, -1074.0, -1044.0, -1014.0, -984.0, -954.0, -924.0, -894.0, -864.0, -834.0, -803.0, -773.0, -743.0, -713.0, -683.0, -653.0, -623.0, -593.0, -563.0, -533.0, -503.0, -473.0, -443.0, -413.0, -383.0, -353.0, -323.0, -293.0, -262.0, -232.0, -202.0, -172.0, -142.0, -112.0, -82.0, -52.0, -22.0, 11.0, 41.0, 71.0, 101.0, 131.0, 161.0, 191.0, 221.0, 251.0, 281.0, 311.0, 341.0, 371.0, 401.0, 431.0, 461.0, 491.0, 521.0, 552.0, 582.0, 612.0, 637.0]",,early_empty_control
44712,raw_data_1/runlog/monitor_sum_1/value,"(111,)",int32,111,"[919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 919331, 28820, 114969, 200714, 286295, 371799, 456685, 542246, 627894, 713162, 798425, 882814, 967601, 1053037, 1138365, 1224143, 1309696, 1395802, 1481779, 1567795, 1653991, 1740476, 1798033]",,early_empty_control
44712,raw_data_1/sample/distance,"(1,)",float64,1,[0.0],,early_empty_control
44712,raw_data_1/sample/height,"(1,)",float32,1,[0.0],,early_empty_control
44712,raw_data_1/sample/id,"(1,)",|S1,1,[ ],,early_empty_control
