run_number,source_file,line_number,keywords,text
44779,VESUVIO00044779_ICPdebug.txt,15,detector,"2021-05-10T12:49:07 Highest dae, detector card, crate number used = 0, 2, 2"
44779,VESUVIO00044779_ICPdebug.txt,38,channel,2021-05-10T12:50:08 Programming Time channels
44779,VESUVIO00044779_ICPdebug.txt,41,channel,2021-05-10T12:50:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
44779,VESUVIO00044779_ICPdebug.txt,43,channel,2021-05-10T12:50:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
44779,VESUVIO00044779_ICPdebug.txt,45,channel,2021-05-10T12:50:08 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
44724,VESUVIO00044724.log,9,sample,2021-05-08T18:38:14 Sample 829.4179356845098
44724,VESUVIO00044724.log,12,temp,2021-05-08T18:38:14 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,41,sample,2021-05-08T18:42:17 Sample 829.4179356845098
44724,VESUVIO00044724.log,44,temp,2021-05-08T18:42:17 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,62,sample,2021-05-08T18:43:20 Sample 829.4179356845098
44724,VESUVIO00044724.log,65,temp,2021-05-08T18:43:20 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,81,temp,2021-05-08T18:46:16 Water_Bath_Temp 20.44
44724,VESUVIO00044724.log,83,temp,2021-05-08T18:46:20 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,87,temp,2021-05-08T18:47:17 Water_Bath_Temp 20.44
44724,VESUVIO00044724.log,91,temp,2021-05-08T18:47:46 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,96,temp,2021-05-08T18:49:18 Water_Bath_Temp 20.44
44724,VESUVIO00044724.log,98,temp,2021-05-08T18:49:21 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,105,temp,2021-05-08T18:51:17 Water_Bath_Temp 20.44
44724,VESUVIO00044724.log,108,temp,2021-05-08T18:51:40 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,113,temp,2021-05-08T18:52:45 Water_Bath_Temp 20.44
44724,VESUVIO00044724.log,116,temp,2021-05-08T18:53:16 Water_Bath_Temp 20.45
44724,VESUVIO00044724.log,126,sample,2021-05-08T18:53:54 Sample 829.4179356845098
44724,VESUVIO00044724.log,129,temp,2021-05-08T18:53:54 Water_Bath_Temp 20.45
44787,VESUVIO00044787_ICPdebug.txt,13,detector,"2021-05-10T14:24:39 Highest dae, detector card, crate number used = 0, 2, 2"
44787,VESUVIO00044787_ICPdebug.txt,36,channel,2021-05-10T14:25:39 Programming Time channels
44787,VESUVIO00044787_ICPdebug.txt,39,channel,2021-05-10T14:25:39 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
44787,VESUVIO00044787_ICPdebug.txt,41,channel,2021-05-10T14:25:39 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
44787,VESUVIO00044787_ICPdebug.txt,43,channel,2021-05-10T14:25:39 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
44723,VESUVIO00044723.log,25,sample,2021-05-08T18:27:29 Sample 829.4179356845098
44723,VESUVIO00044723.log,28,temp,2021-05-08T18:27:29 Water_Bath_Temp 20.45
44723,VESUVIO00044723.log,98,sample,2021-05-08T18:38:05 Sample 829.4179356845098
44723,VESUVIO00044723.log,101,temp,2021-05-08T18:38:05 Water_Bath_Temp 20.45
45135,VESUVIO00045135.log,9,sample,2021-05-25T14:12:59 Sample 827.6352577318944
45135,VESUVIO00045135.log,139,sample,2021-05-25T14:42:58 Sample 827.6352577318944
45135,VESUVIO00045135.log,180,sample,2021-05-25T14:50:01 Sample 827.6352577318944
44770,VESUVIO00044770.log,10,sample,2021-05-10T03:12:25 Sample 829.4179356845098
