keywords,text
channel,2021-04-28T19:38:19 Programming Time channels
channel,2021-04-28T19:38:19 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T19:38:19 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T19:38:19 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T20:05:20 Programming Time channels
channel,2021-04-28T20:05:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T20:05:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T20:05:20 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T20:12:12 Programming Time channels
channel,2021-04-28T20:12:12 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T20:12:12 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T20:12:12 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T20:16:51 Programming Time channels
channel,2021-04-28T20:16:51 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T20:16:51 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T20:16:51 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T20:20:04 Programming Time channels
channel,2021-04-28T20:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T20:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T20:20:04 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T21:25:16 Programming Time channels
channel,2021-04-28T21:25:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T21:25:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T21:25:16 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T22:31:43 Programming Time channels
channel,2021-04-28T22:31:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T22:31:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T22:31:43 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T22:34:31 Programming Time channels
channel,2021-04-28T22:34:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T22:34:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T22:34:31 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-28T23:39:42 Programming Time channels
channel,2021-04-28T23:39:42 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-28T23:39:42 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-28T23:39:42 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T00:47:00 Programming Time channels
channel,2021-04-29T00:47:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T00:47:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T00:47:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T01:54:01 Programming Time channels
channel,2021-04-29T01:54:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T01:54:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T01:54:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T06:02:25 Programming Time channels
channel,2021-04-29T06:02:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T06:02:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T06:02:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T07:13:59 Programming Time channels
channel,2021-04-29T07:13:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T07:13:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T07:13:59 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T08:20:49 Programming Time channels
channel,2021-04-29T08:20:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T08:20:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T08:20:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-04-29T09:28:00 Programming Time channels
channel,2021-04-29T09:28:00 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-04-29T09:28:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-04-29T09:28:01 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T16:01:22 Programming Time channels
channel,2021-05-08T16:01:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T16:01:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T16:01:22 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T16:12:05 Programming Time channels
channel,2021-05-08T16:12:05 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T16:12:05 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T16:12:05 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T16:22:49 Programming Time channels
channel,2021-05-08T16:22:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T16:22:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T16:22:49 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T16:38:07 Programming Time channels
channel,2021-05-08T16:38:07 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T16:38:07 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T16:38:07 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T16:48:50 Programming Time channels
channel,2021-05-08T16:48:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T16:48:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T16:48:50 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T17:11:57 Programming Time channels
channel,2021-05-08T17:11:57 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T17:11:57 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T17:11:57 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T17:22:41 Programming Time channels
channel,2021-05-08T17:22:41 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T17:22:41 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T17:22:41 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T17:33:25 Programming Time channels
channel,2021-05-08T17:33:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T17:33:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T17:33:25 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T17:44:09 Programming Time channels
channel,2021-05-08T17:44:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 0
channel,2021-05-08T17:44:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 1
channel,2021-05-08T17:44:09 Setting 9729 time channels from 5.000000 to 39999.000000 us on card 2
channel,2021-05-08T17:54:52 Programming Time channels
