source_file,line_number,text
VESUVIO00044475_ICPdebug.txt,54,2021-04-28T19:38:20 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044475_ICPdebug.txt,225,2021-04-28T20:05:21 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044475_ICPdebug.txt,318,2021-04-28T20:12:13 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044475_ICPdebug.txt,411,2021-04-28T20:16:52 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044475_ICPdebug.txt,530,2021-04-28T20:20:05 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044475_ICPdebug.txt,889,2021-04-28T21:25:07 6 DAQ periods of size 1936270 words
VESUVIO00044476_ICPdebug.txt,52,2021-04-28T21:25:17 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044476_ICPdebug.txt,411,2021-04-28T22:31:35 6 DAQ periods of size 1936270 words
VESUVIO00044477_ICPdebug.txt,52,2021-04-28T22:31:44 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044477_ICPdebug.txt,148,2021-04-28T22:34:32 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044477_ICPdebug.txt,507,2021-04-28T23:39:33 6 DAQ periods of size 1936270 words
VESUVIO00044478_ICPdebug.txt,52,2021-04-28T23:39:43 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044478_ICPdebug.txt,411,2021-04-29T00:46:51 6 DAQ periods of size 1936270 words
VESUVIO00044479_ICPdebug.txt,52,2021-04-29T00:47:01 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044479_ICPdebug.txt,411,2021-04-29T01:53:52 6 DAQ periods of size 1936270 words
VESUVIO00044480_ICPdebug.txt,52,2021-04-29T01:54:02 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044480_ICPdebug.txt,411,2021-04-29T06:02:17 6 DAQ periods of size 1936270 words
VESUVIO00044481_ICPdebug.txt,52,2021-04-29T06:02:26 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044481_ICPdebug.txt,411,2021-04-29T07:13:51 6 DAQ periods of size 1936270 words
VESUVIO00044482_ICPdebug.txt,52,2021-04-29T07:14:00 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044482_ICPdebug.txt,411,2021-04-29T08:20:40 6 DAQ periods of size 1936270 words
VESUVIO00044483_ICPdebug.txt,52,2021-04-29T08:20:50 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044483_ICPdebug.txt,411,2021-04-29T09:27:52 6 DAQ periods of size 1936270 words
VESUVIO00044484_ICPdebug.txt,52,2021-04-29T09:28:02 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044484_ICPdebug.txt,411,2021-04-29T10:34:35 6 DAQ periods of size 1936270 words
VESUVIO00044712_ICPdebug.txt,66,2021-05-08T16:01:23 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044712_ICPdebug.txt,113,2021-05-08T16:11:58 1 DAQ periods of size 1936270 words
VESUVIO00044713_ICPdebug.txt,52,2021-05-08T16:12:06 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044713_ICPdebug.txt,99,2021-05-08T16:22:42 1 DAQ periods of size 1936270 words
VESUVIO00044714_ICPdebug.txt,52,2021-05-08T16:22:50 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044714_ICPdebug.txt,99,2021-05-08T16:33:25 1 DAQ periods of size 1936270 words
VESUVIO00044715_ICPdebug.txt,54,2021-05-08T16:38:08 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044715_ICPdebug.txt,101,2021-05-08T16:48:43 1 DAQ periods of size 1936270 words
VESUVIO00044716_ICPdebug.txt,52,2021-05-08T16:48:51 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044716_ICPdebug.txt,99,2021-05-08T16:59:27 1 DAQ periods of size 1936270 words
VESUVIO00044717_ICPdebug.txt,54,2021-05-08T17:11:58 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044717_ICPdebug.txt,101,2021-05-08T17:22:34 1 DAQ periods of size 1936270 words
VESUVIO00044718_ICPdebug.txt,52,2021-05-08T17:22:42 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044718_ICPdebug.txt,99,2021-05-08T17:33:18 1 DAQ periods of size 1936270 words
VESUVIO00044719_ICPdebug.txt,52,2021-05-08T17:33:26 There is a gap of total size 132 in the DAE1 spectra on the card
VESUVIO00044719_ICPdebug.txt,99,2021-05-08T17:44:02 1 DAQ periods of size 1936270 words
