run_number,period_index,spectrum_number,workspace_index,detector_name,is_monitor,source_to_monitor_m,source_to_sample_m,tof_min_us,tof_max_us,bins,group
44712,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44712,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44713,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44713,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44714,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44714,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44715,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44715,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44716,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44716,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_EARLY
44792,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44792,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44793,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44793,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44794,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44794,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44795,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44795,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44796,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44796,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44797,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44797,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44798,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,CONTROL_LATE
44798,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,CONTROL_LATE
44724,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_1
44724,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_1
44725,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_1
44725,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_1
44726,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_1
44726,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_1
44727,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_1
44727,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_1
44728,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_1
44728,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_1
44743,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44743,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44744,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44744,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44745,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44745,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44746,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44746,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44747,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44747,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44748,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_2
44748,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_2
44749,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44749,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44750,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44750,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44751,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44751,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44752,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44752,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44753,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44753,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44754,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_3M
44754,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_3M
44755,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_4M
44755,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_4M
44756,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_4M
44756,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_4M
44757,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_4M
44757,0,2,1,VESUVIO/Monitor 2,True,13.4502,11.005,5.0,39998.90625,9729,SAMPLE_4M
44758,0,1,0,VESUVIO/Monitor 1,True,8.5715,11.005,5.0,39998.90625,9729,SAMPLE_4M
