run_number,extension,title,normalized_title,sample_name,start_time,end_time,proton_charge,good_frames,source_file,size_bytes
44475,.log,,,,,,,,2000209/VESUVIO00044475.log,29648
44475,.nxs,test,test,,2021-04-28T20:20:06,2021-04-28T21:25:07,"[30.010704040527344, 30.002029418945312, 30.006013870239258, 29.993549346923828, 29.99549102783203, 30.05864715576172]",144796.0,2000209/VESUVIO00044475.nxs,13773997
44475,.raw,,,,,,,,2000209/VESUVIO00044475.raw,11749376
44475,.txt,,,,,,,,2000209/VESUVIO00044475_ICPevent.txt,5548
44475,.txt,,,,,,,,2000209/VESUVIO00044475_ICPdebug.txt,69908
44475,.txt,,,,,,,,2000209/VESUVIO00044475_ICPputlog.txt,27107
44475,.txt,,,,,,,,2000209/VESUVIO00044475_ICPalarm.txt,0
44476,.log,,,,,,,,2000209/VESUVIO00044476.log,10304
44476,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T21:25:18,2021-04-28T22:31:35,"[30.015827178955078, 29.99053192138672, 30.010528564453125, 29.99506378173828, 29.993816375732422, 30.063308715820312]",144778.0,2000209/VESUVIO00044476.nxs,13709507
44476,.raw,,,,,,,,2000209/VESUVIO00044476.raw,11748864
44476,.txt,,,,,,,,2000209/VESUVIO00044476_ICPputlog.txt,18523
44476,.txt,,,,,,,,2000209/VESUVIO00044476_ICPdebug.txt,34697
44476,.txt,,,,,,,,2000209/VESUVIO00044476_ICPalarm.txt,0
44476,.txt,,,,,,,,2000209/VESUVIO00044476_ICPevent.txt,3405
44477,.log,,,,,,,,2000209/VESUVIO00044477.log,11501
44477,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T22:34:33,2021-04-28T23:39:33,"[30.015094757080078, 30.000164031982422, 29.99649429321289, 29.998157501220703, 30.000900268554688, 30.05951690673828]",144780.0,2000209/VESUVIO00044477.nxs,13721634
44477,.raw,,,,,,,,2000209/VESUVIO00044477.raw,11749376
44477,.txt,,,,,,,,2000209/VESUVIO00044477_ICPalarm.txt,0
44477,.txt,,,,,,,,2000209/VESUVIO00044477_ICPputlog.txt,20252
44477,.txt,,,,,,,,2000209/VESUVIO00044477_ICPevent.txt,3711
44477,.txt,,,,,,,,2000209/VESUVIO00044477_ICPdebug.txt,41513
44478,.log,,,,,,,,2000209/VESUVIO00044478.log,11812
44478,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T23:39:43,2021-04-29T00:46:51,"[30.0155029296875, 30.0013427734375, 29.997404098510742, 30.00650405883789, 29.98904037475586, 30.052047729492188]",145206.0,2000209/VESUVIO00044478.nxs,13713667
44478,.raw,,,,,,,,2000209/VESUVIO00044478.raw,11749376
44478,.txt,,,,,,,,2000209/VESUVIO00044478_ICPevent.txt,3405
44478,.txt,,,,,,,,2000209/VESUVIO00044478_ICPalarm.txt,0
44478,.txt,,,,,,,,2000209/VESUVIO00044478_ICPdebug.txt,34465
44478,.txt,,,,,,,,2000209/VESUVIO00044478_ICPputlog.txt,18449
44479,.log,,,,,,,,2000209/VESUVIO00044479.log,13516
44479,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T00:47:02,2021-04-29T01:53:52,"[30.015308380126953, 30.001384735107422, 30.00365447998047, 30.00115203857422, 29.989601135253906, 30.06218719482422]",144949.0,2000209/VESUVIO00044479.nxs,13723011
44479,.raw,,,,,,,,2000209/VESUVIO00044479.raw,11749376
44479,.txt,,,,,,,,2000209/VESUVIO00044479_ICPalarm.txt,0
44479,.txt,,,,,,,,2000209/VESUVIO00044479_ICPdebug.txt,34611
44479,.txt,,,,,,,,2000209/VESUVIO00044479_ICPputlog.txt,18449
44479,.txt,,,,,,,,2000209/VESUVIO00044479_ICPevent.txt,3405
44480,.log,,,,,,,,2000209/VESUVIO00044480.log,19771
44480,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T01:54:02,2021-04-29T06:02:17,"[30.01217269897461, 29.98484230041504, 30.00755500793457, 30.00579833984375, 29.999000549316406, 30.0574951171875]",252399.0,2000209/VESUVIO00044480.nxs,13750041
44480,.raw,,,,,,,,2000209/VESUVIO00044480.raw,11749888
44480,.txt,,,,,,,,2000209/VESUVIO00044480_ICPputlog.txt,18449
44480,.txt,,,,,,,,2000209/VESUVIO00044480_ICPdebug.txt,34628
44480,.txt,,,,,,,,2000209/VESUVIO00044480_ICPevent.txt,3435
44480,.txt,,,,,,,,2000209/VESUVIO00044480_ICPalarm.txt,130
44481,.log,,,,,,,,2000209/VESUVIO00044481.log,9716
44481,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T06:02:27,2021-04-29T07:13:51,"[30.013172149658203, 30.004379272460938, 29.994953155517578, 30.00387954711914, 30.00137710571289, 30.046493530273438]",147922.0,2000209/VESUVIO00044481.nxs,13710340
44481,.raw,,,,,,,,2000209/VESUVIO00044481.raw,11748864
44481,.txt,,,,,,,,2000209/VESUVIO00044481_ICPdebug.txt,34554
44481,.txt,,,,,,,,2000209/VESUVIO00044481_ICPevent.txt,3405
44481,.txt,,,,,,,,2000209/VESUVIO00044481_ICPputlog.txt,18449
44481,.txt,,,,,,,,2000209/VESUVIO00044481_ICPalarm.txt,0
44482,.log,,,,,,,,2000209/VESUVIO00044482.log,9329
44482,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T07:14:01,2021-04-29T08:20:40,"[30.011329650878906, 29.999114990234375, 30.001585006713867, 29.98895263671875, 30.010677337646484, 30.057205200195312]",145641.0,2000209/VESUVIO00044482.nxs,13712197
44482,.raw,,,,,,,,2000209/VESUVIO00044482.raw,11748864
44482,.txt,,,,,,,,2000209/VESUVIO00044482_ICPevent.txt,3405
44482,.txt,,,,,,,,2000209/VESUVIO00044482_ICPalarm.txt,0
44482,.txt,,,,,,,,2000209/VESUVIO00044482_ICPputlog.txt,18449
44482,.txt,,,,,,,,2000209/VESUVIO00044482_ICPdebug.txt,34645
44483,.log,,,,,,,,2000209/VESUVIO00044483.log,10139
44483,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T08:20:50,2021-04-29T09:27:52,"[30.013200759887695, 29.996061325073242, 30.003707885742188, 29.996829986572266, 30.006778717041016, 30.05127716064453]",146580.0,2000209/VESUVIO00044483.nxs,13715090
44483,.raw,,,,,,,,2000209/VESUVIO00044483.raw,11749376
44483,.txt,,,,,,,,2000209/VESUVIO00044483_ICPalarm.txt,0
44483,.txt,,,,,,,,2000209/VESUVIO00044483_ICPputlog.txt,18449
44483,.txt,,,,,,,,2000209/VESUVIO00044483_ICPdebug.txt,34707
44483,.txt,,,,,,,,2000209/VESUVIO00044483_ICPevent.txt,3405
44484,.log,,,,,,,,2000209/VESUVIO00044484.log,10707
44484,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T09:28:02,2021-04-29T10:34:35,"[30.005901336669922, 30.00217628479004, 30.001455307006836, 30.002708435058594, 30.003734588623047, 30.051437377929688]",146823.0,2000209/VESUVIO00044484.nxs,8832308
44484,.raw,,,,,,,,2000209/VESUVIO00044484.raw,11712512
44484,.txt,,,,,,,,2000209/VESUVIO00044484_ICPevent.txt,3405
44484,.txt,,,,,,,,2000209/VESUVIO00044484_ICPputlog.txt,18449
44484,.txt,,,,,,,,2000209/VESUVIO00044484_ICPalarm.txt,0
44484,.txt,,,,,,,,2000209/VESUVIO00044484_ICPdebug.txt,34656
44712,.log,,,,,,,,2000209/VESUVIO00044712.log,6010
44712,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:01:23,2021-05-08T16:11:58,30.061893463134766,25381.0,2000209/VESUVIO00044712.nxs,2581623
44712,.raw,,,,,,,,2000209/VESUVIO00044712.raw,1998848
44712,.txt,,,,,,,,2000209/VESUVIO00044712_ICPputlog.txt,1720
44712,.txt,,,,,,,,2000209/VESUVIO00044712_ICPalarm.txt,0
44712,.txt,,,,,,,,2000209/VESUVIO00044712_ICPdebug.txt,9562
44712,.txt,,,,,,,,2000209/VESUVIO00044712_ICPevent.txt,284
44713,.log,,,,,,,,2000209/VESUVIO00044713.log,3187
44713,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:12:07,2021-05-08T16:22:42,30.069534301757812,25404.0,2000209/VESUVIO00044713.nxs,2504544
44713,.raw,,,,,,,,2000209/VESUVIO00044713.raw,1998848
44713,.txt,,,,,,,,2000209/VESUVIO00044713_ICPputlog.txt,353
44713,.txt,,,,,,,,2000209/VESUVIO00044713_ICPalarm.txt,0
44713,.txt,,,,,,,,2000209/VESUVIO00044713_ICPevent.txt,284
44713,.txt,,,,,,,,2000209/VESUVIO00044713_ICPdebug.txt,8076
44714,.log,,,,,,,,2000209/VESUVIO00044714.log,3088
44714,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:22:51,2021-05-08T16:33:25,30.05894660949707,25386.0,2000209/VESUVIO00044714.nxs,2507663
44714,.raw,,,,,,,,2000209/VESUVIO00044714.raw,1999360
44714,.txt,,,,,,,,2000209/VESUVIO00044714_ICPputlog.txt,353
44714,.txt,,,,,,,,2000209/VESUVIO00044714_ICPdebug.txt,8032
44714,.txt,,,,,,,,2000209/VESUVIO00044714_ICPevent.txt,284
44714,.txt,,,,,,,,2000209/VESUVIO00044714_ICPalarm.txt,0
44715,.log,,,,,,,,2000209/VESUVIO00044715.log,3018
44715,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:38:08,2021-05-08T16:48:43,30.06694793701172,25396.0,2000209/VESUVIO00044715.nxs,2577919
44715,.raw,,,,,,,,2000209/VESUVIO00044715.raw,1999360
44715,.txt,,,,,,,,2000209/VESUVIO00044715_ICPalarm.txt,0
44715,.txt,,,,,,,,2000209/VESUVIO00044715_ICPevent.txt,284
44715,.txt,,,,,,,,2000209/VESUVIO00044715_ICPputlog.txt,507
44715,.txt,,,,,,,,2000209/VESUVIO00044715_ICPdebug.txt,8203
44716,.log,,,,,,,,2000209/VESUVIO00044716.log,2468
44716,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:48:52,2021-05-08T16:59:27,30.064006805419922,25394.0,2000209/VESUVIO00044716.nxs,2509247
44716,.raw,,,,,,,,2000209/VESUVIO00044716.raw,1999360
44716,.txt,,,,,,,,2000209/VESUVIO00044716_ICPputlog.txt,353
44716,.txt,,,,,,,,2000209/VESUVIO00044716_ICPalarm.txt,0
44716,.txt,,,,,,,,2000209/VESUVIO00044716_ICPdebug.txt,8030
44716,.txt,,,,,,,,2000209/VESUVIO00044716_ICPevent.txt,284
44717,.log,,,,,,,,2000209/VESUVIO00044717.log,4213
44717,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:11:59,2021-05-08T17:22:34,30.06562042236328,25409.0,2000209/VESUVIO00044717.nxs,2833716
44717,.raw,,,,,,,,2000209/VESUVIO00044717.raw,2091520
44717,.txt,,,,,,,,2000209/VESUVIO00044717_ICPdebug.txt,8199
44717,.txt,,,,,,,,2000209/VESUVIO00044717_ICPevent.txt,284
44717,.txt,,,,,,,,2000209/VESUVIO00044717_ICPalarm.txt,0
44717,.txt,,,,,,,,2000209/VESUVIO00044717_ICPputlog.txt,507
44718,.log,,,,,,,,2000209/VESUVIO00044718.log,2887
44718,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:22:43,2021-05-08T17:33:18,30.062450408935547,25413.0,2000209/VESUVIO00044718.nxs,2759485
44718,.raw,,,,,,,,2000209/VESUVIO00044718.raw,2092544
44718,.txt,,,,,,,,2000209/VESUVIO00044718_ICPalarm.txt,0
44718,.txt,,,,,,,,2000209/VESUVIO00044718_ICPevent.txt,284
44718,.txt,,,,,,,,2000209/VESUVIO00044718_ICPdebug.txt,8060
44718,.txt,,,,,,,,2000209/VESUVIO00044718_ICPputlog.txt,353
44719,.log,,,,,,,,2000209/VESUVIO00044719.log,3320
44719,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:33:26,2021-05-08T17:44:02,30.06621742248535,25407.0,2000209/VESUVIO00044719.nxs,2761833
44719,.raw,,,,,,,,2000209/VESUVIO00044719.raw,2091520
44719,.txt,,,,,,,,2000209/VESUVIO00044719_ICPputlog.txt,353
44719,.txt,,,,,,,,2000209/VESUVIO00044719_ICPdebug.txt,7993
44719,.txt,,,,,,,,2000209/VESUVIO00044719_ICPalarm.txt,0
44719,.txt,,,,,,,,2000209/VESUVIO00044719_ICPevent.txt,284
44720,.log,,,,,,,,2000209/VESUVIO00044720.log,2886
44720,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:44:10,2021-05-08T17:54:45,30.064369201660156,25394.0,2000209/VESUVIO00044720.nxs,2762321
44720,.raw,,,,,,,,2000209/VESUVIO00044720.raw,2091520
44720,.txt,,,,,,,,2000209/VESUVIO00044720_ICPputlog.txt,353
44720,.txt,,,,,,,,2000209/VESUVIO00044720_ICPalarm.txt,0
44720,.txt,,,,,,,,2000209/VESUVIO00044720_ICPdebug.txt,8061
44720,.txt,,,,,,,,2000209/VESUVIO00044720_ICPevent.txt,284
44721,.log,,,,,,,,2000209/VESUVIO00044721.log,2799
44721,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:54:54,2021-05-08T18:05:29,30.063840866088867,25414.0,2000209/VESUVIO00044721.nxs,2760253
44721,.raw,,,,,,,,2000209/VESUVIO00044721.raw,2092544
44721,.txt,,,,,,,,2000209/VESUVIO00044721_ICPdebug.txt,8033
44721,.txt,,,,,,,,2000209/VESUVIO00044721_ICPalarm.txt,0
44721,.txt,,,,,,,,2000209/VESUVIO00044721_ICPputlog.txt,353
44721,.txt,,,,,,,,2000209/VESUVIO00044721_ICPevent.txt,284
44722,.log,,,,,,,,2000209/VESUVIO00044722.log,2674
44722,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T18:09:10,2021-05-08T18:19:48,30.05954360961914,25422.0,2000209/VESUVIO00044722.nxs,2828306
44722,.raw,,,,,,,,2000209/VESUVIO00044722.raw,2092032
44722,.txt,,,,,,,,2000209/VESUVIO00044722_ICPalarm.txt,0
44722,.txt,,,,,,,,2000209/VESUVIO00044722_ICPputlog.txt,507
44722,.txt,,,,,,,,2000209/VESUVIO00044722_ICPdebug.txt,8186
44722,.txt,,,,,,,,2000209/VESUVIO00044722_ICPevent.txt,284
44723,.log,,,,,,,,2000209/VESUVIO00044723.log,4015
44723,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T18:27:28,2021-05-08T18:38:04,30.059412002563477,25395.0,2000209/VESUVIO00044723.nxs,2441916
44723,.raw,,,,,,,,2000209/VESUVIO00044723.raw,2881536
44723,.txt,,,,,,,,2000209/VESUVIO00044723_ICPdebug.txt,8175
44723,.txt,,,,,,,,2000209/VESUVIO00044723_ICPevent.txt,284
44723,.txt,,,,,,,,2000209/VESUVIO00044723_ICPalarm.txt,0
44723,.txt,,,,,,,,2000209/VESUVIO00044723_ICPputlog.txt,579
44724,.log,,,,,,,,2000209/VESUVIO00044724.log,5542
44724,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T18:43:18,2021-05-08T18:53:53,30.058828353881836,25396.0,2000209/VESUVIO00044724.nxs,3220311
44724,.raw,,,,,,,,2000209/VESUVIO00044724.raw,2613760
44724,.txt,,,,,,,,2000209/VESUVIO00044724_ICPevent.txt,849
44724,.txt,,,,,,,,2000209/VESUVIO00044724_ICPputlog.txt,1371
44724,.txt,,,,,,,,2000209/VESUVIO00044724_ICPalarm.txt,0
44724,.txt,,,,,,,,2000209/VESUVIO00044724_ICPdebug.txt,21112
44725,.log,,,,,,,,2000209/VESUVIO00044725.log,3168
44725,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T18:54:01,2021-05-08T19:04:36,30.057876586914062,25400.0,2000209/VESUVIO00044725.nxs,3141053
44725,.raw,,,,,,,,2000209/VESUVIO00044725.raw,2618880
44725,.txt,,,,,,,,2000209/VESUVIO00044725_ICPputlog.txt,353
44725,.txt,,,,,,,,2000209/VESUVIO00044725_ICPalarm.txt,0
44725,.txt,,,,,,,,2000209/VESUVIO00044725_ICPevent.txt,284
44725,.txt,,,,,,,,2000209/VESUVIO00044725_ICPdebug.txt,8089
44726,.log,,,,,,,,2000209/VESUVIO00044726.log,2625
44726,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:04:45,2021-05-08T19:15:21,30.064250946044922,25440.0,2000209/VESUVIO00044726.nxs,1845080
44726,.raw,,,,,,,,2000209/VESUVIO00044726.raw,2287104
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPevent.txt,284
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPdebug.txt,8013
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPputlog.txt,353
44726,.txt,,,,,,,,2000209/VESUVIO00044726_ICPalarm.txt,0
44727,.log,,,,,,,,2000209/VESUVIO00044727.log,2596
