run_number,extension,title,normalized_title,sample_name,start_time,end_time,proton_charge,good_frames,source_file,size_bytes,title_classification
44475,.nxs,test,test,,2021-04-28T20:20:06,2021-04-28T21:25:07,"[30.010704040527344, 30.002029418945312, 30.006013870239258, 29.993549346923828, 29.99549102783203, 30.05864715576172]",144796.0,2000209/VESUVIO00044475.nxs,13773997,other
44476,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T21:25:18,2021-04-28T22:31:35,"[30.015827178955078, 29.99053192138672, 30.010528564453125, 29.99506378173828, 29.993816375732422, 30.063308715820312]",144778.0,2000209/VESUVIO00044476.nxs,13709507,candidate_control
44477,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T22:34:33,2021-04-28T23:39:33,"[30.015094757080078, 30.000164031982422, 29.99649429321289, 29.998157501220703, 30.000900268554688, 30.05951690673828]",144780.0,2000209/VESUVIO00044477.nxs,13721634,candidate_control
44478,.nxs,empty tank + GEM,empty tank + gem,,2021-04-28T23:39:43,2021-04-29T00:46:51,"[30.0155029296875, 30.0013427734375, 29.997404098510742, 30.00650405883789, 29.98904037475586, 30.052047729492188]",145206.0,2000209/VESUVIO00044478.nxs,13713667,candidate_control
44479,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T00:47:02,2021-04-29T01:53:52,"[30.015308380126953, 30.001384735107422, 30.00365447998047, 30.00115203857422, 29.989601135253906, 30.06218719482422]",144949.0,2000209/VESUVIO00044479.nxs,13723011,candidate_control
44480,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T01:54:02,2021-04-29T06:02:17,"[30.01217269897461, 29.98484230041504, 30.00755500793457, 30.00579833984375, 29.999000549316406, 30.0574951171875]",252399.0,2000209/VESUVIO00044480.nxs,13750041,candidate_control
44481,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T06:02:27,2021-04-29T07:13:51,"[30.013172149658203, 30.004379272460938, 29.994953155517578, 30.00387954711914, 30.00137710571289, 30.046493530273438]",147922.0,2000209/VESUVIO00044481.nxs,13710340,candidate_control
44482,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T07:14:01,2021-04-29T08:20:40,"[30.011329650878906, 29.999114990234375, 30.001585006713867, 29.98895263671875, 30.010677337646484, 30.057205200195312]",145641.0,2000209/VESUVIO00044482.nxs,13712197,candidate_control
44483,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T08:20:50,2021-04-29T09:27:52,"[30.013200759887695, 29.996061325073242, 30.003707885742188, 29.996829986572266, 30.006778717041016, 30.05127716064453]",146580.0,2000209/VESUVIO00044483.nxs,13715090,candidate_control
44484,.nxs,empty tank + GEM,empty tank + gem,,2021-04-29T09:28:02,2021-04-29T10:34:35,"[30.005901336669922, 30.00217628479004, 30.001455307006836, 30.002708435058594, 30.003734588623047, 30.051437377929688]",146823.0,2000209/VESUVIO00044484.nxs,8832308,candidate_control
44712,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:01:23,2021-05-08T16:11:58,30.061893463134766,25381.0,2000209/VESUVIO00044712.nxs,2581623,candidate_control
44713,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:12:07,2021-05-08T16:22:42,30.069534301757812,25404.0,2000209/VESUVIO00044713.nxs,2504544,candidate_control
44714,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:22:51,2021-05-08T16:33:25,30.05894660949707,25386.0,2000209/VESUVIO00044714.nxs,2507663,candidate_control
44715,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:38:08,2021-05-08T16:48:43,30.06694793701172,25396.0,2000209/VESUVIO00044715.nxs,2577919,candidate_control
44716,.nxs,Empty tank with GEM,empty tank with gem,,2021-05-08T16:48:52,2021-05-08T16:59:27,30.064006805419922,25394.0,2000209/VESUVIO00044716.nxs,2509247,candidate_control
44717,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:11:59,2021-05-08T17:22:34,30.06562042236328,25409.0,2000209/VESUVIO00044717.nxs,2833716,other
44718,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:22:43,2021-05-08T17:33:18,30.062450408935547,25413.0,2000209/VESUVIO00044718.nxs,2759485,other
44719,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:33:26,2021-05-08T17:44:02,30.06621742248535,25407.0,2000209/VESUVIO00044719.nxs,2761833,other
44720,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:44:10,2021-05-08T17:54:45,30.064369201660156,25394.0,2000209/VESUVIO00044720.nxs,2762321,other
44721,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T17:54:54,2021-05-08T18:05:29,30.063840866088867,25414.0,2000209/VESUVIO00044721.nxs,2760253,other
44722,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T18:09:10,2021-05-08T18:19:48,30.05954360961914,25422.0,2000209/VESUVIO00044722.nxs,2828306,other
44723,.nxs,3mm Nb in tank with GEM,3mm nb in tank with gem,,2021-05-08T18:27:28,2021-05-08T18:38:04,30.059412002563477,25395.0,2000209/VESUVIO00044723.nxs,2441916,other
44724,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T18:43:18,2021-05-08T18:53:53,30.058828353881836,25396.0,2000209/VESUVIO00044724.nxs,3220311,candidate_sample
44725,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T18:54:01,2021-05-08T19:04:36,30.057876586914062,25400.0,2000209/VESUVIO00044725.nxs,3141053,candidate_sample
44726,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:04:45,2021-05-08T19:15:21,30.064250946044922,25440.0,2000209/VESUVIO00044726.nxs,1845080,candidate_sample
44727,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:15:29,2021-05-08T19:26:04,30.05891227722168,25399.0,2000209/VESUVIO00044727.nxs,1844640,candidate_sample
44728,.nxs,Concrete sample 1 (117.77g) in tank with GEM,concrete sample 1 (117.77g) in tank with gem,,2021-05-08T19:26:13,2021-05-08T19:36:48,30.065717697143555,25405.0,2000209/VESUVIO00044728.nxs,3134727,candidate_sample
44729,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T19:47:31,2021-05-08T20:50:58,180.06297302246094,152224.0,2000209/VESUVIO00044729.nxs,2953708,other
44730,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T20:52:05,2021-05-08T21:55:31,180.0625762939453,152249.0,2000209/VESUVIO00044730.nxs,2293455,other
44731,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T21:56:38,2021-05-08T23:18:04,180.06793212890625,162312.0,2000209/VESUVIO00044731.nxs,2310947,other
44732,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-08T23:19:11,2021-05-09T00:23:17,180.0673828125,152712.0,2000209/VESUVIO00044732.nxs,2293306,other
44733,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T00:24:24,2021-05-09T01:27:57,180.0621337890625,152544.0,2000209/VESUVIO00044733.nxs,2292980,other
44734,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T01:29:04,2021-05-09T02:32:39,180.0618896484375,152585.0,2000209/VESUVIO00044734.nxs,2293666,other
44735,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T02:33:46,2021-05-09T03:37:21,180.0652313232422,152610.0,2000209/VESUVIO00044735.nxs,2293624,other
44736,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T03:38:28,2021-05-09T04:42:04,180.06640625,152664.0,2000209/VESUVIO00044736.nxs,2292577,other
44737,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T04:43:11,2021-05-09T05:46:48,180.0602569580078,152568.0,2000209/VESUVIO00044737.nxs,2292662,other
44738,.nxs,Al window in tank with GEM,al window in tank with gem,,2021-05-09T05:47:54,2021-05-09T06:51:33,180.0648193359375,152737.0,2000209/VESUVIO00044738.nxs,2292647,other
