source_proton_MeV,energy_low_MeV,energy_high_MeV,normalized_flux_density,absolute_error,below_6p5_MeV_constant_assumption,monoenergetic_peak_normalization_range_MeV,peak_to_total_flux_above_6p5_ratio,published_energy_low_MeV,bin_width_MeV,relative_bin_integral,sampling_probability
43,0.0,6.5,0.04405,,True,36.3-45.5,2.17,,6.5,0.286325,0.1163615635921787
43,6.5,7.5,0.04405,0.00151,False,36.3-45.5,2.17,6.5,1.0,0.04405,0.017901779014181336
43,7.5,8.5,0.04423,0.00152,False,36.3-45.5,2.17,7.5,1.0,0.04423,0.017974930438075836
43,8.5,9.5,0.04483,0.00154,False,36.3-45.5,2.17,8.5,1.0,0.04483,0.018218768517724165
43,9.5,10.5,0.04503,0.00154,False,36.3-45.5,2.17,9.5,1.0,0.04503,0.01830004787760694
43,10.5,11.5,0.0439,0.00151,False,36.3-45.5,2.17,10.5,1.0,0.0439,0.01784081949426926
43,11.5,12.5,0.04501,0.00151,False,36.3-45.5,2.17,11.5,1.0,0.04501,0.018291919941618662
43,12.5,13.5,0.04633,0.00157,False,36.3-45.5,2.17,12.5,1.0,0.04633,0.018828363716844983
43,13.5,14.5,0.04931,0.00165,False,36.3-45.5,2.17,13.5,1.0,0.04931,0.020039426179098336
43,14.5,15.5,0.04895,0.00165,False,36.3-45.5,2.17,14.5,1.0,0.04895,0.019893123331309343
43,15.5,16.5,0.04885,0.00162,False,36.3-45.5,2.17,15.5,1.0,0.04885,0.019852483651367953
43,16.5,17.5,0.04752,0.00157,False,36.3-45.5,2.17,16.5,1.0,0.04752,0.019311975908147497
43,17.5,18.5,0.04977,0.00163,False,36.3-45.5,2.17,17.5,1.0,0.04977,0.020226368706828722
43,18.5,19.5,0.04611,0.00151,False,36.3-45.5,2.17,18.5,1.0,0.04611,0.018738956420973927
43,19.5,20.5,0.04707,0.00156,False,36.3-45.5,2.17,19.5,1.0,0.04707,0.01912909734841125
43,20.5,21.5,0.04749,0.00205,False,36.3-45.5,2.17,20.5,1.0,0.04749,0.01929978400416508
43,21.5,22.5,0.04686,0.00202,False,36.3-45.5,2.17,21.5,1.0,0.04686,0.019043754020534334
43,22.5,23.5,0.04653,0.00201,False,36.3-45.5,2.17,22.5,1.0,0.04653,0.018909643076727756
43,23.5,24.5,0.04488,0.00191,False,36.3-45.5,2.17,23.5,1.0,0.04488,0.018239088357694857
43,24.5,25.5,0.04358,0.00188,False,36.3-45.5,2.17,24.5,1.0,0.04358,0.017710772518456815
43,25.5,26.5,0.04097,0.00177,False,36.3-45.5,2.17,25.5,1.0,0.04097,0.016650076871986594
43,26.5,27.5,0.0396,0.0017,False,36.3-45.5,2.17,26.5,1.0,0.0396,0.01609331325678958
43,27.5,28.5,0.03473,0.0015,False,36.3-45.5,2.17,27.5,1.0,0.03473,0.014114160843643992
43,28.5,29.5,0.03491,0.00151,False,36.3-45.5,2.17,28.5,1.0,0.03491,0.014187312267538488
43,29.5,30.5,0.03081,0.00134,False,36.3-45.5,2.17,29.5,1.0,0.03081,0.01252108538994159
43,30.5,31.5,0.02639,0.00116,False,36.3-45.5,2.17,30.5,1.0,0.02639,0.010724811536532248
43,31.5,32.5,0.02097,0.000943,False,36.3-45.5,2.17,31.5,1.0,0.02097,0.008522140883709027
43,32.5,33.5,0.01875,0.00119,False,36.3-45.5,2.17,32.5,1.0,0.01875,0.0076199399890102175
43,33.5,34.5,0.0149,0.00096,False,36.3-45.5,2.17,33.5,1.0,0.0149,0.006055312311266786
43,34.5,35.5,0.0129,0.00084,False,36.3-45.5,2.17,34.5,1.0,0.0129,0.0052425187124390295
43,35.5,36.5,0.01083,0.000711,False,36.3-45.5,2.17,35.5,1.0,0.01083,0.004401277337652301
43,36.5,37.5,0.007232,0.000491,False,36.3-45.5,2.17,36.5,1.0,0.007232,0.0029390616533611674
43,37.5,38.5,0.01337,0.000853,False,36.3-45.5,2.17,37.5,1.0,0.01337,0.005433525208163552
43,38.5,39.5,0.1377,0.00831,False,36.3-45.5,2.17,38.5,1.0,0.1377,0.05596083927929103
43,39.5,40.5,0.3629,0.0218,False,36.3-45.5,2.17,39.5,1.0,0.3629,0.1474813985072964
43,40.5,41.5,0.3677,0.0221,False,36.3-45.5,2.17,40.5,1.0,0.3677,0.14943210314448305
43,41.5,42.5,0.1135,0.00686,False,36.3-45.5,2.17,41.5,1.0,0.1135,0.046126036733475186
43,42.5,43.5,0.005063,0.000354,False,36.3-45.5,2.17,42.5,1.0,0.005063,0.0020575869954324658
43,43.5,44.5,0.0006359,7.29e-05,False,36.3-45.5,2.17,43.5,1.0,0.0006359,0.0002584277247472852
43,44.5,45.5,0.0001634,3.31e-05,False,36.3-45.5,2.17,44.5,1.0,0.0001634,6.64052370242277e-05
