source_proton_MeV,shield_thickness_cm,measured_rem_counter_dose_equivalent_uSv_per_uC,measured_error_percent,estimated_from_measured_spectra_uSv_per_uC,quality_flag,quality_note,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC,incident_peak_fluence_n_cm2_uC
43,0,4.23,0.52,21.5,OK,,JAERI_43MEV_REM_T000_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,0.0,3.15,3150000000.0,19600.0
43,25,0.568,0.95,2.51,OK,,JAERI_43MEV_REM_T025_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,0.0,3.15,3150000000.0,19600.0
43,50,0.0463,0.23,0.269,OK,,JAERI_43MEV_REM_T050_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,0.0,3.15,3150000000.0,19600.0
43,100,0.00197,0.28,0.00519,OK,,JAERI_43MEV_REM_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,0.0,3.15,3150000000.0,19600.0
43,150,6.78e-05,3.1,0.000174,OK,,JAERI_43MEV_REM_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,0.0,3.15,3150000000.0,19600.0
68,0,4.58,0.45,29.9,OK,,JAERI_68MEV_REM_T000_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
68,25,0.685,0.36,,OK,,JAERI_68MEV_REM_T025_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
68,50,0.16,0.7,11.7,PUBLISHED_TABLE_FIGURE_INCONSISTENCY,"Table 25 prints 1.17E+01 uSv/uC for the spectrum-derived estimate, while Fig. 21 is visually inconsistent with that magnitude. The published table value is preserved and must not be silently altered.",JAERI_68MEV_REM_T050_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
68,100,0.01,1.4,0.0519,OK,,JAERI_68MEV_REM_T100_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
68,150,0.000789,1.5,0.00327,OK,,JAERI_68MEV_REM_T150_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
68,200,8.91e-05,4.5,,OK,,JAERI_68MEV_REM_T200_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,0.0,4.0,4000000000.0,24900.0
