geometry_id,benchmark_role,source_proton_MeV,concrete_thickness_cm,concrete_width_cm,concrete_height_cm,additional_iron_collimator_cm,additional_iron_density_g_cm3,collimator_hole_diameter_cm,source_to_rotary_shutter_exit_cm_approx,source_normalization_id,peak_source_intensity_n_sr_uC,source_reference,incident_peak_fluence_n_cm2_uC,scoring_longitudinal_position_status,scoring_modeling_requirement
JAERI_43MEV_BC501A_T025_FE040,BC501A_transmission,43,25,120.0,120.0,40.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,3450000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_43MEV_BC501A_T050_FE040,BC501A_transmission,43,50,120.0,120.0,40.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,3450000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_43MEV_BC501A_T100_FE000,BC501A_transmission,43,100,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_43MEV_BC501A_T150_FE000,BC501A_transmission,43,150,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_68MEV_BC501A_T025_FE080,BC501A_transmission,68,25,120.0,120.0,80.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,4770000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_68MEV_BC501A_T050_FE080,BC501A_transmission,68,50,120.0,120.0,80.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,4770000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_68MEV_BC501A_T100_FE000,BC501A_transmission,68,100,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,4000000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_68MEV_BC501A_T150_FE000,BC501A_transmission,68,150,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,4000000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_68MEV_BC501A_T200_FE000,BC501A_transmission,68,200,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,4000000000.0,JAERI-Data/Code 97-020 Tables 1-2 and Sec. 2.1,,benchmark_report_identifies_detector_behind_shield_but_exact_longitudinal_gap_not_tabulated,explicit_modeling_assumption_and_rationale_required_in_run_provenance
JAERI_43MEV_REM_T000_FE000,rem_counter_dose,43,0,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,19600.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
JAERI_43MEV_REM_T025_FE000,rem_counter_dose,43,25,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,19600.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
JAERI_43MEV_REM_T050_FE000,rem_counter_dose,43,50,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,19600.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
JAERI_43MEV_REM_T100_FE000,rem_counter_dose,43,100,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,19600.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
JAERI_43MEV_REM_T150_FE000,rem_counter_dose,43,150,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,3150000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,19600.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
JAERI_68MEV_REM_T000_FE000,rem_counter_dose,68,0,120.0,120.0,0.0,7.87,10.9,400.0,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,4000000000.0,JAERI-Data/Code 97-020 Table 24 and Sec. 3.4,24900.0,detector_specific_geometry_or_derived_quantity,document_detector_or_conversion definition in run provenance
