source_proton_MeV,shield_thickness_cm,estimated_from_measured_spectra_uSv_per_uC,quality_flag,quality_note,dataset,shield_total_thickness_cm,depth_cm,detector,value,unit
68,50.0,11.7,PUBLISHED_TABLE_FIGURE_INCONSISTENCY,"Table 25 prints 1.17E+01 uSv/uC for the spectrum-derived estimate, while Fig. 21 is visually inconsistent with that magnitude. The published table value is preserved and must not be silently altered.",JAERI_Table25_dose,,,,,
43,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,150.0,25.0,SSNTD,4.5,pits cm-2 uC-1
43,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,150.0,50.0,SSNTD,0.427,pits cm-2 uC-1
43,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,150.0,75.0,SSNTD,0.0472,pits cm-2 uC-1
43,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,150.0,100.0,SSNTD,0.0045,pits cm-2 uC-1
43,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,150.0,125.0,SSNTD,0.00153,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,25.0,SSNTD,9.15,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,50.0,SSNTD,1.56,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,75.0,SSNTD,0.312,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,100.0,SSNTD,0.055,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,125.0,SSNTD,0.0175,pits cm-2 uC-1
68,,,PUBLISHED_TABLE_INTERNAL_INCONSISTENCY,JAERI Table 23 contains an internally inconsistent copied unit/footnote. SSNTD is an etched-track detector; Fig. 20 and the numerical trend support retaining the printed numerical sequence in pits cm^-2 uC^-1.,JAERI_Table23_SSNTD,200.0,150.0,SSNTD,0.00419,pits cm-2 uC-1
