detector,source_proton_MeV,shield_thickness_cm,off_axis_cm,energy_lower_MeV,energy_upper_MeV,lethargy_flux_n_cm2_per_uC,error_percent,geometry_id,source_normalization_id,additional_iron_collimator_cm,peak_source_intensity_x1e9_n_sr_uC,peak_source_intensity_n_sr_uC,expected_run_id,run_id,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC,reference_sigma,mc_statistical_sigma,source_normalization_systematic_percent,source_normalization_systematic_sigma,combined_sigma,residual,relative_residual,percent_difference,log_residual,uncertainty_normalized_residual,uncertainty_correlation_note,benchmark_id,mc_over_reference,abs_log10_ratio,within_factor2,mc_over_2x_reference,mc_under_half_reference,iron_configuration,energy_center_MeV,energy_band
BC501A,43,25,0,43,44,6740.0,10.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,211.574471933628,17.70287205476374,694.22,17.70287205476374,3.4,7.193532045743351,694.4829349827687,-6528.425528066372,-0.9686091287932302,-96.86091287932302,-3.461238154235949,-9.400411729668136,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.031390871206769734,1.5031966309376692,False,False,True,IRON_PRESENT,43.5,>=30 MeV
BC501A,43,25,0,42,43,13200.0,6.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,3538.8017341157733,71.95406624400731,831.6,71.95406624400731,3.4,120.31925895993629,843.3342585984013,-9661.198265884226,-0.7319089595366838,-73.19089595366837,-1.316428652936027,-11.455953754257388,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.26809104046331617,0.5717176997894475,False,False,True,IRON_PRESENT,42.5,>=30 MeV
BC501A,43,25,0,41,42,19700.0,4.6,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,16063.302981596196,149.7980999519412,906.2,149.7980999519412,3.4,546.1523013742707,1068.6066849152799,-3636.6970184038037,-0.18460390956364486,-18.460390956364485,-0.20408128326587946,-3.403213801429779,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.8153960904363552,0.0886313751821059,True,False,False,IRON_PRESENT,41.5,>=30 MeV
BC501A,43,25,0,40,41,22700.0,4.7,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,28377.55202960864,194.06628364355672,1066.9,194.06628364355672,3.4,964.8367690066938,1451.4983028837814,5677.55202960864,0.2501124242118343,25.011242421183432,0.2232334866393747,3.9115113109872026,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,1.2501124242118344,0.09694907142350372,True,False,False,IRON_PRESENT,40.5,>=30 MeV
BC501A,43,25,0,39,40,20200.0,5.3,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,22878.24527332561,170.3693655297436,1070.6,170.3693655297436,3.4,777.8603392930708,1334.2701331275232,2678.2452733256105,0.1325863996695847,13.25863996695847,0.12450386656400513,2.0072736448411805,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,1.1325863996695846,0.0540713422243662,True,False,False,IRON_PRESENT,39.5,>=30 MeV
BC501A,43,25,0,38,39,14000.0,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,9041.82256747571,104.1596548275636,840.0,104.1596548275636,3.4,307.4219672941741,900.531787150691,-4958.1774325242895,-0.3541555308945921,-35.41555308945921,-0.4371965640856017,-5.505832779331542,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.6458444691054079,0.18987205528943824,True,False,False,IRON_PRESENT,38.5,>=30 MeV
BC501A,43,25,0,37,38,7430.0,6.0,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,2200.220938110468,49.00304354520296,445.8,49.00304354520296,3.4,74.80751189575591,454.68131929157454,-5229.779061889532,-0.7038733596082816,-70.38733596082815,-1.2169680769939433,-11.502075937577326,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.29612664039171843,0.5285225204908812,False,False,True,IRON_PRESENT,37.5,>=30 MeV
BC501A,43,25,0,36,37,3130.0,5.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1223.5835973422802,36.16069399613072,181.54,36.16069399613072,3.4,41.601842309637526,189.72369560452313,-1906.4164026577198,-0.6090787228938402,-60.907872289384024,-0.9392490765922508,-10.04838323744032,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.3909212771061598,0.4079106910967392,False,False,True,IRON_PRESENT,36.5,>=30 MeV
BC501A,43,25,0,35,36,1330.0,12.9,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1261.26045026741,36.5353708465117,171.57,36.5353708465117,3.4,42.88285530909194,180.58249500533725,-68.73954973258992,-0.05168387197939092,-5.168387197939092,-0.053067363939166716,-0.38065455752263405,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,0.948316128020609,0.023046863327931717,True,False,False,IRON_PRESENT,35.5,>=30 MeV
BC501A,43,25,0,34,35,1020.0,17.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1337.4956418282443,37.647481502741535,181.56,37.647481502741535,3.4,45.47485182216031,190.91707260417206,317.4956418282443,0.311270237086514,31.127023708651404,0.2709963140403635,1.663002881290283,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,1.311270237086514,0.11769220380385059,True,False,False,IRON_PRESENT,34.5,>=30 MeV
BC501A,43,25,0,33,34,1270.0,13.8,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,40.0,3.45,3450000000.0,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,1398.8026703687656,37.720868739452,175.26,37.720868739452,3.4,47.55929079253803,185.47457421206866,128.80267036876558,0.10141942548721698,10.141942548721698,0.0965997347773449,0.6944492037032238,source_normalization_systematic_sigma is shared/correlated across bins in this proton-energy source; do not treat these per-bin normalized residuals as independent chi-square contributions.,N001_JAERI_TIARA_43MEV,1.101419425487217,0.04195273176711854,True,False,False,IRON_PRESENT,33.5,>=30 MeV
