run_id,benchmark_id,result_type,result_file,per_run_result_file,geometry_id,source_normalization_id,histories,random_seed,provenance_file,implementation_language,transport_threads,multithreaded,notebook_revision,result_sha256,reused_validated_output,status
P001_G4_EM_COEFFICIENTS,P001_NIST_ORDINARY_CONCRETE,photon_attenuation_deterministic,P001_geant4_photon_attenuation.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/P001_geant4_photon_attenuation.csv,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/P001_G4_EM_COEFFICIENTS.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,e63a90d40370b7409f520970b7ae95524906a9bdb224374cabb666992c8c4b85,True,complete
NORM_43MEV_FE000,N001_JAERI_TIARA_43MEV,source_normalization_probe,source_normalization_validation.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/NORM_43MEV_FE000.csv,JAERI_43MEV_SOURCE_NORM_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,1051563945,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/NORM_43MEV_FE000.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,a37ebed77eb965be469c78bddf9a470f2bde8c89267fd78009638bb40b06d882,True,complete
NORM_43MEV_FE040,N001_JAERI_TIARA_43MEV,source_normalization_probe,source_normalization_validation.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/NORM_43MEV_FE040.csv,JAERI_43MEV_SOURCE_NORM_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,1000000,772056211,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/NORM_43MEV_FE040.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,02a1e02172ae203083daab7b82faeae1b013b48bf9e1ef491b1dcb6ad012166d,True,complete
NORM_68MEV_FE000,N002_JAERI_TIARA_68MEV,source_normalization_probe,source_normalization_validation.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/NORM_68MEV_FE000.csv,JAERI_68MEV_SOURCE_NORM_FE000,JAERI_68MEV_PEAK_4.00E9_N_SR_UC,1000000,1130641047,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/NORM_68MEV_FE000.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,3795db8c04dc4f70227d3506e31c4c3e027375147757e31c6c951c713559272c,True,complete
NORM_68MEV_FE080,N002_JAERI_TIARA_68MEV,source_normalization_probe,source_normalization_validation.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/NORM_68MEV_FE080.csv,JAERI_68MEV_SOURCE_NORM_FE080,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,1000000,1028475275,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/NORM_68MEV_FE080.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,323d0d22b452e807fd417c74f3673501b413dc6af09dc22abd6e6e01800f76fb,True,complete
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040.csv,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,1000000,777797286,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,a3da0ff211fd87dcb401e491173d247a3c1eb38c1451dc3f0df8a39e9e9861cc,True,complete
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040.csv,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,1000000,1760836341,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,f9755eb7ab428ad61c14a59d1de7ef171c76bf367f86fb92d15d964e89de3a4a,True,complete
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000.csv,JAERI_43MEV_BC501A_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,10000000,360414347,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,3bc6928ba186c81ceb7d104237dfeff7f0182e7eb98902abca9862fe4b5b61fc,True,complete
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T150_FE000,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T150_FE000.csv,JAERI_43MEV_BC501A_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,100000000,916270154,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T150_FE000.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,b1af7ca2c6dc1011e96ce52ad614c43fed85e9f992f7de2ff417b13bcf5e48c5,True,complete
N001_JAERI_TIARA_43MEV__ICRP21__T000,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__ICRP21__T000.csv,JAERI_43MEV_REM_T000_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,1506328703,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__ICRP21__T000.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,70b0029636b5a6ac96670864797b4d621ba708a566010a1a9e5db3c1c79e3306,True,complete
N001_JAERI_TIARA_43MEV__ICRP21__T025,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__ICRP21__T025.csv,JAERI_43MEV_REM_T025_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,4624243,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__ICRP21__T025.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,abb525e2364f6e8fbf4df719db0f7314ec22cd81549c038d05c1e3a06e37b11d,True,complete
N001_JAERI_TIARA_43MEV__ICRP21__T050,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__ICRP21__T050.csv,JAERI_43MEV_REM_T050_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,121129348,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__ICRP21__T050.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,0ecf2ba1779bba5688388d8d193d27d519c7dd24a54d967b4c164b3bdea28f7d,True,complete
N001_JAERI_TIARA_43MEV__ICRP21__T100,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__ICRP21__T100.csv,JAERI_43MEV_REM_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,1330370000,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__ICRP21__T100.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,c88dc7168decc7d32963c6db52d10491fb0c91f37d9f84dc954e85658a82fd59,True,complete
N001_JAERI_TIARA_43MEV__ICRP21__T150,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N001_JAERI_TIARA_43MEV__ICRP21__T150.csv,JAERI_43MEV_REM_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,1000000,557212571,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N001_JAERI_TIARA_43MEV__ICRP21__T150.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,c6d3726c3b7d9a9ae8307853541fcd5e1a50251fc52e25735320aa3ea450ac90,True,complete
N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T025_FE080,N002_JAERI_TIARA_68MEV,neutron_transmission,N002_geant4_bc501a_transmission.csv,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/per_run/N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T025_FE080.csv,JAERI_68MEV_BC501A_T025_FE080,JAERI_68MEV_PEAK_4.77E9_N_SR_UC,1000000,1665911605,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/geant4_raw/provenance/N002_JAERI_TIARA_68MEV__TRANS__JAERI_68MEV_BC501A_T025_FE080.json,C++17,16,True,v12_18_0_step2c_operational_validation_amendment,be1828890a9377fc959afd3fb9c5af07254a173e32165499b6d65b2fd8f62a56,True,complete
