run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
CTRL_JAERI43_T000,0,9.9999999999999994e-12,1.2798806800472323e-11,0,0
CTRL_JAERI43_T000,0,1.2798806800472323e-11,1.6380945551581657e-11,0,0
CTRL_JAERI43_T000,0,1.6380945551581657e-11,2.0965655732375102e-11,0,0
CTRL_JAERI43_T000,0,2.0965655732375102e-11,2.6833537716388402e-11,0,0
CTRL_JAERI43_T000,0,2.6833537716388402e-11,3.4343726500524242e-11,0,0
CTRL_JAERI43_T000,0,3.4343726500524242e-11,4.395587202884712e-11,0,0
CTRL_JAERI43_T000,0,4.395587202884712e-11,5.62582713843502e-11,0,0
CTRL_JAERI43_T000,0,5.62582713843502e-11,7.2003874637683884e-11,0,0
CTRL_JAERI43_T000,0,7.2003874637683884e-11,9.215636803731451e-11,0,0
CTRL_JAERI43_T000,0,9.215636803731451e-11,1.1794915499428113e-10,0,0
CTRL_JAERI43_T000,0,1.1794915499428113e-10,1.5096084470507755e-10,0,0
CTRL_JAERI43_T000,0,1.5096084470507755e-10,1.9321186858163928e-10,0,0
CTRL_JAERI43_T000,0,1.9321186858163928e-10,2.4728813775346495e-10,0,0
CTRL_JAERI43_T000,0,2.4728813775346495e-10,3.1649930991551841e-10,0,0
CTRL_JAERI43_T000,0,3.1649930991551841e-10,4.050813520091551e-10,0,0
CTRL_JAERI43_T000,0,4.050813520091551e-10,5.1845579628392966e-10,0,0
CTRL_JAERI43_T000,0,5.1845579628392966e-10,6.6356155712230529e-10,0,0
CTRL_JAERI43_T000,0,6.6356155712230529e-10,8.492796169828964e-10,0,0
CTRL_JAERI43_T000,0,8.492796169828964e-10,1.0869765737343225e-09,0,0
CTRL_JAERI43_T000,0,1.0869765737343225e-09,1.3912003163865009e-09,0,0
CTRL_JAERI43_T000,0,1.3912003163865009e-09,1.7805704070186795e-09,0,0
CTRL_JAERI43_T000,0,1.7805704070186795e-09,2.2789176634070446e-09,0,0
CTRL_JAERI43_T000,0,2.2789176634070446e-09,2.9167426888130701e-09,0,0
CTRL_JAERI43_T000,0,2.9167426888130701e-09,3.7330826160808652e-09,0,0
CTRL_JAERI43_T000,0,3.7330826160808652e-09,4.7779003173420784e-09,0,0
CTRL_JAERI43_T000,0,4.7779003173420784e-09,6.115142307357666e-09,0,0
CTRL_JAERI43_T000,0,6.115142307357666e-09,7.8266524949265303e-09,0,0
CTRL_JAERI43_T000,0,7.8266524949265303e-09,1.0017181317699977e-08,0,0
CTRL_JAERI43_T000,0,1.0017181317699977e-08,1.2820796837054278e-08,0,0
CTRL_JAERI43_T000,0,1.2820796837054278e-08,1.6409090174556434e-08,0,0
CTRL_JAERI43_T000,0,1.6409090174556434e-08,2.1001677491567688e-08,0,0
CTRL_JAERI43_T000,0,2.1001677491567688e-08,2.6879641270040362e-08,0,0
CTRL_JAERI43_T000,0,2.6879641270040362e-08,3.4402733548124905e-08,0,0
CTRL_JAERI43_T000,0,3.4402733548124905e-08,4.4031394009057838e-08,0,0
CTRL_JAERI43_T000,0,4.4031394009057838e-08,5.6354930507740693e-08,0,0
CTRL_JAERI43_T000,0,5.6354930507740693e-08,7.2127586782261823e-08,0,0
CTRL_JAERI43_T000,0,7.2127586782261823e-08,9.2314704821047023e-08,0,0
CTRL_JAERI43_T000,0,9.2314704821047023e-08,1.1815180718472118e-07,0,0
CTRL_JAERI43_T000,0,1.1815180718472118e-07,1.5122021532839072e-07,0,0
CTRL_JAERI43_T000,0,1.5122021532839072e-07,1.9354383203138961e-07,0,0
CTRL_JAERI43_T000,0,1.9354383203138961e-07,2.4771301135928274e-07,0,0
CTRL_JAERI43_T000,0,2.4771301135928274e-07,3.1704309743506661e-07,0,0
CTRL_JAERI43_T000,0,3.1704309743506661e-07,4.0577733514947478e-07,0,0
CTRL_JAERI43_T000,0,4.0577733514947478e-07,5.1934657165886352e-07,0,0
CTRL_JAERI43_T000,0,5.1934657165886352e-07,6.6470164331494622e-07,0,0
CTRL_JAERI43_T000,0,6.6470164331494622e-07,8.5073879127444626e-07,0,0
CTRL_JAERI43_T000,0,8.5073879127444626e-07,1.0888441427189009e-06,0,0
CTRL_JAERI43_T000,0,1.0888441427189009e-06,1.3935905818485126e-06,0,0
CTRL_JAERI43_T000,0,1.3935905818485126e-06,1.7836296616036959e-06,0,0
CTRL_JAERI43_T000,0,1.7836296616036959e-06,2.2828331442457534e-06,0,0
CTRL_JAERI43_T000,0,2.2828331442457534e-06,2.9217540370916224e-06,0,0
CTRL_JAERI43_T000,0,2.9217540370916224e-06,3.7394965439235719e-06,0,0
CTRL_JAERI43_T000,0,3.7394965439235719e-06,4.7861093796711856e-06,0,0
CTRL_JAERI43_T000,0,4.7861093796711856e-06,6.1256489276339944e-06,0,0
CTRL_JAERI43_T000,0,6.1256489276339944e-06,7.8400997152308127e-06,0,0
CTRL_JAERI43_T000,0,7.8400997152308127e-06,1.0034392155167725e-05,0,0
CTRL_JAERI43_T000,0,1.0034392155167725e-05,1.2842824655416706e-05,0,0
CTRL_JAERI43_T000,0,1.2842824655416706e-05,1.6437283153702097e-05,0.14459239631430318,0.14459239631430312
CTRL_JAERI43_T000,0,1.6437283153702097e-05,2.1037761140889196e-05,0,0
CTRL_JAERI43_T000,0,2.1037761140889196e-05,2.6925824035672502e-05,0,0
CTRL_JAERI43_T000,0,2.6925824035672502e-05,3.4461841977608709e-05,0,0
CTRL_JAERI43_T000,0,3.4461841977608709e-05,4.4107045745982086e-05,0,0
CTRL_JAERI43_T000,0,4.4107045745982086e-05,5.6451755704242055e-05,0.14459096155779555,0.14459096155779555
CTRL_JAERI43_T000,0,5.6451755704242055e-05,7.2251511480605547e-05,0,0
CTRL_JAERI43_T000,0,7.2251511480605547e-05,9.2473313648237842e-05,0,0
CTRL_JAERI43_T000,0,9.2473313648237842e-05,0.00011835480755832789,0,0
CTRL_JAERI43_T000,0,0.00011835480755832789,0.00015148003158461202,0,0
CTRL_JAERI43_T000,0,0.00015148003158461202,0.00019387636583808986,0.28919531146953437,0.20449186370595862
CTRL_JAERI43_T000,0,0.00019387636583808986,0.00024813861495394043,0.72297380446219095,0.3233230679922921
CTRL_JAERI43_T000,0,0.00024813861495394043,0.00031758781925322828,0.14459099798012631,0.14459099798012631
CTRL_JAERI43_T000,0,0.00031758781925322828,0.0004064745140805393,0.28919830030134214,0.20449397700458652
CTRL_JAERI43_T000,0,0.0004064745140805393,0.00052023887750326993,0.2891934391891422,0.20449053968060255
CTRL_JAERI43_T000,0,0.00052023887750326993,0.00066584368832589395,0.57839683476631365,0.28919798370362154
CTRL_JAERI43_T000,0,0.00066584368832589395,0.00085220047261970434,0.28919970236679454,0.20449496844547188
CTRL_JAERI43_T000,0,0.00085220047261970434,0.00109071492043308,0.14460296314936172,0.14460296314936172
CTRL_JAERI43_T000,0,0.00109071492043308,0.0013959849541015533,0.5783872714177728,0.28919320199996906
