run_id,off_axis_cm,energy_lower_MeV,energy_upper_MeV,mc_lethargy_flux_n_cm2_per_uC,mc_sigma_lethargy_flux_n_cm2_per_uC
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,4,5,64.146535637407695,2.5397797379239408
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,5,6,76.972505301300558,3.2095438389778241
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,6,7,77.688268835034464,3.4807130436708511
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,7,8,73.590514831557627,3.7465931382337478
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,8,9,72.368563294819864,3.9948370244857427
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,9,10,77.477230939894085,4.3529364337010295
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,10,11,81.155437431168224,4.7086740155897413
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,11,12,73.507422008615578,4.7303277351349147
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,12,13,85.408135491845343,5.4054895484618264
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,13,14,72.100430133141728,5.071193037848535
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,14,15,94.824183569048756,6.1762368523311757
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,15,16,93.0672836403064,6.2886275963988183
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,16,17,134.86606569268906,7.8104587560421361
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,17,18,130.61253722792927,8.008619712875543
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,18,19,146.4574930391901,8.8096129843577167
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,19,20,158.71245449604598,9.5206909925821233
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,20,21,117.39091943303436,8.2098370326106522
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,21,22,150.82178748319575,9.7867993924104653
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,22,23,129.96474932227451,9.2385576725751406
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,23,24,165.80825816678438,10.891109741244296
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,24,25,162.79943954004622,10.728031858906911
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,25,26,157.68216052954017,10.753947274746924
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,26,27,188.83921591437863,12.261425795522133
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,27,28,180.51194948923597,12.182367441819677
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,28,29,184.42214376273054,12.465770001469819
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,29,30,163.87538330492683,11.991631548184094
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,30,31,187.94970191510504,13.097144133479009
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,31,32,172.82954409816139,12.852598838777915
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,32,33,176.61903930076471,13.101783656514156
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,33,34,178.44477176767603,13.467389984407586
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,34,35,166.6580394623476,13.085590540471692
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,35,36,159.87220107613177,12.905801308523005
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,36,37,181.49179104769081,13.890467207591577
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,37,38,397.41784217857065,21.05712796677464
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,38,39,1256.4417133977486,39.088329596785734
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,39,40,2633.0602705793972,57.952155934149616
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,40,41,3053.0201836319261,63.76581002141404
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,41,42,1557.5521440769708,46.420960193747732
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,42,43,338.41451778681954,22.001168988449926
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,0,43,44,13.884658965777009,4.4860150200369118
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,4,5,22.120848222160955,1.5224946825800885
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,5,6,24.800017620374479,1.8368404748434921
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,6,7,28.023099265516624,2.1422837888403383
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,7,8,20.651046647003291,1.9740034312675687
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,8,9,16.347695732407313,1.8306507949512574
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,9,10,16.102597720135471,1.901495871660172
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,10,11,21.289626698378715,2.4863191669515361
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,11,12,21.576253944281937,2.5384543554466594
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,12,13,21.18149899103603,2.6747513582324682
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,13,14,23.731044409255983,2.7838833249293176
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,14,15,22.662800326681207,2.9700825948550995
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,15,16,20.84132999428882,2.8471857880595546
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,16,17,22.871628212135786,3.1750284859799569
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,17,18,33.308801449706927,3.8868472740559459
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,18,19,37.625038899071917,4.4430519496687895
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,19,20,38.780096101066064,4.6138885599383572
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,20,21,34.259008350996709,4.3476422625652953
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,21,22,41.371174071956645,5.1376571116704932
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,22,23,41.434026441636398,5.163204277543592
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,23,24,49.030423469015751,6.0293072182289071
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,24,25,41.442611259785934,5.4025846588271396
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,25,26,49.354732900094888,5.8932885123661976
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,26,27,59.531681247199266,6.8578708165979334
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,27,28,56.270180404927359,6.7740775461471383
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,28,29,60.406937755364915,7.2242688429255599
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,29,30,45.682506642535422,6.3186300208298052
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,30,31,68.179239589988853,8.0980129515667389
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,31,32,53.458023431677631,7.0172761851724106
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,32,33,33.678187418525738,5.5463216486470515
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,33,34,45.859654586657264,6.6531611410029559
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,34,35,35.980596945447864,5.6398490082863315
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,35,36,47.913246794096281,7.4643496419494886
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,36,37,85.045246115982224,9.4958812848178713
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,37,38,159.21076389383336,13.359756757856603
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,38,39,318.34605291578106,18.859340940566589
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,39,40,524.06914962543874,25.240007506160968
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,40,41,404.85811135151744,22.465536615135772
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,41,42,121.85214184689188,12.759388744312099
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,42,43,22.109618296038214,5.7584432674794765
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,20,43,44,1.3614615592166852,1.1866541463638209
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,4,5,6.2227328542721985,0.82729536078045363
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,5,6,5.318569919279879,0.83954646830665303
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,6,7,5.5995252165763691,0.90496236163441079
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,7,8,5.9212528090953649,1.0679402275820642
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,8,9,3.1786365039431965,0.69667818820214367
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,9,10,4.6894118113197978,1.0178632630142117
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,10,11,4.8564524520259775,1.1469148509045408
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,11,12,4.0898239491585526,1.0452031523397207
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,12,13,5.4662038341792574,1.3029738962592685
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,13,14,6.9078665298343411,1.5019085765753033
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,14,15,5.0213021993023332,1.2800831178764327
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,15,16,7.2664111871157493,1.9067496510617283
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,16,17,7.7903933648938199,1.7382636121981396
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,17,18,8.0279908773338224,1.9712546833268219
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,18,19,11.539314615422557,2.4026475488892562
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,19,20,8.1622797846931405,2.0487245677976804
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,20,21,5.8257505654929123,1.681733960033537
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,21,22,10.855876761001968,2.6491448497135699
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,22,23,9.5392642231873097,2.3068230885845775
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,23,24,4.3638974657512266,1.6143468904591969
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,40,24,25,8.2215220765665435,2.4724159843455373
