energy_lower_MeV,energy_upper_MeV
1e-11,1.2798806800472323e-11
1.2798806800472323e-11,1.6380945551581657e-11
1.6380945551581657e-11,2.0965655732375102e-11
2.0965655732375102e-11,2.6833537716388402e-11
2.6833537716388402e-11,3.434372650052424e-11
3.434372650052424e-11,4.395587202884712e-11
4.395587202884712e-11,5.62582713843502e-11
5.62582713843502e-11,7.200387463768388e-11
7.200387463768388e-11,9.215636803731451e-11
9.215636803731451e-11,1.1794915499428113e-10
1.1794915499428113e-10,1.5096084470507755e-10
1.5096084470507755e-10,1.9321186858163928e-10
1.9321186858163928e-10,2.4728813775346495e-10
2.4728813775346495e-10,3.164993099155184e-10
3.164993099155184e-10,4.050813520091551e-10
4.050813520091551e-10,5.184557962839297e-10
5.184557962839297e-10,6.635615571223053e-10
6.635615571223053e-10,8.492796169828964e-10
8.492796169828964e-10,1.0869765737343225e-09
1.0869765737343225e-09,1.3912003163865009e-09
1.3912003163865009e-09,1.7805704070186795e-09
1.7805704070186795e-09,2.2789176634070446e-09
2.2789176634070446e-09,2.91674268881307e-09
2.91674268881307e-09,3.733082616080865e-09
3.733082616080865e-09,4.7779003173420784e-09
4.7779003173420784e-09,6.115142307357666e-09
6.115142307357666e-09,7.82665249492653e-09
7.82665249492653e-09,1.0017181317699977e-08
1.0017181317699977e-08,1.2820796837054278e-08
1.2820796837054278e-08,1.6409090174556434e-08
1.6409090174556434e-08,2.1001677491567688e-08
2.1001677491567688e-08,2.687964127004036e-08
2.687964127004036e-08,3.4402733548124905e-08
3.4402733548124905e-08,4.403139400905784e-08
4.403139400905784e-08,5.6354930507740693e-08
5.6354930507740693e-08,7.212758678226182e-08
7.212758678226182e-08,9.231470482104702e-08
9.231470482104702e-08,1.1815180718472118e-07
1.1815180718472118e-07,1.5122021532839072e-07
1.5122021532839072e-07,1.9354383203138961e-07
1.9354383203138961e-07,2.4771301135928274e-07
2.4771301135928274e-07,3.170430974350666e-07
3.170430974350666e-07,4.057773351494748e-07
4.057773351494748e-07,5.193465716588635e-07
5.193465716588635e-07,6.647016433149462e-07
6.647016433149462e-07,8.507387912744463e-07
8.507387912744463e-07,1.0888441427189009e-06
1.0888441427189009e-06,1.3935905818485126e-06
1.3935905818485126e-06,1.783629661603696e-06
1.783629661603696e-06,2.2828331442457534e-06
2.2828331442457534e-06,2.9217540370916224e-06
2.9217540370916224e-06,3.739496543923572e-06
3.739496543923572e-06,4.7861093796711856e-06
4.7861093796711856e-06,6.125648927633994e-06
6.125648927633994e-06,7.840099715230813e-06
7.840099715230813e-06,1.0034392155167725e-05
1.0034392155167725e-05,1.2842824655416706e-05
1.2842824655416706e-05,1.6437283153702097e-05
1.6437283153702097e-05,2.1037761140889196e-05
2.1037761140889196e-05,2.6925824035672502e-05
2.6925824035672502e-05,3.446184197760871e-05
3.446184197760871e-05,4.4107045745982086e-05
4.4107045745982086e-05,5.6451755704242055e-05
5.6451755704242055e-05,7.225151148060555e-05
7.225151148060555e-05,9.247331364823784e-05
9.247331364823784e-05,0.00011835480755832789
0.00011835480755832789,0.00015148003158461202
0.00015148003158461202,0.00019387636583808986
0.00019387636583808986,0.00024813861495394043
0.00024813861495394043,0.0003175878192532283
0.0003175878192532283,0.0004064745140805393
0.0004064745140805393,0.0005202388775032699
0.0005202388775032699,0.000665843688325894
0.000665843688325894,0.0008522004726197043
0.0008522004726197043,0.00109071492043308
0.00109071492043308,0.0013959849541015533
0.0013959849541015533,0.0017866941723912076
0.0017866941723912076,0.002286755352396486
0.002286755352396486,0.0029267739955268625
0.0029267739955268625,0.003745921491739476
0.003745921491739476,0.004794332546251083
0.004794332546251083,0.006136173599668415
0.006136173599668415,0.007853570039631485
0.007853570039631485,0.010051632563122113
0.010051632563122113,0.012864890320473688
0.012864890320473688,0.01646552457210092
0.01646552457210092,0.021073906786674937
0.021073906786674937,0.026972086149381503
0.026972086149381503,0.034521051963163074
0.034521051963163074,0.044182827462559
0.044182827462559,0.05654874725918955
0.05654874725918955,0.07237564909791058
0.07237564909791058,0.09263219498629403
0.09263219498629403,0.11855815671332583
0.11855815671332583,0.1517402942393978
0.1517402942393978,0.19420947098168756
0.19420947098168756,0.24856494979165553
0.24856494979165553,0.3181334769752515
0.3181334769752515,0.4071728908568754
0.4071728908568754,0.5211327164466952
0.5211327164466952,0.6669876955206577
0.6669876955206577,0.8536646653261193
0.8536646653261193,1.0925889123898864
1.0925889123898864,1.398383440201634
1.398383440201634,1.7897639484120553
1.7897639484120553,2.2906842994176504
2.2906842994176504,2.93180257891218
2.93180257891218,3.7523574784623506
3.7523574784623506,4.802569841314711
4.802569841314711,6.146716354476227
6.146716354476227,7.8670635078244775
7.8670635078244775,10.068902592369156
10.068902592369156,12.886993897250777
12.886993897250777,16.493814512977924
16.493814512977924,21.110114535443095
21.110114535443095,27.01842774749787
27.01842774749787,34.58036367927458
34.58036367927458,44.258739382110754
44.258739382110754,56.64590545840913
56.64590545840913,72.5
