run_id,benchmark_id,result_type,result_file,geometry_id,source_normalization_id,source_proton_MeV,shield_thickness_cm,off_axis_positions_cm,execution_mode,stochastic_transport,minimum_histories,phase1_required,scoring_location_requirement,detector_response_model,dose_conversion_standard
P001_G4_EM_COEFFICIENTS,P001_NIST_ORDINARY_CONCRETE,photon_attenuation_deterministic,P001_geant4_photon_attenuation.csv,P001_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,,,NOT_APPLICABLE,deterministic_geant4_em_coefficient_calculation,False,0,True,NOT_APPLICABLE_INFINITE_MEDIUM_COEFFICIENT,NOT_APPLICABLE,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T025_FE040,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,JAERI_43MEV_BC501A_T025_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,43.0,25.0,"0,20,40",stochastic_transport,True,1000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T050_FE040,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,JAERI_43MEV_BC501A_T050_FE040,JAERI_43MEV_PEAK_3.45E9_N_SR_UC,43.0,50.0,"0,20,40",stochastic_transport,True,1000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T100_FE000,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,JAERI_43MEV_BC501A_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,100.0,0,stochastic_transport,True,10000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__TRANS__JAERI_43MEV_BC501A_T150_FE000,N001_JAERI_TIARA_43MEV,neutron_transmission,N001_geant4_bc501a_transmission.csv,JAERI_43MEV_BC501A_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,150.0,0,stochastic_transport,True,100000000,True,"SINBAD-faithful BC501A flux estimator: 12.7-cm-diameter x 12.7-cm-long explicit BC501A liquid-scintillator cylindrical tally immediately downstream of the concrete; scalar fluence from track length divided by detector volume, binned per unit lethargy.",NOT_MODELED_UNFOLDED_FLUENCE_TARGET,NOT_APPLICABLE
N001_JAERI_TIARA_43MEV__ICRP21__T000,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,JAERI_43MEV_REM_T000_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,0.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N001_JAERI_TIARA_43MEV__ICRP21__T025,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,JAERI_43MEV_REM_T025_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,25.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N001_JAERI_TIARA_43MEV__ICRP21__T050,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,JAERI_43MEV_REM_T050_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,50.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N001_JAERI_TIARA_43MEV__ICRP21__T100,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,JAERI_43MEV_REM_T100_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,100.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
N001_JAERI_TIARA_43MEV__ICRP21__T150,N001_JAERI_TIARA_43MEV,icrp21_dose_equivalent,N001_geant4_icrp21_dose_equivalent.csv,JAERI_43MEV_REM_T150_FE000,JAERI_43MEV_PEAK_3.15E9_N_SR_UC,43.0,150.0,0,stochastic_transport,True,1000000,True,Score sufficiently resolved neutron fluence spectrum for ICRP Publication 21 fluence-to-dose-equivalent conversion in the no-extra-iron geometry represented by the Table 25 reference.,NOT_APPLICABLE_FLUENCE_CONVERSION,ICRP Publication 21
