energy_midpoint_MeV,energy_lower_MeV,energy_upper_MeV,25_cm,50_cm,100_cm,150_cm
4.5,4.0,5.0,634.0,32.0,1.57,
5.5,5.0,6.0,694.0,50.1,1.66,0.0631
6.5,6.0,7.0,676.0,48.2,1.52,0.0687
7.5,7.0,8.0,756.0,56.9,1.44,0.0583
8.5,8.0,9.0,846.0,68.0,1.38,0.0451
9.5,9.0,10.0,911.0,73.7,1.31,0.0378
10.5,10.0,11.0,985.0,78.4,1.3,0.0359
11.5,11.0,12.0,1050.0,81.4,1.33,0.0371
12.5,12.0,13.0,1090.0,80.4,1.39,0.0406
13.5,13.0,14.0,1110.0,77.5,1.46,0.045
14.5,14.0,15.0,1160.0,78.4,1.55,0.0483
15.5,15.0,16.0,1270.0,87.5,1.65,0.0487
16.5,16.0,17.0,1420.0,103.0,1.75,0.0467
17.5,17.0,18.0,1550.0,119.0,1.85,0.0453
18.5,18.0,19.0,1630.0,130.0,1.93,0.0481
19.5,19.0,20.0,1650.0,133.0,2.03,0.0571
20.5,20.0,21.0,1640.0,132.0,2.17,0.0713
21.5,21.0,22.0,1640.0,130.0,2.38,0.0881
22.5,22.0,23.0,1670.0,130.0,2.68,0.105
23.5,23.0,24.0,1730.0,133.0,3.03,0.118
24.5,24.0,25.0,1820.0,143.0,3.4,0.129
25.5,25.0,26.0,1930.0,158.0,3.75,0.136
26.5,26.0,27.0,2040.0,176.0,4.04,0.141
27.5,27.0,28.0,2130.0,192.0,4.29,0.146
28.5,28.0,29.0,2170.0,203.0,4.54,0.153
29.5,29.0,30.0,2150.0,207.0,4.8,0.163
30.5,30.0,31.0,2050.0,205.0,5.06,0.174
31.5,31.0,32.0,1880.0,197.0,5.31,0.185
32.5,32.0,33.0,1610.0,183.0,5.53,0.193
33.5,33.0,34.0,1270.0,164.0,5.78,0.2
34.5,34.0,35.0,1020.0,152.0,6.42,0.211
35.5,35.0,36.0,1330.0,191.0,8.37,0.251
36.5,36.0,37.0,3130.0,371.0,13.1,0.357
37.5,37.0,38.0,7430.0,794.0,21.3,0.54
38.5,38.0,39.0,14000.0,1450.0,31.0,0.747
39.5,39.0,40.0,20200.0,2110.0,37.3,0.865
40.5,40.0,41.0,22700.0,2430.0,35.9,0.816
41.5,41.0,42.0,19700.0,2220.0,27.4,0.625
42.5,42.0,43.0,13200.0,1610.0,16.6,0.391
43.5,43.0,44.0,6740.0,929.0,7.98,0.203
