energy_midpoint_MeV,energy_lower_MeV,energy_upper_MeV,25_cm,50_cm,100_cm,150_cm,200_cm
6.5,6.0,7.0,521.0,90.1,6.38,0.573,0.11
7.5,7.0,8.0,549.0,97.4,7.19,0.592,0.104
8.5,8.0,9.0,535.0,95.6,7.12,0.551,0.0962
9.5,9.0,10.0,521.0,90.6,6.73,0.514,0.0911
10.5,10.0,11.0,522.0,85.5,6.4,0.501,0.0901
11.5,11.0,12.0,541.0,81.3,6.2,0.498,0.0888
12.5,12.0,13.0,571.0,78.2,6.05,0.492,0.0861
13.5,13.0,14.0,599.0,76.4,5.87,0.473,0.0851
14.5,14.0,15.0,617.0,75.7,5.63,0.447,0.0872
15.5,15.0,16.0,632.0,76.9,5.42,0.434,0.0914
16.5,16.0,17.0,672.0,82.2,5.5,0.461,0.0963
17.5,17.0,18.0,764.0,94.5,6.04,0.532,0.102
18.5,18.0,19.0,922.0,116.0,7.07,0.632,0.11
19.5,19.0,20.0,1140.0,147.0,8.44,0.735,0.119
20.5,20.0,21.0,1400.0,185.0,9.98,0.83,0.13
21.5,21.0,22.0,1690.0,227.0,11.6,0.919,0.142
22.5,22.0,23.0,2000.0,270.0,13.2,1.01,0.154
23.5,23.0,24.0,2310.0,311.0,14.9,1.1,0.165
24.5,24.0,25.0,2630.0,348.0,16.6,1.21,0.176
25.5,25.0,26.0,2900.0,378.0,18.0,1.31,0.187
26.5,26.0,27.0,3100.0,399.0,19.0,1.38,0.2
27.5,27.0,28.0,3210.0,411.0,19.3,1.4,0.213
28.5,28.0,29.0,3240.0,414.0,19.3,1.37,0.225
29.5,29.0,30.0,3230.0,413.0,19.1,1.34,0.236
30.5,30.0,31.0,3240.0,412.0,19.3,1.34,0.25
31.5,31.0,32.0,3310.0,416.0,20.2,1.42,0.272
32.5,32.0,33.0,3440.0,427.0,21.8,1.55,0.302
33.5,33.0,34.0,3630.0,446.0,23.9,1.72,0.338
34.5,34.0,35.0,3830.0,471.0,26.2,1.89,0.374
35.5,35.0,36.0,4020.0,500.0,28.2,2.03,0.404
36.5,36.0,37.0,4170.0,531.0,29.8,2.12,0.425
37.5,37.0,38.0,4270.0,563.0,31.0,2.15,0.434
38.5,38.0,39.0,4350.0,598.0,32.0,2.14,0.432
39.5,39.0,40.0,4420.0,638.0,33.0,2.12,0.426
40.5,40.0,41.0,4530.0,682.0,34.2,2.11,0.42
41.5,41.0,42.0,4690.0,734.0,36.0,2.15,0.421
42.5,42.0,43.0,4940.0,793.0,38.4,2.29,0.432
43.5,43.0,44.0,5280.0,857.0,41.5,2.51,0.454
45.0,44.0,46.0,5920.0,953.0,46.6,2.96,0.499
47.0,46.0,48.0,6740.0,1050.0,52.4,3.55,0.555
49.0,48.0,50.0,7050.0,1070.0,53.9,3.88,0.582
51.0,50.0,52.0,6560.0,985.0,49.7,3.85,0.584
53.0,52.0,54.0,5550.0,846.0,43.1,3.65,0.588
55.0,54.0,56.0,5440.0,930.0,46.9,4.04,0.685
57.0,56.0,58.0,9140.0,1790.0,86.4,6.54,1.04
59.0,58.0,60.0,19500.0,3920.0,182.0,12.1,1.71
61.0,60.0,62.0,34800.0,6950.0,314.0,18.4,2.42
63.0,62.0,64.0,46600.0,9240.0,410.0,20.7,2.62
65.0,64.0,66.0,45800.0,9060.0,399.0,16.8,2.1
67.0,66.0,68.0,32400.0,6410.0,283.0,9.86,1.24
69.0,68.0,70.0,16000.0,3120.0,141.0,4.22,0.535
