energy_low_MeV,energy_high_MeV,energy_center_MeV,reference_photon_probability_mass,project_probability_mass_rebinned_to_reference,project_probability_mass_rebinned_normalized,reference_photon_probability_mass_normalized,reference_relative_uncertainty_percent
0.0,0.25,0.125,0.02052908635780816,0.000599041533546326,0.000599041533546326,0.02052908635780816,1.0
0.25,0.5,0.375,0.12087219070485179,0.0049920127795527154,0.0049920127795527154,0.12087219070485179,0.4
0.5,0.75,0.625,0.1256687062090126,0.024960063897763583,0.024960063897763583,0.1256687062090126,0.3
0.75,1.0,0.875,0.10936055349486593,0.07488019169329076,0.07488019169329076,0.10936055349486593,0.3
1.0,1.25,1.125,0.09362798264121854,0.07887380191693291,0.07887380191693291,0.09362798264121854,0.4
1.25,1.5,1.375,0.08019773922956834,0.07862420127795527,0.07862420127795527,0.08019773922956834,0.4
1.5,1.75,1.625,0.0695494748103314,0.07862420127795527,0.07862420127795527,0.0695494748103314,0.4
1.75,2.0,1.875,0.059764583181843384,0.07862420127795532,0.07862420127795532,0.059764583181843384,0.4
2.0,2.25,2.125,0.05132271589452041,0.07862420127795525,0.07862420127795525,0.05132271589452041,0.5
2.25,2.5,2.375,0.04403201232819601,0.07862420127795527,0.07862420127795527,0.04403201232819601,0.5
2.5,2.75,2.625,0.037892472482870206,0.07862420127795527,0.07862420127795527,0.037892472482870206,0.5
2.75,3.0,2.875,0.033287817598875856,0.07862420127795527,0.07862420127795527,0.033287817598875856,0.5
3.0,3.25,3.125,0.028587232404798282,0.07662739616613419,0.07662739616613419,0.028587232404798282,0.6
3.25,3.5,3.375,0.025037810931719303,0.0703873801916933,0.0703873801916933,0.025037810931719303,0.6
3.5,3.75,3.625,0.021584319768723537,0.06140175718849841,0.06140175718849841,0.021584319768723537,0.6
3.75,4.0,3.875,0.018322689225894202,0.04842252396166135,0.04842252396166135,0.018322689225894202,0.7
4.0,4.25,4.125,0.01592443147381381,0.00848642172523962,0.00848642172523962,0.01592443147381381,0.7
4.25,4.5,4.375,0.013238382791483769,0.0,0.0,0.013238382791483769,0.8
4.5,4.75,4.625,0.01093605534948659,0.0,0.0,0.01093605534948659,0.8
4.75,5.0,4.875,0.0086721000315227,0.0,0.0,0.0086721000315227,0.9
5.0,5.25,5.125,0.006283435310450629,0.0,0.0,0.006283435310450629,1.0
5.25,5.5,5.375,0.003923549682403523,0.0,0.0,0.003923549682403523,1.3
5.5,5.75,5.625,0.00134302434116502,0.0,0.0,0.00134302434116502,2.2
5.75,6.0,5.875,4.163375457611562e-05,0.0,0.0,4.163375457611562e-05,11.4
