energy_low_MeV,energy_high_MeV,energy_center_MeV,photon_fluence_per_MeV_per_incident_electron,relative_statistical_uncertainty_percent
0.0,0.25,0.125,2.97e-06,4.34
0.25,0.5,0.375,3.1e-05,1.25
0.5,0.75,0.625,0.000151,0.54
0.75,1.0,0.875,0.000232,0.41
1.0,1.25,1.125,0.000267,0.37
1.25,1.5,1.375,0.000275,0.37
1.5,1.75,1.625,0.000264,0.37
1.75,2.0,1.875,0.000246,0.38
2.0,2.25,2.125,0.000226,0.39
2.25,2.5,2.375,0.000206,0.4
2.5,2.75,2.625,0.000186,0.41
2.75,3.0,2.875,0.00017,0.43
3.0,3.25,3.125,0.000156,0.44
3.25,3.5,3.375,0.000142,0.45
3.5,3.75,3.625,0.000129,0.47
3.75,4.0,3.875,0.000118,0.49
4.0,4.25,4.125,0.000108,0.5
4.25,4.5,4.375,0.000101,0.52
4.5,4.75,4.625,9.19e-05,0.54
4.75,5.0,4.875,8.52e-05,0.56
5.0,5.25,5.125,7.88e-05,0.57
5.25,5.5,5.375,7.26e-05,0.59
5.5,5.75,5.625,6.75e-05,0.62
5.75,6.0,5.875,6.27e-05,0.63
6.0,6.25,6.125,5.85e-05,0.65
6.25,6.5,6.375,5.52e-05,0.66
6.5,6.75,6.625,5.12e-05,0.68
6.75,7.0,6.875,4.8e-05,0.71
7.0,7.25,7.125,4.57e-05,0.72
7.25,7.5,7.375,4.28e-05,0.73
7.5,7.75,7.625,3.96e-05,0.75
7.75,8.0,7.875,3.74e-05,0.78
8.0,8.25,8.125,3.54e-05,0.79
8.25,8.5,8.375,3.32e-05,0.82
8.5,8.75,8.625,3.14e-05,0.86
8.75,9.0,8.875,2.97e-05,0.88
9.0,9.25,9.125,2.75e-05,0.89
9.25,9.5,9.375,2.64e-05,0.92
9.5,9.75,9.625,2.45e-05,0.96
9.75,10.0,9.875,2.31e-05,0.98
10.0,10.25,10.125,2.17e-05,1.0
10.25,10.5,10.375,2.04e-05,1.04
10.5,10.75,10.625,1.96e-05,1.05
10.75,11.0,10.875,1.82e-05,1.1
11.0,11.25,11.125,1.63e-05,1.16
11.25,11.5,11.375,1.55e-05,1.2
11.5,11.75,11.625,1.45e-05,1.21
11.75,12.0,11.875,1.33e-05,1.27
12.0,12.25,12.125,1.24e-05,1.3
12.25,12.5,12.375,1.15e-05,1.36
12.5,12.75,12.625,1.02e-05,1.46
12.75,13.0,12.875,9.02e-06,1.51
13.0,13.25,13.125,8.17e-06,1.61
13.25,13.5,13.375,7e-06,1.71
13.5,13.75,13.625,5.85e-06,1.87
13.75,14.0,13.875,4.51e-06,2.12
14.0,14.25,14.125,2.73e-06,2.73
14.25,14.5,14.375,1.37e-06,3.85
14.5,14.75,14.625,3.06e-07,8.14
14.75,15.0,14.875,2.65e-08,27.74
