energy_low_MeV,energy_high_MeV,energy_center_MeV,probability_mass_bin,sampling_probability,relative_bin_integral,probability_physical_quantity,spectral_validation_comparison_quantity,spectral_validation_transform,source_model_id,production_case_name,production_origin,production_interpolation_method,source_base_case,source_validation_class,transformation_contract,source_origin_file,source_origin_sha256,source_snapshot_file,source_snapshot_sha256,exact_production_energy_grid
0.05,0.15000000000000002,0.1,6.656017039403619e-05,6.656017039403619e-05,6.656017039403619e-05,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.15000000000000002,0.25,0.2,0.00013312034078807243,0.00013312034078807243,0.00013312034078807243,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.25,0.35,0.3,0.00026624068157614464,0.00026624068157614464,0.00026624068157614464,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.35,0.45,0.4,0.00013312034078807254,0.00013312034078807254,0.00013312034078807254,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.45,0.55,0.5,0.000998402555910543,0.000998402555910543,0.000998402555910543,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.55,0.6499999999999999,0.6,0.0006656017039403599,0.0006656017039403599,0.0006656017039403599,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.6499999999999999,0.75,0.7,0.0013312034078807264,0.0013312034078807264,0.0013312034078807264,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.75,0.8500000000000001,0.8,0.002662406815761449,0.002662406815761449,0.002662406815761449,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.8500000000000001,0.95,0.9,0.0013312034078807242,0.0013312034078807242,0.0013312034078807242,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
0.95,1.05,1.0,0.007987220447284345,0.007987220447284345,0.007987220447284345,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
1.05,1.15,1.1,0.004992012779552704,0.004992012779552704,0.004992012779552704,PHOTON_NUMBER_PROBABILITY_MASS_PER_BIN,ENERGY_FLUENCE_MASS_PER_BIN,energy_fluence_mass_i = energy_center_MeV_i * probability_mass_bin_i,PROJECT_10MV_40x40,10MV_40x40_interpolated,project_derived_from_6MV_energy_axis_scaled_10_over_6_probability_conserving_rebin,energy_axis_scaled_10_over_6_probability_conserving_rebin_from_6MV_40x40,6MV_40x40,DERIVED_PROJECT_SOURCE_NOT_MACHINE_COMMISSIONED,E10=E6*(10/6); probability mass linearly split onto the existing 0.1-MeV common-center grid; no invented tail,/home/a/projects/particle-accelerator-shielding-simulator/geant4sim/GUI/geant4GUI/photon_neutron_bpe_app/photon_wall_simulation_core.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,/home/a/projects/Radiation_Research/radiation_shielding/Radiation-Shielding-Research/results/phase1/source_models/source_library_snapshot/photon_wall_simulation_core__9f2f53dab9997188.py,9f2f53dab99971884f4a97bea897d6a0ebb61dd1d6a65daf7b634f589941222e,True
