curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
csda_range_g_cm2,csda_range_g_cm2,csda_range,2,4.267037796599531,4.197408027757125,4.142740930835406,0.054667096921718894,2,1.543885669523435,1.278143267860798,1.0,80,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,3,4.291496371035164,4.177684477665471,4.097008936478918,0.08067554118655273,3,2.438975800224588,1.2916729697032274,1.0,79,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,4,4.267955740403577,4.157689329497903,4.029702044521307,0.12798728497659617,4,3.401468737681755,1.30429829918729,1.0,78,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,5,4.28306588439602,4.146708919457241,4.007765584869012,0.13894333458822938,5,4.404185633705608,1.3158683815472425,1.0,77,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,6,4.311916328435992,4.099954134031747,3.959182597672621,0.14077153635912598,6,5.425858063354425,1.3262115182749086,1.0,76,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,7,4.322601088178122,4.100334205684375,3.9310190488404606,0.16931515684391396,7,6.449522088143792,1.3351176155838185,1.0,75,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,8,4.338359680210458,4.115257881923366,3.9795572875994956,0.1357005943238705,8,7.462070054543252,1.3423836713420338,1.0,74,sampling_geometry_dominated
csda_range_g_cm2,csda_range_g_cm2,csda_range,9,4.376076230196345,4.088991335321436,4.0864153120083095,0.002576023313126896,9,8.45356034370638,1.3477494378922594,1.0,73,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,2,4.167037796599531,4.087971933980081,3.9583048370583613,0.12966709692171996,2,1.4397220262855215,1.1796481217571284,1.0,80,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,3,4.164914092554151,4.06686311687859,3.925999126297565,0.14086399058102517,3,2.3156666942404622,1.1883744932130218,1.0,79,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,4,4.146035548040412,3.9782021500107225,3.962457012497762,0.015745137512960472,4,3.3042196021948405,1.199385499850047,1.0,78,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,5,4.169366046705584,3.945283270050397,3.804323677390527,0.14095959265987013,5,4.392516361144537,1.2132514285072622,1.0,77,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,6,4.196720440249631,3.969689206006875,3.7742433029172697,0.1954459030896052,6,5.568976709860686,1.2298171634200412,1.0,76,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,7,4.15253592148261,3.946870538960014,3.7754853571625473,0.17138518179746676,7,6.807298245138405,1.2469610536156865,1.0,75,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,8,4.257278599129377,3.890043414806476,3.7996407528313916,0.09040266197508462,8,8.078795712283735,1.2630854032811374,1.0,74,sampling_geometry_dominated
radiation_yield,radiation_yield,radiation_yield,9,4.21590120621744,3.866039129279153,3.99823729610624,0.13219816682708707,9,9.331124171824206,1.2759080379313048,1.0,73,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,2,2.5356364334500743,2.074891873419872,2.074891873419872,0.0,2,1.9111591413389888,2.022953667757788,0.8875,80,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,3,2.620898507785967,2.161858271781839,2.0029845745391386,0.15887369724270028,3,2.8413996298604465,2.0091103073914467,0.9746835443037974,79,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,4,2.6459705539416243,2.183161395223065,2.022905670049552,0.16025572517351305,4,3.739151286140403,1.997766732186063,1.0,78,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,5,2.6158672892449633,2.220295838203348,2.017281662315345,0.2030141758880033,5,4.585853046384891,1.9856118481704315,1.0,77,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,6,2.641635407724961,2.2423634957681013,2.0377329839191605,0.20463051184894088,6,5.3721899674411855,1.9721771947751314,1.0,76,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,7,2.6578778434157155,2.2131153192225446,2.058633022271517,0.15448229695102755,7,6.09524568264713,1.9571753471875144,1.0,75,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,8,2.6274847706445046,2.235823906943683,1.982913837023176,0.25291006992050713,8,6.759121323139195,1.939960089088622,1.0,74,sampling_geometry_dominated
collision_stopping_power_MeV_cm2_g,collision_stopping_power_MeV_cm2_g,stopping_power_components,9,2.6544293536934065,2.2316369288676925,2.0038001192656396,0.22783680960205288,9,7.368611866668328,1.9204860056606288,1.0,73,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,2,2.4856364334500736,2.4856364334500736,2.4856364334500736,0.0,2,17.749756552070394,2.214924167374809,1.0,80,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,3,2.5088130271242783,2.5088130271242783,2.5088130271242783,0.0,3,25.729026868714318,2.2012183911095518,1.0,79,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,4,2.5324480799381197,2.5324480799381197,2.488058507468194,0.04438957246992592,4,33.12818986605251,2.186559148277526,1.0,78,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,5,2.5565548457721428,2.5565548457721428,2.5119711853488584,0.04458366042328432,5,39.85491122641769,2.17180920365626,1.0,77,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,6,2.581147033137195,2.5363722498302246,2.5264395195386,0.009932730291624559,6,45.90765678190724,2.1571468668599323,1.0,76,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,7,2.606238817788424,2.561276343444563,2.55121117674905,0.01006516669551294,7,51.3238961770114,2.142213990331776,1.0,75,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,8,2.631844854692839,2.5866986361881033,2.576497453726435,0.010201182461668346,8,56.167899744640685,2.1270178184017037,1.0,74,sampling_geometry_dominated
radiative_stopping_power_MeV_cm2_g,radiative_stopping_power_MeV_cm2_g,stopping_power_components,9,2.6579802890926487,2.6023139172772933,2.6023139172772933,0.0,9,60.508715522513356,2.1114799530847437,1.0,73,sampling_geometry_dominated
