curve,observable,ensemble_group,lag_samples,lag_coordinate,mutual_information
csda_range_g_cm2,csda_range_g_cm2,csda_range,1,0.14391156831212787,3.097770945612184
csda_range_g_cm2,csda_range_g_cm2,csda_range,2,0.28782313662425574,3.0183801228273737
csda_range_g_cm2,csda_range_g_cm2,csda_range,3,0.4317347049363836,2.8723723331486974
csda_range_g_cm2,csda_range_g_cm2,csda_range,4,0.5756462732485115,2.720053620115699
csda_range_g_cm2,csda_range_g_cm2,csda_range,5,0.7195578415606394,2.597318111055001
csda_range_g_cm2,csda_range_g_cm2,csda_range,6,0.8634694098727672,2.4840954436009097
csda_range_g_cm2,csda_range_g_cm2,csda_range,7,1.007380978184895,2.3979728906068405
csda_range_g_cm2,csda_range_g_cm2,csda_range,8,1.151292546497023,2.319541806762686
csda_range_g_cm2,csda_range_g_cm2,csda_range,9,1.2952041148091509,2.2447497519581128
csda_range_g_cm2,csda_range_g_cm2,csda_range,10,1.4391156831212788,2.1729264246337494
csda_range_g_cm2,csda_range_g_cm2,csda_range,11,1.5830272514334065,2.092797209829097
csda_range_g_cm2,csda_range_g_cm2,csda_range,12,1.7269388197455344,2.035417971643965
csda_range_g_cm2,csda_range_g_cm2,csda_range,13,1.8708503880576624,1.9764572895752106
csda_range_g_cm2,csda_range_g_cm2,csda_range,14,2.01476195636979,1.9272629814613265
csda_range_g_cm2,csda_range_g_cm2,csda_range,15,2.158673524681918,1.8670849726687013
csda_range_g_cm2,csda_range_g_cm2,csda_range,16,2.302585092994046,1.8238048874480752
radiation_yield,radiation_yield,radiation_yield,1,0.14391156831212787,3.097770945612184
radiation_yield,radiation_yield,radiation_yield,2,0.28782313662425574,3.0595193633337026
radiation_yield,radiation_yield,radiation_yield,3,0.4317347049363836,2.9204492562256212
radiation_yield,radiation_yield,radiation_yield,4,0.5756462732485115,2.796115256891621
radiation_yield,radiation_yield,radiation_yield,5,0.7195578415606394,2.7300837007284864
radiation_yield,radiation_yield,radiation_yield,6,0.8634694098727672,2.6501175353149513
radiation_yield,radiation_yield,radiation_yield,7,1.007380978184895,2.546210842908261
radiation_yield,radiation_yield,radiation_yield,8,1.151292546497023,2.4558851698771074
radiation_yield,radiation_yield,radiation_yield,9,1.2952041148091509,2.383019348695076
radiation_yield,radiation_yield,radiation_yield,10,1.4391156831212788,2.3168570409541287
