file,stem,path,source_dir,channel,embedding_dimension,status,error,n_samples_original,n_samples_used,state_dim,subsample_step,dt_used,steps_used,elapsed_sec,dataset_id,sample_id,observable,ordered_coordinate,source_file,Exp1,Exp2,Exp3,Exp4,Exp5,Exp6,Exp7,Exp8,Exp9,Exp10
2dembedded_A__macroscopic_removal_cross_section.npy,2dembedded_A__macroscopic_removal_cross_section,2dembedding_data/2dembedded_A__macroscopic_removal_cross_section.npy,2dembedding_data,A__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.012366294860839844,N003,A,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,218.27737448837672,-7.82000563495487,,,,,,,,
2dembedded_A__transmission.npy,2dembedded_A__transmission,2dembedding_data/2dembedded_A__transmission.npy,2dembedding_data,A__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.011040687561035156,N003,A,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,210.6614285692621,4.312555961901421,,,,,,,,
2dembedded_B__macroscopic_removal_cross_section.npy,2dembedded_B__macroscopic_removal_cross_section,2dembedding_data/2dembedded_B__macroscopic_removal_cross_section.npy,2dembedding_data,B__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010767936706542969,N003,B,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,248.03851992152187,51.08638644361892,,,,,,,,
2dembedded_B__transmission.npy,2dembedded_B__transmission,2dembedding_data/2dembedded_B__transmission.npy,2dembedding_data,B__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010930776596069336,N003,B,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,226.29191529575112,60.39135736747438,,,,,,,,
2dembedded_C__macroscopic_removal_cross_section.npy,2dembedded_C__macroscopic_removal_cross_section,2dembedding_data/2dembedded_C__macroscopic_removal_cross_section.npy,2dembedding_data,C__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010875463485717773,N003,C,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,290.79412383735166,49.99660304340315,,,,,,,,
2dembedded_C__transmission.npy,2dembedded_C__transmission,2dembedding_data/2dembedded_C__transmission.npy,2dembedding_data,C__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010849237442016602,N003,C,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,274.8818986473371,44.51070996482932,,,,,,,,
2dembedded_D__macroscopic_removal_cross_section.npy,2dembedded_D__macroscopic_removal_cross_section,2dembedding_data/2dembedded_D__macroscopic_removal_cross_section.npy,2dembedding_data,D__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.01071786880493164,N003,D,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,238.69079599109077,29.06985846537434,,,,,,,,
2dembedded_D__transmission.npy,2dembedded_D__transmission,2dembedding_data/2dembedded_D__transmission.npy,2dembedding_data,D__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.01104736328125,N003,D,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,238.69366055724436,34.69006177756025,,,,,,,,
2dembedded_R__macroscopic_removal_cross_section.npy,2dembedded_R__macroscopic_removal_cross_section,2dembedding_data/2dembedded_R__macroscopic_removal_cross_section.npy,2dembedding_data,R__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010954141616821289,N003,R,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,230.72001101976392,17.209923017136184,,,,,,,,
2dembedded_R__transmission.npy,2dembedded_R__transmission,2dembedding_data/2dembedded_R__transmission.npy,2dembedding_data,R__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010994434356689453,N003,R,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,227.28560642689297,-3.8937942557939285,,,,,,,,
2dembedded_S__macroscopic_removal_cross_section.npy,2dembedded_S__macroscopic_removal_cross_section,2dembedding_data/2dembedded_S__macroscopic_removal_cross_section.npy,2dembedding_data,S__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010987520217895508,N003,S,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,229.9389788947656,59.94569753501183,,,,,,,,
2dembedded_S__transmission.npy,2dembedded_S__transmission,2dembedding_data/2dembedded_S__transmission.npy,2dembedding_data,S__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010882139205932617,N003,S,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,249.11454599182335,52.39185480148181,,,,,,,,
2dembedded_T__macroscopic_removal_cross_section.npy,2dembedded_T__macroscopic_removal_cross_section,2dembedding_data/2dembedded_T__macroscopic_removal_cross_section.npy,2dembedding_data,T__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010967493057250977,N003,T,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,274.71410686149443,58.8117022713952,,,,,,,,
2dembedded_T__transmission.npy,2dembedded_T__transmission,2dembedding_data/2dembedded_T__transmission.npy,2dembedding_data,T__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.010993719100952148,N003,T,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,259.9717434757007,60.419929611832266,,,,,,,,
2dembedded_U__macroscopic_removal_cross_section.npy,2dembedded_U__macroscopic_removal_cross_section,2dembedding_data/2dembedded_U__macroscopic_removal_cross_section.npy,2dembedding_data,U__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.011841297149658203,N003,U,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,270.38791913060544,37.56161444292891,,,,,,,,
2dembedded_U__transmission.npy,2dembedded_U__transmission,2dembedding_data/2dembedded_U__transmission.npy,2dembedding_data,U__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.011235237121582031,N003,U,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,265.7330288328694,63.337504549007285,,,,,,,,
2dembedded_V__macroscopic_removal_cross_section.npy,2dembedded_V__macroscopic_removal_cross_section,2dembedding_data/2dembedded_V__macroscopic_removal_cross_section.npy,2dembedding_data,V__macroscopic_removal_cross_section,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.012453794479370117,N003,V,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,274.6722435569336,18.558032901385033,,,,,,,,
2dembedded_V__transmission.npy,2dembedded_V__transmission,2dembedding_data/2dembedded_V__transmission.npy,2dembedding_data,V__transmission,2,ok,,5999,3000,2,2,0.004603362395251549,150,0.01145482063293457,N003,V,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,282.2111302939339,26.89908835932622,,,,,,,,
3dembedded_A__macroscopic_removal_cross_section.npy,3dembedded_A__macroscopic_removal_cross_section,3dembedding_data/3dembedded_A__macroscopic_removal_cross_section.npy,3dembedding_data,A__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012292146682739258,N003,A,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,139.18675784339803,31.943384146240493,-191.26539475355617,,,,,,,
3dembedded_A__transmission.npy,3dembedded_A__transmission,3dembedding_data/3dembedded_A__transmission.npy,3dembedding_data,A__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012508869171142578,N003,A,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,147.54811244801166,8.58331771331371,-197.11628504794376,,,,,,,
3dembedded_B__macroscopic_removal_cross_section.npy,3dembedded_B__macroscopic_removal_cross_section,3dembedding_data/3dembedded_B__macroscopic_removal_cross_section.npy,3dembedding_data,B__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012139320373535156,N003,B,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,146.95527788750647,18.786289439503015,-213.93553756308802,,,,,,,
3dembedded_B__transmission.npy,3dembedded_B__transmission,3dembedding_data/3dembedded_B__transmission.npy,3dembedding_data,B__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.011695146560668945,N003,B,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,141.2214872519705,26.936846907746276,-183.95889095277573,,,,,,,
3dembedded_C__macroscopic_removal_cross_section.npy,3dembedded_C__macroscopic_removal_cross_section,3dembedding_data/3dembedded_C__macroscopic_removal_cross_section.npy,3dembedding_data,C__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.011602640151977539,N003,C,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,132.59075109558617,32.28563440214678,-153.95417570339924,,,,,,,
3dembedded_C__transmission.npy,3dembedded_C__transmission,3dembedding_data/3dembedded_C__transmission.npy,3dembedding_data,C__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012223958969116211,N003,C,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,133.14039322333582,42.36708295500024,-161.02233884445272,,,,,,,
3dembedded_D__macroscopic_removal_cross_section.npy,3dembedded_D__macroscopic_removal_cross_section,3dembedding_data/3dembedded_D__macroscopic_removal_cross_section.npy,3dembedding_data,D__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012372493743896484,N003,D,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,141.52017934429037,61.121065880258755,-171.50692542266015,,,,,,,
3dembedded_D__transmission.npy,3dembedded_D__transmission,3dembedding_data/3dembedded_D__transmission.npy,3dembedding_data,D__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012462615966796875,N003,D,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,157.14466408389848,40.07670932056087,-171.19443988320612,,,,,,,
3dembedded_R__macroscopic_removal_cross_section.npy,3dembedded_R__macroscopic_removal_cross_section,3dembedding_data/3dembedded_R__macroscopic_removal_cross_section.npy,3dembedding_data,R__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012202978134155273,N003,R,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,142.8738018656889,47.1976568579451,-148.70116483037793,,,,,,,
3dembedded_R__transmission.npy,3dembedded_R__transmission,3dembedding_data/3dembedded_R__transmission.npy,3dembedding_data,R__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012067794799804688,N003,R,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,157.0236115514323,50.01655454797825,-192.72307267070715,,,,,,,
3dembedded_S__macroscopic_removal_cross_section.npy,3dembedded_S__macroscopic_removal_cross_section,3dembedding_data/3dembedded_S__macroscopic_removal_cross_section.npy,3dembedding_data,S__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.01244044303894043,N003,S,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,135.717167384782,20.573646819738897,-148.3984591875693,,,,,,,
3dembedded_S__transmission.npy,3dembedded_S__transmission,3dembedding_data/3dembedded_S__transmission.npy,3dembedding_data,S__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012435436248779297,N003,S,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,140.31866283912004,16.738129754118248,-162.3357635405585,,,,,,,
3dembedded_T__macroscopic_removal_cross_section.npy,3dembedded_T__macroscopic_removal_cross_section,3dembedding_data/3dembedded_T__macroscopic_removal_cross_section.npy,3dembedding_data,T__macroscopic_removal_cross_section,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012568235397338867,N003,T,macroscopic_removal_cross_section,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,159.66176623328352,36.30962013624149,-175.91980269933637,,,,,,,
3dembedded_T__transmission.npy,3dembedded_T__transmission,3dembedding_data/3dembedded_T__transmission.npy,3dembedding_data,T__transmission,3,ok,,5998,2999,3,2,0.004603362395251549,150,0.012367963790893555,N003,T,transmission,log(E/E_min),data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz,148.06174157558246,35.10644701382085,-134.66307879458702,,,,,,,
