file,path,dataset_id,dataset_name,sample_id,observable,source_column,energy_column,ordered_coordinate,coordinate_step,embedding_dimension,embedding_tau_samples,n_uniform_points,raw_center_for_scaling,raw_scale_for_scaling,source_file
2dembedded_A__transmission.npy,2dembedding_data/2dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,2,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
3dembedded_A__transmission.npy,3dembedding_data/3dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,3,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
4dembedded_A__transmission.npy,embeddings_4to10/4dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,4,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
5dembedded_A__transmission.npy,embeddings_4to10/5dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,5,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
6dembedded_A__transmission.npy,embeddings_4to10/6dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,6,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
7dembedded_A__transmission.npy,embeddings_4to10/7dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,7,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
8dembedded_A__transmission.npy,embeddings_4to10/8dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,8,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
9dembedded_A__transmission.npy,embeddings_4to10/9dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,9,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
10dembedded_A__transmission.npy,embeddings_4to10/10dembedded_A__transmission.npy,N003,ISIS RB2000164 barite-enriched concrete,A,transmission,transmission,energy_eV,log(E/E_min),0.0023016811976257746,10,1,6000,0.6277421178759783,0.05685055692885537,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
2dembedded_A__macroscopic_removal_cross_section.npy,2dembedding_data/2dembedded_A__macroscopic_removal_cross_section.npy,N003,ISIS RB2000164 barite-enriched concrete,A,macroscopic_removal_cross_section,Sigma_R_cm_inv,energy_eV,log(E/E_min),0.0023016811976257746,2,1,6000,0.44386034055659296,0.08464130132772826,data/processed/RB2000164/rb2000164_physics_ready_strict.csv.gz
