file,channel,embedding_dimension,n_samples_original,n_samples_used,subsample_step,steps_used,elapsed_sec,quality_score,reliable_steps_flag,status,error
10dembedded_R__macroscopic_removal_cross_section.npy,R__macroscopic_removal_cross_section,10,5991,2996,2,150,0.013806819915771484,53.03300858899106,False,ok,
10dembedded_B__macroscopic_removal_cross_section.npy,B__macroscopic_removal_cross_section,10,5991,2996,2,150,0.013936281204223633,53.03300858899106,False,ok,
10dembedded_B__transmission.npy,B__transmission,10,5991,2996,2,150,0.014076948165893555,53.03300858899106,False,ok,
10dembedded_C__macroscopic_removal_cross_section.npy,C__macroscopic_removal_cross_section,10,5991,2996,2,150,0.014168500900268555,53.03300858899106,False,ok,
10dembedded_C__transmission.npy,C__transmission,10,5991,2996,2,150,0.01442265510559082,53.03300858899106,False,ok,
10dembedded_D__macroscopic_removal_cross_section.npy,D__macroscopic_removal_cross_section,10,5991,2996,2,150,0.015070676803588867,53.03300858899106,False,ok,
10dembedded_D__transmission.npy,D__transmission,10,5991,2996,2,150,0.014619112014770508,53.03300858899106,False,ok,
10dembedded_R__transmission.npy,R__transmission,10,5991,2996,2,150,0.013869285583496094,53.03300858899106,False,ok,
10dembedded_A__transmission.npy,A__transmission,10,5991,2996,2,150,0.014155387878417969,53.03300858899106,False,ok,
10dembedded_S__macroscopic_removal_cross_section.npy,S__macroscopic_removal_cross_section,10,5991,2996,2,150,0.013939619064331055,53.03300858899106,False,ok,
10dembedded_T__macroscopic_removal_cross_section.npy,T__macroscopic_removal_cross_section,10,5991,2996,2,150,0.014142274856567383,53.03300858899106,False,ok,
10dembedded_T__transmission.npy,T__transmission,10,5991,2996,2,150,0.0136871337890625,53.03300858899106,False,ok,
10dembedded_U__macroscopic_removal_cross_section.npy,U__macroscopic_removal_cross_section,10,5991,2996,2,150,0.014000177383422852,53.03300858899106,False,ok,
10dembedded_U__transmission.npy,U__transmission,10,5991,2996,2,150,0.014275789260864258,53.03300858899106,False,ok,
10dembedded_V__macroscopic_removal_cross_section.npy,V__macroscopic_removal_cross_section,10,5991,2996,2,150,0.014395475387573242,53.03300858899106,False,ok,
10dembedded_V__transmission.npy,V__transmission,10,5991,2996,2,150,0.013938188552856445,53.03300858899106,False,ok,
10dembedded_S__transmission.npy,S__transmission,10,5991,2996,2,150,0.013809919357299805,53.03300858899106,False,ok,
10dembedded_A__macroscopic_removal_cross_section.npy,A__macroscopic_removal_cross_section,10,5991,2996,2,150,0.014549016952514648,53.03300858899106,False,ok,
9dembedded_V__macroscopic_removal_cross_section.npy,V__macroscopic_removal_cross_section,9,5992,2996,2,150,0.014060020446777344,58.92556509887896,False,ok,
9dembedded_V__transmission.npy,V__transmission,9,5992,2996,2,150,0.013447761535644531,58.92556509887896,False,ok,
9dembedded_B__macroscopic_removal_cross_section.npy,B__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013813018798828125,58.92556509887896,False,ok,
9dembedded_U__macroscopic_removal_cross_section.npy,U__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013763666152954102,58.92556509887896,False,ok,
9dembedded_T__transmission.npy,T__transmission,9,5992,2996,2,150,0.013765096664428711,58.92556509887896,False,ok,
9dembedded_T__macroscopic_removal_cross_section.npy,T__macroscopic_removal_cross_section,9,5992,2996,2,150,0.01459956169128418,58.92556509887896,False,ok,
9dembedded_S__transmission.npy,S__transmission,9,5992,2996,2,150,0.013677120208740234,58.92556509887896,False,ok,
9dembedded_S__macroscopic_removal_cross_section.npy,S__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013639688491821289,58.92556509887896,False,ok,
9dembedded_R__transmission.npy,R__transmission,9,5992,2996,2,150,0.013547658920288086,58.92556509887896,False,ok,
9dembedded_R__macroscopic_removal_cross_section.npy,R__macroscopic_removal_cross_section,9,5992,2996,2,150,0.014404058456420898,58.92556509887896,False,ok,
9dembedded_D__transmission.npy,D__transmission,9,5992,2996,2,150,0.013781309127807617,58.92556509887896,False,ok,
9dembedded_D__macroscopic_removal_cross_section.npy,D__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013710737228393555,58.92556509887896,False,ok,
9dembedded_C__transmission.npy,C__transmission,9,5992,2996,2,150,0.014062166213989258,58.92556509887896,False,ok,
9dembedded_C__macroscopic_removal_cross_section.npy,C__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013687849044799805,58.92556509887896,False,ok,
9dembedded_B__transmission.npy,B__transmission,9,5992,2996,2,150,0.013487577438354492,58.92556509887896,False,ok,
9dembedded_A__transmission.npy,A__transmission,9,5992,2996,2,150,0.014739751815795898,58.92556509887896,False,ok,
9dembedded_A__macroscopic_removal_cross_section.npy,A__macroscopic_removal_cross_section,9,5992,2996,2,150,0.013802528381347656,58.92556509887896,False,ok,
9dembedded_U__transmission.npy,U__transmission,9,5992,2996,2,150,0.013381719589233398,58.92556509887896,False,ok,
8dembedded_V__macroscopic_removal_cross_section.npy,V__macroscopic_removal_cross_section,8,5993,2997,2,150,0.015031099319458008,66.29126073623883,False,ok,
8dembedded_U__transmission.npy,U__transmission,8,5993,2997,2,150,0.01401066780090332,66.29126073623883,False,ok,
8dembedded_T__transmission.npy,T__transmission,8,5993,2997,2,150,0.01453709602355957,66.29126073623883,False,ok,
8dembedded_T__macroscopic_removal_cross_section.npy,T__macroscopic_removal_cross_section,8,5993,2997,2,150,0.014808893203735352,66.29126073623883,False,ok,
8dembedded_S__transmission.npy,S__transmission,8,5993,2997,2,150,0.014455080032348633,66.29126073623883,False,ok,
8dembedded_S__macroscopic_removal_cross_section.npy,S__macroscopic_removal_cross_section,8,5993,2997,2,150,0.01472783088684082,66.29126073623883,False,ok,
8dembedded_R__transmission.npy,R__transmission,8,5993,2997,2,150,0.014570474624633789,66.29126073623883,False,ok,
8dembedded_D__transmission.npy,D__transmission,8,5993,2997,2,150,0.01410818099975586,66.29126073623883,False,ok,
8dembedded_D__macroscopic_removal_cross_section.npy,D__macroscopic_removal_cross_section,8,5993,2997,2,150,0.014452695846557617,66.29126073623883,False,ok,
8dembedded_R__macroscopic_removal_cross_section.npy,R__macroscopic_removal_cross_section,8,5993,2997,2,150,0.013959407806396484,66.29126073623883,False,ok,
8dembedded_C__macroscopic_removal_cross_section.npy,C__macroscopic_removal_cross_section,8,5993,2997,2,150,0.014974117279052734,66.29126073623883,False,ok,
