sample_id,initial_phase_bin_center,initial_probability
A,0.017857142857142856,0.04399999999999999
A,0.05357142857142857,0.045799999999999993
A,0.08928571428571427,0.03799999999999999
A,0.125,0.036399999999999995
A,0.1607142857142857,0.03479999999999999
A,0.1964285714285714,0.028399999999999995
A,0.23214285714285715,0.0338
A,0.26785714285714285,0.03919999999999999
A,0.30357142857142855,0.03439999999999999
A,0.33928571428571425,0.03219999999999999
A,0.375,0.027599999999999996
A,0.4107142857142857,0.024399999999999995
A,0.4464285714285714,0.024199999999999996
A,0.4821428571428571,0.024799999999999996
A,0.5178571428571428,0.021799999999999996
A,0.5535714285714286,0.024799999999999996
A,0.5892857142857142,0.024199999999999996
A,0.625,0.025599999999999994
A,0.6607142857142856,0.025599999999999994
A,0.6964285714285714,0.03339999999999999
A,0.7321428571428571,0.036199999999999996
A,0.7678571428571428,0.033999999999999996
A,0.8035714285714286,0.043399999999999994
A,0.8392857142857142,0.045599999999999995
A,0.875,0.05719999999999999
A,0.9107142857142856,0.06159999999999999
A,0.9464285714285714,0.05119999999999999
A,0.9821428571428571,0.04739999999999999
B,0.017857142857142856,0.04359999999999999
B,0.05357142857142857,0.03919999999999999
B,0.08928571428571427,0.03679999999999999
B,0.125,0.03359999999999999
B,0.1607142857142857,0.031799999999999995
B,0.1964285714285714,0.025799999999999997
B,0.23214285714285715,0.03359999999999999
B,0.26785714285714285,0.028399999999999995
B,0.30357142857142855,0.031199999999999995
B,0.33928571428571425,0.03439999999999999
B,0.375,0.028999999999999995
B,0.4107142857142857,0.026999999999999996
B,0.4464285714285714,0.024599999999999997
B,0.4821428571428571,0.024999999999999994
B,0.5178571428571428,0.020599999999999997
B,0.5535714285714286,0.019999999999999997
B,0.5892857142857142,0.021599999999999998
B,0.625,0.028199999999999996
B,0.6607142857142856,0.026399999999999996
B,0.6964285714285714,0.0338
B,0.7321428571428571,0.031999999999999994
B,0.7678571428571428,0.038799999999999994
B,0.8035714285714286,0.04839999999999999
B,0.8392857142857142,0.05739999999999999
B,0.875,0.05939999999999999
B,0.9107142857142856,0.06139999999999999
B,0.9464285714285714,0.05319999999999999
B,0.9821428571428571,0.05479999999999999
C,0.017857142857142856,0.037599999999999995
C,0.05357142857142857,0.03919999999999999
C,0.08928571428571427,0.03899999999999999
C,0.125,0.031799999999999995
C,0.1607142857142857,0.034199999999999994
C,0.1964285714285714,0.031599999999999996
C,0.23214285714285715,0.033999999999999996
C,0.26785714285714285,0.026199999999999994
C,0.30357142857142855,0.027799999999999995
C,0.33928571428571425,0.0326
C,0.375,0.028999999999999995
