observable,embedding_dimension,n,entropy_mean,entropy_std,entropy_median,nn_mean,nn_cv_mean,adjacent_neighbor_fraction_mean
Sigma_R_cm_inv,2,9,1.2603165404288914,0.1744509925772922,1.3024458559082255,0.04469654259427158,2.71121033678949,0.011491187126314152
Sigma_R_cm_inv,3,9,2.5925801344930814,0.2733400637419298,2.528530600599639,0.1379586039580171,1.7800565519422211,0.013783291094215465
Sigma_R_cm_inv,4,9,3.288240478106166,0.24669706175877734,3.267613492449049,0.25139593561083967,1.4819104819479398,0.014764414204078001
Sigma_R_cm_inv,5,9,3.6562844166463773,0.20661290933248297,3.589222254101537,0.37065353400280926,1.341279987890781,0.018570411885063604
Sigma_R_cm_inv,6,9,3.8921811342164636,0.21231445504279195,3.8773205059317326,0.4893554794950079,1.2635037006728633,0.0231787342898454
Sigma_R_cm_inv,7,9,4.053307637706497,0.2369117827780357,4.07539202181764,0.6038465528571668,1.2095123290079206,0.026654207270947358
Sigma_R_cm_inv,8,9,4.159177515232669,0.22405933480368573,4.1789377377232,0.7146236079008172,1.16991960212673,0.03462625453412556
Sigma_R_cm_inv,9,9,4.141497868647349,0.3533812133687127,4.142668706493876,0.8211366252140033,1.1421512693520541,0.04206730769230769
Sigma_R_cm_inv,10,9,4.221369419728709,0.3170775586860287,4.238996421964016,0.9242057292775928,1.1193681394347708,0.05071350653398339
transmission,2,9,1.6005802119069796,0.528325539649576,1.5559280935066546,0.03485751176664302,2.233565297422757,0.011246693783201084
transmission,3,9,2.926912320830713,0.5254193499835872,2.8791914521815984,0.11201111792404467,1.4031263162759435,0.013761059979547375
transmission,4,9,3.6839904406245014,0.4312770212366429,3.6128198587385865,0.20860572985057424,1.136498328397148,0.01465323638627621
transmission,5,9,4.172447367547349,0.3682109500306684,4.19128562879793,0.3110552409265845,1.0166704349497158,0.018570411885063604
transmission,6,9,4.450383666859928,0.31713163883243306,4.446469480618761,0.41328307516126145,0.9521911387525837,0.02302302302302302
transmission,7,9,4.611754854770587,0.4222088993364286,4.678640582582194,0.5126321217757956,0.9116637737675971,0.02647621590352868
transmission,8,9,4.716312230256354,0.37465627643331606,4.815371731062676,0.6093018410097609,0.8836519097550938,0.034136680241226604
transmission,9,9,4.822928080183939,0.3520733025880826,4.921457394129695,0.7025086524863394,0.8632742730233289,0.04188924501424501
transmission,10,9,4.906444324614145,0.33164398922005667,4.984324839306129,0.7927911281635098,0.8472753091037476,0.05051314588481489
