sample_id,observable,embedding_family,embedding_dimension,time_delay,status,error,nn_distance_entropy_bits,ks_metric,n_points_used,state_dim,nearest_distance_mean,nearest_distance_std,nearest_distance_min,nearest_distance_max,nn_cv,log10_nn_mean,nearest_index_gap_mean,nearest_index_gap_median,nearest_index_gap_min,adjacent_neighbor_fraction,channel,entropy_z_within_observable_dim,entropy_robust_z_within_observable_dim,label
A,transmission,Delay embedding,10,1,ok,,4.1023551117671,4.1023551117671,4991,10,0.6100491085883603,0.5142070428074058,0.02645768228714479,6.447272990487723,0.842894507290448,-0.21463520313526402,302.235423762773,74.0,1.0,0.06531757162893208,A__transmission,-2.5716293083666217,-13.947782348916329,A | transmission | d=10
A,transmission,Delay embedding,9,1,ok,,3.9627314399939495,3.9627314399939495,4992,9,0.5396990276596421,0.4656822223767473,0.02600313433369617,6.443277260900307,0.8628554036779998,-0.26784836437317433,308.6416266025641,74.0,1.0,0.055088141025641024,A__transmission,-2.591438514192167,-10.178612438862896,A | transmission | d=9
A,transmission,Delay embedding,8,1,ok,,3.8118370565112007,3.8118370565112007,4993,8,0.46867882219331575,0.41542872733928693,0.014159677658970348,6.434351420432368,0.8863825452882291,-0.3291246701451241,313.0957340276387,75.0,1.0,0.04666533146404967,A__transmission,-2.560589141292959,-4.474674247963537,A | transmission | d=8
A,transmission,Delay embedding,7,1,ok,,3.617529064920099,3.617529064920099,4994,7,0.39494220406021624,0.36256822143915385,0.01339889457599386,6.330227578521716,0.9180285563579719,-0.4034664544844364,314.7398878654385,81.0,1.0,0.03844613536243492,A__transmission,-2.497663357417326,-4.260904381836545,A | transmission | d=7
T,Sigma_R_cm_inv,Delay embedding,10,1,ok,,3.5495046023213,3.5495046023213,4991,10,1.0548578730915383,1.275010559420905,0.03438133197248292,16.63007449625867,1.2087036480876256,0.023193948648188613,361.9625325586055,104.0,1.0,0.04127429372871168,T__Sigma_R_cm_inv,-2.2474635404501004,-2.500542393739906,T | Sigma_R_cm_inv | d=10
C,transmission,Delay embedding,10,1,ok,,4.827717590800494,4.827717590800494,4991,10,0.7728931450557652,0.6249066327062902,0.017048374723164304,4.79113301840546,0.8085291436507616,-0.11188054452926541,304.13404127429374,85.0,1.0,0.04468042476457624,C__transmission,-0.2517829773021399,-2.4766426195989673,C | transmission | d=10
A,transmission,Delay embedding,6,1,ok,,3.7960570899053034,3.7960570899053034,4995,6,0.31930887556993987,0.3091937820919543,0.012157620710729128,4.595327980512852,0.9683219156971467,-0.49578900955980143,311.5133133133133,83.0,1.0,0.03303303303303303,A__transmission,-2.1884228961374035,-2.411646369160273,A | transmission | d=6
A,Sigma_R_cm_inv,Delay embedding,2,1,ok,,0.9685564598141648,0.9685564598141648,4999,2,0.04127034854630131,0.12722893509774105,3.568496273773347e-05,4.0455075490447205,3.082817072696146,-1.384361863288069,460.6893378675735,151.0,1.0,0.013602720544108821,A__Sigma_R_cm_inv,-1.7738981742068358,-2.357059493270767,A | Sigma_R_cm_inv | d=2
A,transmission,Delay embedding,4,1,ok,,2.8787654140720145,2.8787654140720145,4997,4,0.1640266582054201,0.2026672161600137,0.003523745641198258,4.547486184853216,1.2355748655500025,-0.7850855631042221,337.1244746848109,94.0,1.0,0.019411646988192914,A__transmission,-1.980328357243594,-2.2984102067412397,A | transmission | d=4
T,Sigma_R_cm_inv,Delay embedding,9,1,ok,,3.40231122067853,3.40231122067853,4992,9,0.9335792831569382,1.1379393474455894,0.030599084965462167,16.624673649391422,1.2188995278433987,-0.029848794184212258,371.93189102564105,107.0,1.0,0.034254807692307696,T__Sigma_R_cm_inv,-2.2186404012132996,-2.1616092142576306,T | Sigma_R_cm_inv | d=9
V,Sigma_R_cm_inv,Delay embedding,10,1,ok,,4.662010396563239,4.662010396563239,4991,10,0.8685296703343842,0.8955638943796169,0.01948149089516375,6.127111338358888,1.031126425460852,-0.06121534078299212,304.0438789821679,73.0,1.0,0.05429773592466439,V__Sigma_R_cm_inv,1.4739937323781687,1.5341217205127824,V | Sigma_R_cm_inv | d=10
