sample_id,observable,entropy_mean,entropy_std,entropy_min,entropy_max,adjacent_neighbor_fraction_mean,nearest_index_gap_median
A,Sigma_R_cm_inv,3.2872462514864362,1.042296453927391,0.9685564598141648,4.131368564250845,0.035466227015213056,83.0
A,transmission,3.1333897022195685,1.1419194850013092,0.655096035653056,4.1023551117671,0.035288262339341306,83.0
B,Sigma_R_cm_inv,3.5792003827289927,1.0050378278643122,1.2628770486275378,4.323200587489818,0.027613046975687002,109.0
B,transmission,3.8551779188327657,1.1682800014842545,1.3679345195356878,4.875959197983758,0.027546375965295942,110.0
C,Sigma_R_cm_inv,3.689361044770698,1.0042851643973356,1.397992191631206,4.444469144748043,0.026186469691479947,104.0
C,transmission,3.76484423430959,1.2409063049900508,1.1300847136829484,4.827717590800494,0.026253198617696042,104.0
D,Sigma_R_cm_inv,3.419887387935603,0.8852152796033257,1.389251667886038,4.238996421964016,0.025030648139859432,106.0
D,transmission,3.97770136166942,1.1853563029352145,1.326587497110106,5.020034985123221,0.02407377504698514,107.0
R,Sigma_R_cm_inv,3.554350161277944,1.091718520744145,1.1543853995798057,4.4567289208551735,0.024319047584298,106.0
R,transmission,4.455096265109926,1.0615640494690433,2.0555619097971314,5.325214923775422,0.024408092337804457,106.0
S,Sigma_R_cm_inv,3.232732138862084,0.8940347431653931,1.3365197978803027,4.016241375707146,0.024542120386328952,125.0
S,transmission,4.317217003627084,0.9270700599423572,2.145666894501893,5.026975962354184,0.02476473434108178,125.0
T,Sigma_R_cm_inv,3.2207317813851892,0.8806257323589268,1.3024458559082255,3.990462619740636,0.02084839785833657,121.0
T,transmission,4.0634709273619904,0.9994822011334997,2.169794528685096,4.979105679359184,0.0203588413003323,121.0
U,Sigma_R_cm_inv,3.4277457919028835,1.0610721359369455,1.037484000548788,4.204905443942825,0.024319898367286416,108.0
U,transmission,4.1474498859072675,1.0717969944886923,1.9985677146902443,4.9849887113832505,0.024141969289693872,107.0
V,Sigma_R_cm_inv,3.8537002048563727,1.0406091479802684,1.4933364419839528,4.662010396563239,0.02752345861239125,93.0
V,transmission,4.177406198556882,1.1273812275314834,1.5559280935066546,5.01631063105781,0.027434462862695647,93.0
