curve,observable,embedding_dimension,Hraw,Hth,sensitivity,adj,n_points
A__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.1451566019055324,1.1721078050018154,0.02133912962357254,0.018576736210345814,3499
A__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.391581140918176,2.4123843049811113,0.01987304790345812,0.022298456260720412,3498
A__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.2033296851873585,3.217739668530348,0.008540783624933379,0.02745210180154418,3497
A__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.402424509082848,3.402360965654154,0.02143482815720521,0.03032036613272311,3496
A__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.6546785773456154,3.673522206591356,0.019365631870842837,0.036337625178826896,3495
A__Sigma_R_cm_inv,Sigma_R_cm_inv,7,3.782804204550221,3.799275120732975,0.023149463238115953,0.04264453348597596,3494
A__Sigma_R_cm_inv,Sigma_R_cm_inv,8,3.8940920603491906,3.9204387795666276,0.023930752415362466,0.050100200400801605,3493
A__Sigma_R_cm_inv,Sigma_R_cm_inv,9,3.7822741041729815,3.7964092754854,0.05410001363345307,0.06156930126002291,3492
A__Sigma_R_cm_inv,Sigma_R_cm_inv,10,3.9120479210560117,3.9429168428845767,0.10911367215647028,0.06760240618733887,3491
B__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.9350455263301707,1.9488152911584278,0.012901640895720101,0.010574449842812233,3499
B__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.69777205327725,2.7121745730588085,0.04894724932670558,0.009148084619782733,3498
B__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.3328849904445224,3.1408714014772228,0.025133573902425876,0.016013726050900772,3497
B__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.619446520826934,3.566709384629178,0.02429967768086172,0.016876430205949658,3496
B__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.829432051793872,3.857973248275616,0.02824734568911902,0.02317596566523605,3495
B__Sigma_R_cm_inv,Sigma_R_cm_inv,7,4.0224085092021244,3.950920392083246,0.04041540271622157,0.027475672581568404,3494
B__Sigma_R_cm_inv,Sigma_R_cm_inv,8,4.159917612094797,4.039295596257116,0.06415138476255766,0.03635843114801031,3493
B__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.14238963250986,4.097601732683971,0.07952587779227205,0.0441008018327606,3492
B__Sigma_R_cm_inv,Sigma_R_cm_inv,10,4.113109866601171,4.092725309288585,0.09227020389812601,0.050128902893153825,3491
C__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.2773074490466243,1.2830443776646545,0.017457360888150975,0.014289797084881395,3499
C__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.6728892052097915,2.6831187526374696,0.01725772633502176,0.016295025728987993,3498
C__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.4258411273583707,3.420158589510013,0.014956239149622519,0.020589076351158135,3497
C__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.8163809719925528,3.8032257691720313,0.024037367955254574,0.020594965675057208,3496
C__Sigma_R_cm_inv,Sigma_R_cm_inv,6,4.096644254655701,4.099696461156305,0.03145862366617713,0.0240343347639485,3495
C__Sigma_R_cm_inv,Sigma_R_cm_inv,7,4.209024658001519,4.208784700219872,0.04123315076761713,0.024041213508872353,3494
C__Sigma_R_cm_inv,Sigma_R_cm_inv,8,4.257012791231417,4.272768479581576,0.12231295890455307,0.02662467792728314,3493
C__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.337447060473128,4.358994308874832,0.23599127844089995,0.032073310423825885,3492
C__Sigma_R_cm_inv,Sigma_R_cm_inv,10,4.3954609116365395,4.440838808282794,0.2832679595618881,0.03437410484101976,3491
D__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.4518066191482593,1.462581469292945,0.01616972782182735,0.009145470134324093,3499
D__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.8559156063147904,2.8724958440185238,0.01585834542975828,0.0137221269296741,3498
D__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.3845678475129377,3.3913307692923484,0.010626033081260644,0.016013726050900772,3497
D__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.485991786436953,3.4962232371717192,0.012874766730532894,0.02402745995423341,3496
D__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.7906291227874815,3.8031426510989177,0.021310417452473196,0.02317596566523605,3495
D__Sigma_R_cm_inv,Sigma_R_cm_inv,7,3.9274381509390044,3.943862989919253,0.030991491630176338,0.02633085289066972,3494
D__Sigma_R_cm_inv,Sigma_R_cm_inv,8,3.977460934981742,3.9828753049091863,0.04192226501347873,0.03120526767821357,3493
D__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.026962961843132,4.003039719698002,0.06749420467874767,0.03608247422680412,3492
D__Sigma_R_cm_inv,Sigma_R_cm_inv,10,3.9580696456839823,3.9797236805540956,0.07964672408448514,0.03924376969349756,3491
R__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.133456066292852,1.1405018177772246,0.005172897466193982,0.011431837667905115,3499
R__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.6362838574781358,2.5826318103928463,0.2564504405859829,0.012292738707833047,3498
R__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.1571282345041465,3.1671586801773284,0.02340369214938054,0.01858736059479554,3497
R__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.47690352852729,3.486528891111763,0.013233706772516562,0.016018306636155607,3496
R__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.802459450130614,3.8139169261973445,0.1530801985912218,0.01917024320457797,3495
R__Sigma_R_cm_inv,Sigma_R_cm_inv,7,3.9950889669456693,3.9827657705899298,0.2118864435926775,0.01974813966800229,3494
R__Sigma_R_cm_inv,Sigma_R_cm_inv,8,3.945433148871189,3.9662338906141574,0.08666054179196303,0.026338391067849985,3493
R__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.100455998313039,4.042810679652847,0.0658887976273701,0.031214203894616266,3492
R__Sigma_R_cm_inv,Sigma_R_cm_inv,10,4.1443636051825985,4.090073317028595,0.07809348845041164,0.03666571183042108,3491
S__Sigma_R_cm_inv,Sigma_R_cm_inv,2,2.0285352679067468,1.1924649175411912,0.004429960709288361,0.00800228636753358,3499
S__Sigma_R_cm_inv,Sigma_R_cm_inv,3,2.5683737573165537,2.2959584200188536,0.01283597612699472,0.008290451686678102,3498
S__Sigma_R_cm_inv,Sigma_R_cm_inv,4,2.931493450686796,2.942797184716573,0.011580890962672008,0.009150700600514728,3497
S__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.4514331378163674,3.46244064197104,0.015590093450050801,0.012585812356979404,3496
S__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.4133530629829307,3.4238111589648135,0.015082763476698346,0.015450643776824034,3495
S__Sigma_R_cm_inv,Sigma_R_cm_inv,7,3.6382126910772428,3.656988404318377,0.01948522109766504,0.02003434459072696,3494
S__Sigma_R_cm_inv,Sigma_R_cm_inv,8,3.7649334897075586,3.7869128852700666,0.01167115047538525,0.021757801316919553,3493
S__Sigma_R_cm_inv,Sigma_R_cm_inv,9,3.7029824745791915,3.7208496785337863,0.027898863548125874,0.032359679266895765,3492
S__Sigma_R_cm_inv,Sigma_R_cm_inv,10,3.8286451076962114,3.844865744976017,0.03962446384330276,0.03666571183042108,3491
T__Sigma_R_cm_inv,Sigma_R_cm_inv,2,0.4902164581529339,0.4902164581529339,0.00812356123029373,0.008288082309231209,3499
T__Sigma_R_cm_inv,Sigma_R_cm_inv,3,1.3588288582732564,1.3466445111459868,0.016952648002883874,0.008290451686678102,3498
T__Sigma_R_cm_inv,Sigma_R_cm_inv,4,2.1844679917661884,2.1887778687877275,0.008095676308015332,0.014012010294538175,3497
T__Sigma_R_cm_inv,Sigma_R_cm_inv,5,2.66983675955176,2.680841215456151,0.004281972248523225,0.016876430205949658,3496
T__Sigma_R_cm_inv,Sigma_R_cm_inv,6,2.9668725232816815,2.982077330346105,0.022636764632219197,0.019742489270386267,3495
T__Sigma_R_cm_inv,Sigma_R_cm_inv,7,3.242096608040229,3.267174278563302,0.04979077688410527,0.024041213508872353,3494
T__Sigma_R_cm_inv,Sigma_R_cm_inv,8,3.354962158778551,3.3927140440565453,0.0026201983854923228,0.027769825365015745,3493
T__Sigma_R_cm_inv,Sigma_R_cm_inv,9,3.5121388970395113,3.516117671757418,0.031248907666132197,0.03178694158075601,3492
T__Sigma_R_cm_inv,Sigma_R_cm_inv,10,3.590551718738689,3.567588144371021,0.042919584698743574,0.03723861357777141,3491
U__Sigma_R_cm_inv,Sigma_R_cm_inv,2,1.9562684342746526,1.9571731594082513,0.00826723540251928,0.012003429551300371,3499
U__Sigma_R_cm_inv,Sigma_R_cm_inv,3,3.0075772936359675,2.9634254495730747,0.010644723130875722,0.011435105774728416,3498
U__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.343118074554185,3.348770573582312,0.020471065430093915,0.011724335144409494,3497
U__Sigma_R_cm_inv,Sigma_R_cm_inv,5,3.629285055993188,3.6382837223965123,0.021730759198889782,0.013157894736842105,3496
U__Sigma_R_cm_inv,Sigma_R_cm_inv,6,3.981862800887603,3.993254329581471,0.02676324008114772,0.017167381974248927,3495
U__Sigma_R_cm_inv,Sigma_R_cm_inv,7,4.187638223372771,4.210699710635546,0.04225870631567741,0.024327418431597022,3494
U__Sigma_R_cm_inv,Sigma_R_cm_inv,8,4.319536937109339,4.340222691928519,0.007484938280826192,0.02691096478671629,3493
U__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.302791247922271,4.329513067446445,0.048889476149874156,0.02720504009163803,3492
U__Sigma_R_cm_inv,Sigma_R_cm_inv,10,4.404748178410783,4.4337669941998685,0.009692146464913343,0.03036379260956746,3491
V__Sigma_R_cm_inv,Sigma_R_cm_inv,2,2.3312808897063433,2.3440542751709654,0.020607623258839247,0.007716490425835953,3499
V__Sigma_R_cm_inv,Sigma_R_cm_inv,3,3.193084191536468,3.198728501780502,0.02078985402251865,0.013436249285305889,3498
V__Sigma_R_cm_inv,Sigma_R_cm_inv,4,3.7720164518680606,3.7853704377173005,0.030886931811877627,0.015155847869602517,3497
V__Sigma_R_cm_inv,Sigma_R_cm_inv,5,4.136031229264644,4.156426092912447,0.029331832947806724,0.019736842105263157,3496
V__Sigma_R_cm_inv,Sigma_R_cm_inv,6,4.00926383094189,3.9883069782839606,0.043294450003256824,0.022317596566523604,3495
V__Sigma_R_cm_inv,Sigma_R_cm_inv,7,4.147427058582932,4.1633558553580015,0.04930983317767268,0.030623926731539783,3494
V__Sigma_R_cm_inv,Sigma_R_cm_inv,8,4.348794842009493,4.365952946857837,0.0502906119678066,0.03778986544517607,3493
V__Sigma_R_cm_inv,Sigma_R_cm_inv,9,4.494220962217332,4.521478688076919,0.022560479076349615,0.04381443298969072,3492
V__Sigma_R_cm_inv,Sigma_R_cm_inv,10,4.590868746802593,4.608671378328569,0.08651701189558292,0.04898309939845317,3491
A__transmission,transmission,2,0.8702914988178384,0.8850065951808439,0.013650917461480838,0.016861960560160046,3499
A__transmission,transmission,3,2.1419215633358686,2.1581311352933255,0.24379693621646337,0.0220125786163522,3498
A__transmission,transmission,4,3.0080258613979156,3.018363840205695,0.23670816305673137,0.027166142407778097,3497
A__transmission,transmission,5,3.504113271410718,3.2480390725583197,0.01921132642481549,0.030034324942791762,3496
A__transmission,transmission,6,3.6265777202885943,3.580980364185649,0.024700297321951226,0.0351931330472103,3495
A__transmission,transmission,7,3.8855599093855626,3.8395544725218707,0.03996869767253619,0.04235832856325129,3494
A__transmission,transmission,8,4.067420190551683,4.027253201993265,0.04296038379206024,0.0495276266819353,3493
A__transmission,transmission,9,4.210944485582028,4.17537550462445,0.047511091623282375,0.06013745704467354,3492
A__transmission,transmission,10,4.319699260179152,4.298086507494295,0.04647498963022034,0.06674305356631338,3491
B__transmission,transmission,2,1.9011905831827671,1.9144530376792646,0.012227280074765368,0.010574449842812233,3499
B__transmission,transmission,3,3.2623003733301656,3.2711445442790246,0.016710377796387288,0.009719839908519153,3498
B__transmission,transmission,4,3.9025404533518637,3.879731373878508,0.031955049255067536,0.016013726050900772,3497
B__transmission,transmission,5,4.267127129988368,4.281584281896164,0.03229882112759519,0.016590389016018305,3496
B__transmission,transmission,6,4.4387920095998945,4.455090047772905,0.03562399299912844,0.02317596566523605,3495
B__transmission,transmission,7,4.572816265463645,4.587757518197471,0.051317705355081955,0.027475672581568404,3494
B__transmission,transmission,8,4.711213336698301,4.73171071562469,0.0643597549272581,0.035213283710277696,3493
B__transmission,transmission,9,4.856355434993867,4.811897231742161,0.07329487822475489,0.044673539518900345,3492
B__transmission,transmission,10,4.9125756746273685,4.7017839937712465,0.08854542583870728,0.050128902893153825,3491
C__transmission,transmission,2,1.2573496717024897,1.2604732171648827,0.009855912221508056,0.012575021434695627,3499
C__transmission,transmission,3,2.400744069298098,2.4119495912523448,0.015311657331589679,0.016295025728987993,3498
C__transmission,transmission,4,3.2456377196375525,3.235574230116033,0.013206167292483695,0.021732913926222477,3497
C__transmission,transmission,5,3.7385293932532155,3.7216835104186394,0.01918749384816909,0.020594965675057208,3496
C__transmission,transmission,6,3.9907265481355725,3.999122476120011,0.023765113306276398,0.024320457796852647,3495
C__transmission,transmission,7,4.178361822664623,4.191831221919184,0.04224565801695679,0.024899828277046364,3494
C__transmission,transmission,8,4.321583414258619,4.353827607531014,0.06036633520138501,0.027769825365015745,3493
C__transmission,transmission,9,4.453279006100445,4.483693293340908,0.07177471501362565,0.033218785796105384,3492
C__transmission,transmission,10,4.551175813060732,4.572293579495474,0.08389687787386535,0.03322830134631911,3491
D__transmission,transmission,2,1.81146583603511,1.820143685168681,0.01602230332386756,0.010002857959416977,3499
D__transmission,transmission,3,3.365738584099671,3.377168264314739,0.013969685168099488,0.01400800457404231,3498
D__transmission,transmission,4,3.78731112791324,3.7967494381899836,0.012371790591908294,0.016299685444666857,3497
D__transmission,transmission,5,4.0804594617621355,4.089012301314748,0.020691335233443908,0.02316933638443936,3496
D__transmission,transmission,6,4.33813576282934,4.352632553423602,0.025464203932871854,0.022603719599427755,3495
D__transmission,transmission,7,4.504074439425667,4.521459027761027,0.04973718352843193,0.026044647967945048,3494
D__transmission,transmission,8,4.609840671208262,4.620740820736525,0.02912417461399386,0.030918980818780417,3493
D__transmission,transmission,9,4.683296721618747,4.692532534503996,0.06449129146153343,0.03493699885452463,3492
D__transmission,transmission,10,4.623431366374237,4.652625907628565,0.07460158470513267,0.0389573188198224,3491
R__transmission,transmission,2,2.1465325670366573,2.157868607703259,0.010170411120922651,0.010574449842812233,3499
R__transmission,transmission,3,3.570372554195729,3.5792889946030817,0.05098492006704891,0.013150371640937679,3498
R__transmission,transmission,4,4.14809345333426,4.156248261933892,0.02346895416486916,0.01858736059479554,3497
R__transmission,transmission,5,4.578129325028816,4.585092372112454,0.026373344034600343,0.016590389016018305,3496
R__transmission,transmission,6,4.786968982031348,4.800926108949219,0.20319213467435748,0.018311874105865523,3495
R__transmission,transmission,7,4.919560022478035,4.942520832138385,0.1876817671441362,0.018603319977103606,3494
R__transmission,transmission,8,4.83283159994605,4.861923581493036,0.048811204764865224,0.025765817348983682,3493
R__transmission,transmission,9,4.840405362389068,4.864627611074774,0.023009543150559253,0.03178694158075601,3492
R__transmission,transmission,10,4.81523135894913,4.84965035590808,0.0343307677482132,0.036092810083070755,3491
S__transmission,transmission,2,2.665834347916229,2.673888634803441,0.005795478773468865,0.008288082309231209,3499
S__transmission,transmission,3,3.666664416597068,3.674960401451453,0.012046025116705383,0.008004574042309892,3498
S__transmission,transmission,4,4.115656355812332,4.1242031091284606,0.009443639209668397,0.009150700600514728,3497
S__transmission,transmission,5,4.526554579990608,4.355262421824523,0.018476932874901486,0.012299771167048055,3496
S__transmission,transmission,6,4.454334636474516,4.466855011825078,0.018378933963508537,0.014878397711015737,3495
S__transmission,transmission,7,4.644618813726537,4.662656022438141,0.025170546705723496,0.019461934745277618,3494
S__transmission,transmission,8,4.767675342849406,4.781617626622752,0.022042442947562968,0.022330375035785856,3493
S__transmission,transmission,9,4.850121413793498,4.8623350631495255,0.03516156430859585,0.032073310423825885,3492
S__transmission,transmission,10,4.861605336649085,4.868813190225208,0.0405701106556311,0.036379260956745915,3491
T__transmission,transmission,2,1.7125575825686141,1.7068909155311762,0.013399427371840078,0.00943126607602172,3499
T__transmission,transmission,3,3.0876609567552418,3.055932682243366,0.009134588567557778,0.008576329331046312,3498
T__transmission,transmission,4,3.9067770604725416,3.9117509064472915,0.009515495176698252,0.014583929082070346,3497
