curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
1,transmission_proxy,transmission_proxy_samples,2,0.9815032764242004,0.9893072134888438,0.9967530154375169,0.00744580194867317,2,0.027463758564354405,2.4529118483295465,0.013146613318090883,3499,valid
1,transmission_proxy,transmission_proxy_samples,3,2.443094124136691,2.447336068759494,2.456585339533059,0.009249270773564966,3,0.08463207383772635,1.4412178797621849,0.015151515151515152,3498,valid
1,transmission_proxy,transmission_proxy_samples,4,3.0686626192331277,3.0734838049905124,3.073137955425087,0.00034584956542538237,4,0.1595309386702372,1.1706987389273953,0.01973119816985988,3497,valid
1,transmission_proxy,transmission_proxy_samples,5,3.3649946697212814,3.3669223210528987,3.265977131516293,0.1009451895366058,5,0.23582809930895962,1.0372454304997283,0.03060640732265446,3496,valid
1,transmission_proxy,transmission_proxy_samples,6,3.5612621176104216,3.410361105416534,3.4418359538652266,0.031474848448692416,6,0.3122346291855394,0.9888375642087747,0.03805436337625179,3495,valid
1,transmission_proxy,transmission_proxy_samples,7,3.640105596488836,3.6073229118664716,3.6009402513136433,0.006382660552828323,7,0.3869708056978161,0.9561826221711228,0.04607899255867201,3494,valid
1,transmission_proxy,transmission_proxy_samples,8,3.7616337876363466,3.7030567658430042,3.7318924589651483,0.028835693122144068,8,0.45838576892724575,0.929194004154518,0.052963068995133124,3493,valid
1,transmission_proxy,transmission_proxy_samples,9,3.836193331670715,3.802799542605718,3.883054685086599,0.08025514248088106,9,0.5282507248430451,0.9019065261853199,0.06071019473081329,3492,valid
1,transmission_proxy,transmission_proxy_samples,10,3.920084334725757,3.878434622290578,3.9662652264094604,0.08783060411888233,10,0.5953751346037204,0.8781375274685542,0.06788885706101404,3491,valid
2,transmission_proxy,transmission_proxy_samples,2,1.7313554220321197,1.7431471014109434,1.7574439580322925,0.014296856621349052,2,0.030865199625920593,2.270046774853134,0.013146613318090883,3499,valid
2,transmission_proxy,transmission_proxy_samples,3,2.661952954178687,2.6635673827691075,2.67423743486055,0.01067005209144245,3,0.0945698471955273,1.368229959197802,0.012006861063464836,3498,valid
2,transmission_proxy,transmission_proxy_samples,4,3.123207186712472,3.1231338115550984,3.138048922345158,0.014915110790059583,4,0.17078380422150152,1.122444560338616,0.019445238776093794,3497,valid
2,transmission_proxy,transmission_proxy_samples,5,3.3983655889917186,3.4028470801612665,3.4224547256675897,0.019607645506323212,5,0.25228080010605886,0.9935426387773573,0.02030892448512586,3496,valid
2,transmission_proxy,transmission_proxy_samples,6,3.6630996955481865,3.649911060597751,3.6828486069959414,0.03293754639819024,6,0.3349718595531737,0.9231101482822709,0.02632331902718169,3495,valid
2,transmission_proxy,transmission_proxy_samples,7,3.7808452982039373,3.79250855836467,3.8206153980800925,0.028106839715422716,7,0.41817662508278886,0.8824867720093286,0.025472238122495706,3494,valid
2,transmission_proxy,transmission_proxy_samples,8,3.9770257693870965,3.983962930135201,4.015182287692459,0.031219357557258576,8,0.4973605092904464,0.8533705353198002,0.031491554537646724,3493,valid
2,transmission_proxy,transmission_proxy_samples,9,4.06485483150297,4.065888085521473,3.880538126653225,0.1853499588682479,9,0.5747018671373776,0.8315434487239214,0.0352233676975945,3492,valid
2,transmission_proxy,transmission_proxy_samples,10,4.0229788384886085,4.037391459374838,3.9628690361137204,0.07452242326111769,10,0.648443146408915,0.8150491658357667,0.03953022056717273,3491,valid
3M,transmission_proxy,transmission_proxy_samples,2,1.6223827057207931,1.6324662895901374,1.6476630174401516,0.015196727850014247,2,0.027293554356172832,1.8463677857058154,0.013146613318090883,3499,valid
3M,transmission_proxy,transmission_proxy_samples,3,3.0486304412537946,3.055459186692504,3.0658140827539984,0.010354896061494312,3,0.0875659873659293,1.1959276543362414,0.013150371640937679,3498,valid
3M,transmission_proxy,transmission_proxy_samples,4,3.924121112856621,3.928250262328991,3.9386515274526164,0.010401265123625159,4,0.16091278151180463,0.9857671543507168,0.021160995138690308,3497,valid
3M,transmission_proxy,transmission_proxy_samples,5,4.335179303328349,4.342847544142691,4.3759282173685055,0.03308067322581465,5,0.24018390047924715,0.9020303978250623,0.02002288329519451,3496,valid
3M,transmission_proxy,transmission_proxy_samples,6,4.580345484705234,4.596103749608598,4.6412977780168845,0.04519402840828679,6,0.31941530451198175,0.8573038600853508,0.027181688125894134,3495,valid
3M,transmission_proxy,transmission_proxy_samples,7,4.740791161044569,4.770048708963905,4.8188793019287015,0.04883059296479608,7,0.39552095666267195,0.8292534802979166,0.03205495134516314,3494,valid
3M,transmission_proxy,transmission_proxy_samples,8,4.919751705558096,4.954295216662958,5.0149581711877325,0.06066295452477455,8,0.4708347680204269,0.8061018896981479,0.03721729172630976,3493,valid
3M,transmission_proxy,transmission_proxy_samples,9,5.011384635598462,4.853711033104974,4.911777148052872,0.058066114947897596,9,0.5438271653911246,0.788426406218257,0.05326460481099656,3492,valid
3M,transmission_proxy,transmission_proxy_samples,10,4.935895924900088,4.925740328765962,4.985865750728536,0.06012542196257353,10,0.6143353383211645,0.7738294048276197,0.06387854482956173,3491,valid
4M,transmission_proxy,transmission_proxy_samples,2,2.4810454951459904,2.492017852852442,2.4985988847156104,0.006581031863168274,2,0.032147508613251975,1.6869348681849012,0.014861388968276651,3499,valid
4M,transmission_proxy,transmission_proxy_samples,3,3.431064752688291,3.431424202609344,3.443939465064595,0.01251526245525092,3,0.1005967238208955,1.1693214097918492,0.016295025728987993,3498,valid
4M,transmission_proxy,transmission_proxy_samples,4,3.6000767571806485,3.5645133993121623,3.5805404633498132,0.016027064037650973,4,0.185913841325524,1.0410906129896802,0.018873319988561624,3497,valid
4M,transmission_proxy,transmission_proxy_samples,5,3.843874554936429,3.8506427741971834,3.862657535705393,0.01201476150820957,5,0.27561170494048376,0.9535444192204094,0.019450800915331808,3496,valid
4M,transmission_proxy,transmission_proxy_samples,6,4.181867670117086,4.18495784773165,4.221889190594732,0.03693134286308197,6,0.367622269966509,0.8989486869133028,0.019456366237482117,3495,valid
4M,transmission_proxy,transmission_proxy_samples,7,4.315537301332743,4.3370905426042645,4.3691672893633715,0.03207674675910699,7,0.45506033779322214,0.8686463728133506,0.028334287349742415,3494,valid
4M,transmission_proxy,transmission_proxy_samples,8,4.459974755334536,4.4810268688017905,4.528702946265365,0.04767607746357427,8,0.5395229130980254,0.8430509934131569,0.03235041511594618,3493,valid
4M,transmission_proxy,transmission_proxy_samples,9,4.486697078679974,4.5092022647995424,4.557019077966232,0.04781681316668962,9,0.6210993227693027,0.8254449811889192,0.03951890034364261,3492,valid
4M,transmission_proxy,transmission_proxy_samples,10,4.526118475757992,4.539595607443485,4.6062045905019104,0.06660898305842533,10,0.7013057237917242,0.8138681034369404,0.045259238040676025,3491,valid
5I,transmission_proxy,transmission_proxy_samples,2,2.408306241137975,2.4176201559182955,2.4309972962679223,0.013377140349626782,2,0.03579663794242744,1.7581285529536406,0.012575021434695627,3499,valid
5I,transmission_proxy,transmission_proxy_samples,3,3.815848035247777,3.8156940393389305,3.7103691841248776,0.10532485521405288,3,0.11100942351552273,1.2174957655977676,0.013436249285305889,3498,valid
5I,transmission_proxy,transmission_proxy_samples,4,4.012239508079407,4.009897378522384,4.0233663872279495,0.013469008705565777,4,0.2038859015831896,1.0370718005031816,0.012296253931941665,3497,valid
5I,transmission_proxy,transmission_proxy_samples,5,4.363494700808236,4.367106706780506,4.380883831015837,0.013777124235331506,5,0.30041204732872817,0.9625455582503736,0.015160183066361556,3496,valid
5I,transmission_proxy,transmission_proxy_samples,6,4.551195968717576,4.537995752963204,4.5610599157777445,0.023064162814540268,6,0.39326236115283636,0.9021422574015199,0.020028612303290415,3495,valid
5I,transmission_proxy,transmission_proxy_samples,7,4.515594676840225,4.510264896470975,4.533354818650818,0.023089922179843292,7,0.4851618568090338,0.8704076831815941,0.024041213508872353,3494,valid
5I,transmission_proxy,transmission_proxy_samples,8,4.624008943871557,4.622042154013671,4.519676534831882,0.10236561918178833,8,0.5773481235287377,0.8465790379999104,0.027483538505582595,3493,valid
5I,transmission_proxy,transmission_proxy_samples,9,4.55320844638248,4.559294651024302,4.604035526940108,0.04474087591580567,9,0.66516685000176,0.828432924519214,0.032073310423825885,3492,valid
5I,transmission_proxy,transmission_proxy_samples,10,4.580184322248481,4.572528642553044,4.636763369781505,0.06423472722846135,10,0.7496163088709223,0.8233447110911325,0.03437410484101976,3491,valid
6I,transmission_proxy,transmission_proxy_samples,2,2.418840175213803,2.437297510645961,2.441708036217068,0.0044105255711066604,2,0.028985262623583218,1.7255815113808708,0.013432409259788511,3499,valid
6I,transmission_proxy,transmission_proxy_samples,3,3.3594444207967875,3.3685325109443207,3.219394088633104,0.14913842231121688,3,0.09092283891347458,1.1530111034713841,0.016009148084619784,3498,valid
6I,transmission_proxy,transmission_proxy_samples,4,4.078105658457306,4.013508654168866,4.025912390794613,0.012403736625747008,4,0.16780423868477345,0.9765187925503893,0.025450386045181583,3497,valid
6I,transmission_proxy,transmission_proxy_samples,5,4.516620928820586,4.526589252690546,4.5517825564129115,0.02519330372236528,5,0.24787551533176927,0.8880213688726164,0.02831807780320366,3496,valid
6I,transmission_proxy,transmission_proxy_samples,6,4.742544548887829,4.759125930972128,4.800019951216228,0.04089402024410038,6,0.32750267393655885,0.8341667922260968,0.03776824034334764,3495,valid
6I,transmission_proxy,transmission_proxy_samples,7,4.828163495454958,4.787447261482079,4.833815129153135,0.04636786767105594,7,0.40734955681678137,0.8056386710071647,0.0412135088723526,3494,valid
6I,transmission_proxy,transmission_proxy_samples,8,4.95314063499932,4.954937032272461,4.991101725262383,0.036164692989921754,8,0.48598247222190805,0.7845611368433856,0.04695104494703693,3493,valid
6I,transmission_proxy,transmission_proxy_samples,9,4.938539007385986,4.959214482894311,5.010294642492505,0.05108015959819312,9,0.5605494753424258,0.7708156232659087,0.0518327605956472,3492,valid
6I,transmission_proxy,transmission_proxy_samples,10,5.041944474811001,5.045746317551304,5.11413616602328,0.06838984847197604,10,0.6330238194714116,0.756841800415238,0.06044113434545975,3491,valid
