curve,observable,ensemble_group,embedding_dimension,nn_distance_entropy_raw_bits,nn_distance_entropy_theiler_bits,nn_distance_entropy_theiler2_bits,theiler_sensitivity_bits,theiler_window,nearest_distance_mean_theiler,nearest_distance_cv_theiler,adjacent_neighbor_fraction_raw,n_points,raw_quality_status
rxn_11_23_5,cross_section_barn,reaction_cross_sections,2,3.722644315367315,3.9701349637109997,4.161394530749441,0.1912595670384416,2,0.5828892142620484,1.048463383938806,0.7681159420289855,69,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,3,3.7763082016022294,4.053542436900314,4.016963024787527,0.036579412112787146,3,1.0162631478666615,1.0130282645865476,0.8823529411764706,68,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,4,3.9832279965228725,4.0541964667044175,3.70949609250642,0.3447003741979975,4,1.5198466289565125,0.9889080367668871,0.9850746268656716,67,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,5,4.06905839032041,4.03974885427055,3.6487015008442136,0.3910473534263361,5,2.07630068496459,0.9884067276586774,1.0,66,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,6,4.059025188192339,4.005028649664233,3.6322012696472794,0.3728273800169535,6,2.777142284004647,0.9973267023996202,1.0,65,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,7,4.090020845650719,4.0295703810934285,3.7322367178034828,0.2973336632899457,7,3.672644899605588,0.9946295227644799,1.0,64,sampling_geometry_dominated
rxn_11_23_5,cross_section_barn,reaction_cross_sections,8,4.073338067911437,3.961509234920274,3.9297632031742418,0.03174603174603208,8,4.733911154337524,1.0022336612034293,1.0,63,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,2,3.012891545371661,3.4463015305569407,2.988144148859856,0.45815738169708453,2,0.5244364759266936,1.6330768146866133,0.896551724137931,87,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,3,3.1212023101464497,3.5195842739805654,2.983379095086341,0.5362051788942246,3,0.9809101503678185,1.6533825843412364,0.9767441860465116,86,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,4,3.1678100014399257,3.354274095346877,3.0768802135834283,0.2773938817634485,4,1.5863580265810757,1.6764011340302598,1.0,85,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,5,3.25570377410954,3.3013261326539176,3.2701295577283576,0.03119657492556005,5,2.3101192291030763,1.690631172267762,1.0,84,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,6,3.3258000272388974,3.3941384550166553,3.313536576270959,0.08060187874569635,6,3.061948961697668,1.6826606097411352,1.0,83,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,7,3.4141587553950195,3.46827751752503,3.578363927605933,0.11008641008090292,7,3.811276782875902,1.6593971522593332,1.0,82,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,8,3.493368962087751,3.547872810916991,3.6814204276904645,0.1335476167734737,8,4.53313010078934,1.6214038556680763,1.0,81,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,9,3.4879396979365174,3.4988675245492495,3.775920591455137,0.2770530669058875,9,5.228430083086087,1.5751977741427412,1.0,80,sampling_geometry_dominated
rxn_18_36_5,cross_section_barn,reaction_cross_sections,10,3.6207052610959054,3.692630674497014,3.898513742603072,0.20588306810605772,10,5.918682330892752,1.516827299833685,1.0,79,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,2,4.237888220109753,4.313017240099025,4.337566407909777,0.02454916781075145,2,0.22933517575064574,0.890519605044275,0.7976190476190477,84,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,3,4.099780262251683,4.466192585411815,4.783314926064339,0.3171223406525234,3,0.3671409591116527,0.820825927240561,0.8674698795180723,83,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,4,3.9865032385555312,4.592086687904568,4.878791261128068,0.28670457322350007,4,0.510461996692658,0.7395891683050879,0.9024390243902439,82,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,5,3.926497870926661,4.563460231905958,4.865455904548567,0.30199567264260896,5,0.6590621027901938,0.6956179338941052,0.9506172839506173,81,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,6,3.900952827498701,4.617205639325548,4.840634426587139,0.22342878726159032,6,0.8197417881203265,0.6872581337514818,0.975,80,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,7,3.930566274058571,4.551103730393838,4.958985419600808,0.40788168920696943,7,0.9814719610467669,0.6693009178741136,0.9873417721518988,79,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,8,4.120758758712822,4.5160920481821965,5.05963759739511,0.5435455492129133,8,1.165617644882175,0.6743428989512384,1.0,78,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,9,4.052039549447824,4.645334022117745,4.968085241993605,0.32275121987586,9,1.3619329987189375,0.6715233174521676,1.0,77,sampling_geometry_dominated
rxn_24_50_201,cross_section_barn,reaction_cross_sections,10,4.090164147616387,4.553059093042603,5.053784256836171,0.5007251637935681,10,1.5874078528456448,0.6780872167770966,1.0,76,sampling_geometry_dominated
rxn_26_54_5,cross_section_barn,reaction_cross_sections,2,1.9426595967615266,1.8042475969917973,1.4286552772296803,0.37559231976211693,2,1.711044060093384,2.7249218478167854,0.9195402298850575,87,sampling_geometry_dominated
rxn_26_54_5,cross_section_barn,reaction_cross_sections,3,2.1091406532866777,1.9141759163552783,1.8207018455762645,0.09347407077901382,3,3.1628095673751493,2.604367527061566,0.9883720930232558,86,sampling_geometry_dominated
rxn_26_54_5,cross_section_barn,reaction_cross_sections,4,2.1891362227311983,2.0730884077062246,1.98676492742196,0.08632348028426451,4,4.515795760245018,2.4771310137769333,1.0,85,sampling_geometry_dominated
rxn_26_54_5,cross_section_barn,reaction_cross_sections,5,2.3210887791394637,2.2396803262351574,2.1454198833277998,0.09426044290735769,5,5.801739712074286,2.3521465192014634,1.0,84,sampling_geometry_dominated
rxn_26_54_5,cross_section_barn,reaction_cross_sections,6,2.3176427431923794,2.3385504238370736,2.5561252298745814,0.21757480603750778,6,7.036937676820309,2.235570889476964,1.0,83,sampling_geometry_dominated
