curve,observable,ensemble_group,individual_MI_delay_samples,individual_MI_delay_coordinate,selection_method,common_delay_coordinate,applied_delay_samples,applied_delay_coordinate,relative_feedback_rms,roughness_ratio,variance_ratio,correlation_original_controlled
exfor_10_0_16_L0039_10,experimental_cross_section_barn,experimental_reaction_cross_sections,4,0.049373113385136946,first local minimum,0.06009713220776369,5,0.06171639173142118,0.08112959993180593,0.8978776411696515,0.8602752183893781,0.9932964772594407
exfor_12_26_201_L0125_3,experimental_cross_section_barn,experimental_reaction_cross_sections,7,0.025722383329471743,first local minimum,0.06009713220776369,16,0.058794019038792555,0.056030314947122475,0.9133454815572809,0.9195871876803857,0.9956019525799261
exfor_13_27_4_M0267_2,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.019433882614924958,first local minimum,0.06009713220776369,9,0.05830164784477487,0.030691473967295664,0.9150302817984323,0.9972250106943481,0.9980495506914255
exfor_17_0_201_L0039_29,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.04961908201300691,first local minimum,0.06009713220776369,4,0.06615877601734255,0.019699964813041357,0.9694286430421065,1.0003099700466078,0.9995272652810344
exfor_22_46_4_M0370_2,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.032989504421212956,first local minimum,0.06009713220776369,5,0.05498250736868826,0.025677971409714097,0.9253678513683473,0.9962115311681156,0.9971601771125734
exfor_27_59_16_L0028_9,experimental_cross_section_barn,experimental_reaction_cross_sections,7,0.062336238853713866,first local minimum,0.06009713220776369,7,0.062336238853713866,0.043191768950534254,0.8843175655786973,0.9548406261651703,0.9969242643001524
exfor_28_58_201_M0614_2,experimental_cross_section_barn,experimental_reaction_cross_sections,5,0.031730693527789455,first local minimum,0.06009713220776369,9,0.05711524835002102,0.0238463717890756,0.9041253112662042,0.9961066284771967,0.998184842937269
exfor_29_0_201_M0541_6,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.0858601462582591,first local minimum,0.06009713220776369,2,0.05724009750550607,0.02258437663316538,0.9553135491465259,0.9925614946106422,0.9990267930216961
exfor_2_3_201_L0018_2,experimental_cross_section_barn,experimental_reaction_cross_sections,6,0.08810102909565298,first local minimum,0.06009713220776369,4,0.05873401939710199,0.0190025313261382,0.9021322354133839,0.9931643482537643,0.9990762079935145
exfor_2_4_27_M0546_2,experimental_cross_section_barn,experimental_reaction_cross_sections,10,0.24593569581848662,first local minimum,0.06009713220776369,2,0.049187139163697324,0.006542525861863274,0.9887177961441306,0.9950924258328123,0.9996706535834571
exfor_32_74_16_L0043_15,experimental_cross_section_barn,experimental_reaction_cross_sections,3,0.040608126993890714,first local minimum,0.06009713220776369,4,0.05414416932518762,0.029245424360804018,0.9566364983820006,1.002376347891958,0.9973007953959279
exfor_37_0_16_L0027_4,experimental_cross_section_barn,experimental_reaction_cross_sections,2,0.012695246013713302,first local minimum,0.06009713220776369,9,0.05712860706170986,0.03886944215767834,0.9319303886831632,0.9920534268797752,0.9972080091869856
