curve,observable,ensemble_group,lag_samples,lag_coordinate,mutual_information
PDD,pdd_percent,PDD,1,0.4928571428571429,2.6421807568220803
PDD,pdd_percent,PDD,2,0.9857142857142858,2.520917626076569
PDD,pdd_percent,PDD,3,1.4785714285714286,2.5365845351540424
PDD,pdd_percent,PDD,4,1.9714285714285715,2.5354238206432633
PDD,pdd_percent,PDD,5,2.4642857142857144,2.5186353916335067
PDD,pdd_percent,PDD,6,2.9571428571428573,2.499548620441862
PDD,pdd_percent,PDD,7,3.45,2.47915646267284
PDD,pdd_percent,PDD,8,3.942857142857143,2.450459113935623
PDD,pdd_percent,PDD,9,4.435714285714286,2.427021851927795
PDD,pdd_percent,PDD,10,4.928571428571429,2.397053564500604
PDD,pdd_percent,PDD,11,5.421428571428572,2.3784510614708623
PDD,pdd_percent,PDD,12,5.914285714285715,2.37927446229322
PDD,pdd_percent,PDD,13,6.4071428571428575,2.3617403220958155
PDD,pdd_percent,PDD,14,6.9,2.3292735462068714
