dataset_id,file,file_type,readable,rows,columns,problem
P001,cell_13_circle_map_fixed_point_locking_results__attenuation_state.csv,csv,True,1936.0,5.0,
P001,cell_13_circle_map_fixed_point_locking_results__attenuation_state.npz,npz,True,,,
P001,cell_13_circle_map_fixed_point_locking_results__attenuation_state_plots_01_locking_excess_vs_uniform.png,png,True,,,
P001,cell_13_circle_map_fixed_point_locking_results__attenuation_state_plots_02_phase_resultant_length.png,png,True,,,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state.csv,csv,True,2.0,3.0,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state.npz,npz,True,,,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state_plots_rational_distance_unwrapped.png,png,True,,,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state_plots_rotation_excess_vs_uniform.png,png,True,,,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state_plots_unwrapped_mean.png,png,True,,,
P001,cell_17_circle_map_rotation_numbers_results__attenuation_state_plots_unwrapped_std.png,png,True,,,
P001,cell_19_circle_map_phase_pushforward_results__attenuation_state.csv,csv,True,62.0,5.0,
P001,cell_19_circle_map_phase_pushforward_results__attenuation_state.npz,npz,True,,,
P001,cell_19_circle_map_phase_pushforward_results__attenuation_state_plots_01_stabilization_tv.png,png,True,,,
P001,cell_19_circle_map_phase_pushforward_results__attenuation_state_plots_02_concentration_excess_vs_uniform.png,png,True,,,
P001,cell_21_nearest_neighbor_distance_entropy_results.csv,csv,True,6.0,14.0,
P001,cell_21_nearest_neighbor_distance_entropy_results_dimension_summary.csv,csv,True,3.0,5.0,
P001,cell_21_nearest_neighbor_distance_entropy_results_plots_01_entropy_by_dimension.png,png,True,,,
P001,cell_21_nearest_neighbor_distance_entropy_results_plots_02_adjacent_neighbor_fraction.png,png,True,,,
P001,cell_25_pyragas_delayed_feedback_results.csv,csv,True,2.0,13.0,
P001,cell_25_pyragas_delayed_feedback_results_mi_curves.csv,csv,True,18.0,6.0,
P001,cell_25_pyragas_delayed_feedback_results_plots_01_mutual_information_lags.png,png,True,,,
P001,cell_25_pyragas_delayed_feedback_results_plots_02_relative_feedback.png,png,True,,,
P001,dataset_atlas_manifest.json,json,True,,,
N001,dataset_atlas_manifest.json,json,True,,,
N002,dataset_atlas_manifest.json,json,True,,,
P002,dataset_atlas_manifest.json,json,True,,,
P003,dataset_atlas_manifest.json,json,True,,,
PN001,dataset_atlas_manifest.json,json,True,,,
P004,dataset_atlas_manifest.json,json,True,,,
N003,cell_04_lyapunov_spectrum_results.csv,csv,True,162.0,30.0,
N003,cell_04_lyapunov_spectrum_results_embedding_dimension_summary.csv,csv,True,9.0,11.0,
N003,cell_04_lyapunov_spectrum_results_embedding_metadata.csv,csv,True,162.0,16.0,
N003,cell_04_lyapunov_spectrum_results_expert_metrics.csv,csv,True,162.0,50.0,
