dataset_id,object_id,analysis_family,condition,feature_name,value,unit,quality_status,model_eligible,notes
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=100cm;off_axis=0cm,mi_delay_log_energy,0.2326854914172678,log_energy,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=100cm;off_axis=0cm,mi_delay_samples,4.0,samples,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=150cm;off_axis=0cm,mi_delay_log_energy,0.3265283440825604,log_energy,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=150cm;off_axis=0cm,mi_delay_samples,6.0,samples,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=0cm,mi_delay_log_energy,0.2326854914172678,log_energy,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=0cm,mi_delay_samples,4.0,samples,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=20cm,mi_delay_log_energy,0.2568863190801407,log_energy,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=20cm,mi_delay_samples,5.0,samples,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=40cm,mi_delay_log_energy,0.5137726381602814,log_energy,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
N001,N001.SEQ_SPEC,mutual_information_delay,thickness=25cm;off_axis=40cm,mi_delay_samples,10.0,samples,descriptive,False,Each spectrum is analyzed at its own measured benchmark condition; historical configurations are not interpreted as a controlled thickness-only trajectory.
